osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,junction,maxspeed,tunnel,ref
23530078,True,Desmond Avenue,tertiary,False,150.732,"LINESTRING (-73.8372306 40.9358876, -73.836659 40.935166, -73.836601 40.93508, -73.836585 40.934965, -73.836593 40.934861, -73.8365847 40.9346628)",,,,,,
23465548,True,,motorway_link,False,150.151,"LINESTRING (-73.8361332 40.9361923, -73.8361971 40.9361941, -73.8362439 40.9361988, -73.8362921 40.9362075, -73.836335 40.9362252, -73.836367 40.9362524, -73.8363936 40.9362877, -73.836496 40.9364635, -73.8365712 40.9365891, -73.8366357 40.9366911, -73.8367111 40.9367926, -73.8367977 40.9368874, -73.8371558 40.937235)",1,,,,,
"[49590192, 374317192, 119841790]",False,Parkway Road,tertiary,False,270.863,"LINESTRING (-73.8361332 40.9361923, -73.836139 40.9362723, -73.8361411 40.9363696, -73.8361384 40.9364652, -73.8361322 40.9365734, -73.8361242 40.9366736, -73.8361208 40.9367194, -73.836098 40.936951, -73.8360065 40.9377796, -73.8359464 40.9385195, -73.8359405 40.9386227)",,yes,,,,
"[49590192, 23510533]",False,Parkway Road,tertiary,True,130.573,"LINESTRING (-73.8361332 40.9361923, -73.8361241 40.9360532, -73.8361028 40.9358583, -73.8360789 40.9357186, -73.8360588 40.9355264, -73.8359839 40.9350238)",,,,,,
374313706,False,Station Plaza,residential,False,9.287,"LINESTRING (-73.8358701 40.9424284, -73.8359804 40.9424342)",,,,,,
511738357,False,Station Plaza,residential,False,15.221,"LINESTRING (-73.8358701 40.9424284, -73.835689 40.9424236)",,,,,,
667321749,True,Pondfield Road West,tertiary,False,7.583,"LINESTRING (-73.8358701 40.9424284, -73.8358998 40.9424542, -73.8359363 40.9424741)",,,,,,
1148943949,True,,tertiary,False,4.735,"LINESTRING (-73.8357037 40.9420937, -73.8357412 40.9421255)",,,roundabout,,,
1091376611,True,,tertiary,False,2.774,"LINESTRING (-73.8356785 40.9418057, -73.8356739 40.9418304)",,,roundabout,,,
374313707,True,,tertiary,False,29.023000000000003,"LINESTRING (-73.8359853 40.9420741, -73.836003 40.941979, -73.8360094 40.9419214, -73.8360075 40.9418645, -73.835996 40.941815)",,,roundabout,,,
