osmid,oneway,name,highway,reversed,length,geometry,bridge,lanes,ref,maxspeed
18416718,True,Leavenworth Avenue,residential,False,50.073,"LINESTRING (-94.227719 39.33793, -94.2277014 39.3379304, -94.227137 39.337943)",,,,
1180990913,False,Kansas City Avenue South,tertiary,False,66.846,"LINESTRING (-94.227189 39.341282, -94.227171 39.341883)",,,,
18414875,False,South Street,residential,False,197.44099999999997,"LINESTRING (-94.227189 39.341282, -94.2260861 39.3412611, -94.2256169 39.3412522, -94.225395 39.341248, -94.224894 39.341233)",,,,
"[18414875, 18416999]",False,"['John Street', 'South Street']",residential,True,122.393,"LINESTRING (-94.227189 39.341282, -94.22786 39.34131, -94.227857 39.341891)",,,,
1180990913,False,Kansas City Avenue South,tertiary,True,66.541,"LINESTRING (-94.227189 39.341282, -94.227181 39.340888, -94.227165 39.340684)",,,,
18419401,False,South Thompson Avenue,residential,False,60.046,"LINESTRING (-94.224894 39.341233, -94.224896 39.341773)",,,,
18414875,False,South Street,residential,True,197.441,"LINESTRING (-94.224894 39.341233, -94.225395 39.341248, -94.2256169 39.3412522, -94.2260861 39.3412611, -94.227189 39.341282)",,,,
18419401,False,South Thompson Avenue,residential,True,47.48,"LINESTRING (-94.224894 39.341233, -94.224904 39.341048, -94.225025 39.340825)",,,,
326222595,False,South Marietta Street,tertiary,False,58.045,"LINESTRING (-94.224036 39.34124, -94.224041 39.341762)",,,,
326222595,False,South Marietta Street,tertiary,True,60.379,"LINESTRING (-94.224036 39.34124, -94.224038 39.340697)",,,,
649979798,True,South Street,residential,False,73.789,"LINESTRING (-94.224036 39.34124, -94.224894 39.341233)",,,,
18420100,False,South Main Street,residential,False,57.171,"LINESTRING (-94.223185 39.341243, -94.2231995 39.3417076, -94.223201 39.341757)",,,,
"[1047125392, 18420100]",False,"['River Street', 'South Main Street']",residential,True,128.582,"LINESTRING (-94.223185 39.341243, -94.223176 39.34092, -94.223178 39.340774, -94.223299 39.340706, -94.2236309 39.340702, -94.2238395 39.3406994, -94.224038 39.340697)",,,,
649979793,True,South Street,residential,False,73.184,"LINESTRING (-94.223185 39.341243, -94.2233766 39.3412423, -94.224036 39.34124)",,,,
18415015,False,Henrie Street,residential,False,59.0,"LINESTRING (-94.227857 39.341891, -94.227171 39.341883)",,,,
"[18414875, 18416999]",False,"['John Street', 'South Street']",residential,False,122.393,"LINESTRING (-94.227857 39.341891, -94.22786 39.34131, -94.227189 39.341282)",,,,
18415015,False,Henrie Street,residential,True,59.0,"LINESTRING (-94.227171 39.341883, -94.227857 39.341891)",,,,
18418840,False,North Kansas City Avenue,tertiary,True,16.489,"LINESTRING (-94.227171 39.341883, -94.227159 39.342031)",,,,
1180990913,False,Kansas City Avenue South,tertiary,True,66.846,"LINESTRING (-94.227171 39.341883, -94.227189 39.341282)",,,,
