osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,bridge,maxspeed,width,junction,access
"[601080417, 157693558]",True,2,Via Cesare Battisti,primary,False,223.345,"LINESTRING (12.1334797 46.5392568, 12.1335979 46.539165, 12.1336905 46.5390954, 12.1339972 46.5388648, 12.1342919 46.5386395, 12.1343742 46.5385781, 12.1346823 46.5383994, 12.1349286 46.5382923, 12.1355072 46.5379215, 12.1355826 46.5378732)",,,,,,
962674728,False,2,Via Antonio Cantore,primary,True,238.62300000000002,"LINESTRING (12.1438413 46.5423738, 12.14234 46.5417591, 12.1421641 46.5416729, 12.1420159 46.5415727, 12.1418771 46.5414294, 12.14161 46.5410453, 12.1415735 46.5409966)",SR48,,,,,
157693567,True,2,Via Olimpia,primary,False,26.558,"LINESTRING (12.1389938 46.5358735, 12.1391426 46.5356577)",,,,,,
314789381,True,,,primary,False,19.829,"LINESTRING (12.1389938 46.5358735, 12.1390359 46.5358443, 12.1390932 46.5358234, 12.1391521 46.5358157, 12.1392246 46.5358035)",,,,,,
"[314789377, 314789378, 266568381]",False,2,Via Olimpia,primary,True,99.41299999999998,"LINESTRING (12.1398656 46.5342976, 12.1397962 46.5345193, 12.1396423 46.5349078, 12.1395268 46.5350673, 12.1394668 46.5351432)",,yes,,,,
112801483,True,2,Via Guglielmo Marconi,primary,False,41.193,"LINESTRING (12.1354739 46.5404406, 12.1353796 46.540458, 12.1353368 46.5404619, 12.1352821 46.5404666, 12.1352202 46.5404739, 12.1351756 46.5404826, 12.1351222 46.5405041, 12.1350883 46.5405296, 12.1350622 46.540557, 12.1350255 46.540601)",,,,,,
266568375,True,2,Via Guglielmo Marconi,primary,False,51.798,"LINESTRING (12.1354739 46.5404406, 12.1353699 46.5404176, 12.1352659 46.5403798, 12.135101 46.5402744, 12.1349731 46.5401695, 12.1349562 46.5401557)",,,,,,
72865870,False,,Lungo Boite Dottor Maioni,tertiary,False,285.25999999999993,"LINESTRING (12.133686 46.5374982, 12.1336219 46.5375016, 12.133571 46.5375124, 12.1334863 46.5375466, 12.1334522 46.5375693, 12.1334133 46.5375952, 12.1333431 46.5376501, 12.1332244 46.5377483, 12.1331104 46.5378645, 12.1330325 46.5379673, 12.1328692 46.5382241, 12.1327036 46.5384454, 12.1325243 46.538616, 12.1323017 46.5387768, 12.1321106 46.5389001, 12.1317889 46.5390833, 12.1312471 46.5393545)",,,,,,
"[353928362, 178265554, 22955254, 72865870]",False,,"['Via del Parco', 'Lungo Boite Dottor Maioni']",tertiary,True,258.26199999999994,"LINESTRING (12.133686 46.5374982, 12.1337619 46.5375008, 12.1339246 46.5375496, 12.1342188 46.5376613, 12.134299 46.537688, 12.1344453 46.5377202, 12.1344936 46.5377266, 12.1345458 46.5377203, 12.1345895 46.5376992, 12.1347786 46.537557, 12.1348781 46.5375145, 12.1352339 46.5374235, 12.1353053 46.5373963, 12.1353705 46.537367, 12.1354592 46.5373144, 12.1355386 46.537249, 12.1356184 46.5371758, 12.1356828 46.5371027, 12.135739 46.5370308, 12.1357876 46.5369536, 12.1358243 46.5368652, 12.1359195 46.536548, 12.1359368 46.5364743)",,yes,,,,
72865870,False,,Lungo Boite Dottor Maioni,tertiary,True,285.25999999999993,"LINESTRING (12.1312471 46.5393545, 12.1317889 46.5390833, 12.1321106 46.5389001, 12.1323017 46.5387768, 12.1325243 46.538616, 12.1327036 46.5384454, 12.1328692 46.5382241, 12.1330325 46.5379673, 12.1331104 46.5378645, 12.1332244 46.5377483, 12.1333431 46.5376501, 12.1334133 46.5375952, 12.1334522 46.5375693, 12.1334863 46.5375466, 12.133571 46.5375124, 12.1336219 46.5375016, 12.133686 46.5374982)",,,,,,
