osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,lanes
238587028,Terminal Avenue,residential,True,False,101.904,"LINESTRING (-122.216951 47.9804547, -122.2171602 47.9803787, -122.2173835 47.9802976, -122.2179644 47.9798578)",,,
6139285,Bond Street,residential,False,False,182.60500000000002,"LINESTRING (-122.2171719 47.9791851, -122.2176829 47.9787916, -122.2180538 47.9785061, -122.2187815 47.9779458)",,,
"[430876304, 6127464]","['Federal Avenue', 'Hewitt Avenue']","['residential', 'tertiary']",False,"[False, True]",115.21600000000001,"LINESTRING (-122.2171719 47.9791851, -122.216802 47.9793902, -122.2164374 47.9793847, -122.2157346 47.9793772)",,,
430876304,Federal Avenue,residential,False,True,161.29399999999998,"LINESTRING (-122.2171719 47.9791851, -122.2171763 47.9778293, -122.2171805 47.9777346)",,,
430876311,Wall Street,tertiary,False,True,74.572,"LINESTRING (-122.2171805 47.9777346, -122.2181823 47.9777387)",,,
6124146,Federal Avenue,residential,False,True,143.019,"LINESTRING (-122.2171805 47.9777346, -122.217183 47.9776389, -122.2172097 47.9766042, -122.2172137 47.9764486)",,,
430876304,Federal Avenue,residential,False,False,161.29399999999998,"LINESTRING (-122.2171805 47.9777346, -122.2171763 47.9778293, -122.2171719 47.9791851)",,,
1193666757,Wall Street,tertiary,False,False,102.928,"LINESTRING (-122.2171805 47.9777346, -122.2169733 47.9777391, -122.2164898 47.9777496, -122.2157981 47.9777525)",,,
6124146,Federal Avenue,residential,False,False,143.019,"LINESTRING (-122.2172137 47.9764486, -122.2172097 47.9766042, -122.217183 47.9776389, -122.2171805 47.9777346)",,,
430876309,Pacific Avenue,tertiary,False,True,75.035,"LINESTRING (-122.2172137 47.9764486, -122.2179611 47.9764623, -122.2180909 47.9764647, -122.2182197 47.9764787)",,,
1193893411,Pacific Avenue,tertiary,False,False,102.47900000000001,"LINESTRING (-122.2172137 47.9764486, -122.2170558 47.976445, -122.2165161 47.9764325, -122.216392 47.9764312, -122.2159365 47.9764265, -122.2158375 47.9764255)",,,
6138746,Kromer Avenue,residential,False,False,188.707,"LINESTRING (-122.2187815 47.9779458, -122.2188562 47.9778707, -122.2190065 47.9777745, -122.2190982 47.977669, -122.2191458 47.9774767, -122.2191501 47.9773005, -122.2191449 47.9772584, -122.2191284 47.9771253, -122.2190695 47.9769558, -122.2190112 47.9768723, -122.2189368 47.9767915, -122.2188315 47.9767161, -122.2187111 47.9766439, -122.2185433 47.9765731, -122.2184253 47.9765234)",,,
6139285,Bond Street,residential,False,True,182.60500000000002,"LINESTRING (-122.2187815 47.9779458, -122.2180538 47.9785061, -122.2176829 47.9787916, -122.2171719 47.9791851)",,,
430876311,Wall Street,tertiary,False,False,52.903999999999996,"LINESTRING (-122.2187815 47.9779458, -122.2186689 47.9778697, -122.2185276 47.9777735, -122.2181823 47.9777387)",,,
430876311,Wall Street,tertiary,False,False,74.572,"LINESTRING (-122.2181823 47.9777387, -122.2171805 47.9777346)",,,
6133811,Gedney Street,residential,False,False,140.133,"LINESTRING (-122.2181823 47.9777387, -122.2182091 47.9768354, -122.2182155 47.9766211, -122.2182197 47.9764787)",,,
430876311,Wall Street,tertiary,False,True,52.903999999999996,"LINESTRING (-122.2181823 47.9777387, -122.2185276 47.9777735, -122.2186689 47.9778697, -122.2187815 47.9779458)",,,
