osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,width,geometry,tunnel,access,junction,service
406364948,A302,Bridge Street,primary,20 mph,False,False,14.93,,,"LINESTRING (-0.1242336 51.5009376, -0.1240184 51.5009285)",,,,
"[236139546, 166758989]",A3211,Victoria Embankment,primary,20 mph,True,False,63.95400000000001,1,7,"LINESTRING (-0.1242336 51.5009376, -0.124206 51.5010276, -0.1241908 51.5010911, -0.1241763 51.5011473, -0.1241146 51.5014599, -0.124064 51.5014954)",,,,
"[1198421128, 406370787, 413047211, 670633895]",A302,Bridge Street,primary,20 mph,False,False,123.22,"['4', '3']",,"LINESTRING (-0.1242336 51.5009376, -0.1242855 51.5009405, -0.1243359 51.5009433, -0.1243953 51.5009466, -0.1244413 51.500949, -0.1245113 51.5009525, -0.1246078 51.5009611, -0.1251366 51.5009805, -0.1252394 51.500982, -0.1254882 51.50099, -0.1257309 51.5009906, -0.1258508 51.5009939, -0.1260099 51.501001)",,,,
4255607,,King Charles Street,residential,20 mph,False,False,14.007,,,"LINESTRING (-0.1260009 51.5021046, -0.1262032 51.5021076)",,,,
230500143,A3212,Parliament Street,primary,20 mph,True,False,10.269,2,,"LINESTRING (-0.1260009 51.5021046, -0.1260288 51.5020139)",,,,
4255600,A3214,Great George Street,primary,20 mph,False,False,10.106,2,,"LINESTRING (-0.1277256 51.5011318, -0.1278715 51.5011351)",,,,
"[48046842, 416441990]","['A3214', 'A302']",Great George Street,primary,20 mph,True,False,43.186,2,,"LINESTRING (-0.1277256 51.5011318, -0.1276678 51.5011428, -0.12754 51.5011276, -0.1274547 51.5011162, -0.127308 51.5011026, -0.1271155 51.5010743)",,,,
102950257,,Great Peter Street,residential,20 mph,False,True,34.238,2,,"LINESTRING (-0.1308151 51.496846, -0.1303211 51.496861)",,,,
102950257,,Great Peter Street,residential,20 mph,False,False,89.695,2,,"LINESTRING (-0.1308151 51.496846, -0.1313153 51.4968418, -0.1316922 51.496836, -0.1319388 51.4968366, -0.132109 51.4968219)",,,,
102950257,,Great Peter Street,residential,20 mph,False,False,66.339,2,,"LINESTRING (-0.1293674 51.4969194, -0.1295553 51.4969077, -0.1295993 51.496905, -0.1296743 51.4969004, -0.1303211 51.496861)",,,,
102950257,,Great Peter Street,residential,20 mph,False,True,59.865,2,,"LINESTRING (-0.1293674 51.4969194, -0.1292329 51.4969251, -0.1291791 51.4969255, -0.1291091 51.496926, -0.1285031 51.4969347)",,,,
"[320718063, 1070252766, 1070252767]",B326,Great Smith Street,secondary,20 mph,False,True,58.762,,,"LINESTRING (-0.1293674 51.4969194, -0.1293667 51.4969711, -0.129368 51.4970016, -0.1293744 51.4970437, -0.1293802 51.4970823, -0.1294237 51.4973058, -0.1294537 51.4974446)",,,,
102950257,,Great Peter Street,residential,20 mph,False,False,33.226,2,,"LINESTRING (-0.1266409 51.4969589, -0.1271198 51.4969389)",,,,
4259624,,Little College Street,residential,20 mph,False,False,67.54599999999999,2,,"LINESTRING (-0.1266409 51.4969589, -0.126642 51.4969991, -0.1266219 51.4975399, -0.126623 51.4975662)",,,,
102950257,,Great Peter Street,residential,20 mph,False,True,71.169,2,,"LINESTRING (-0.1266409 51.4969589, -0.1257907 51.4969808, -0.1257111 51.4969829, -0.1256743 51.4969838, -0.1256137 51.4969854)",,,,
102950257,,Great Peter Street,residential,20 mph,False,False,71.169,2,,"LINESTRING (-0.1256137 51.4969854, -0.1256743 51.4969838, -0.1257111 51.4969829, -0.1257907 51.4969808, -0.1266409 51.4969589)",,,,
"[805244498, 1240913110]",A3212,Millbank,primary,20 mph,False,False,102.237,3,,"LINESTRING (-0.1256137 51.4969854, -0.1256064 51.4969437, -0.1254096 51.4960748)",,,,
"[1240913112, 4259683, 1240913109, 1240913110]",A3212,Millbank,primary,20 mph,False,True,64.52,"['3', '2']",,"LINESTRING (-0.1256137 51.4969854, -0.1256278 51.4970659, -0.1256758 51.497388, -0.1256849 51.4974402, -0.1256913 51.4974913, -0.1257004 51.4975631)",,,,
4259690,,Dean Stanley Street,residential,20 mph,False,True,79.746,,,"LINESTRING (-0.1254096 51.4960748, -0.1254709 51.4960714, -0.1254929 51.4960691, -0.1255237 51.4960671, -0.1265033 51.4960118, -0.1265566 51.4960088)",,,,
"[805244498, 1240913110]",A3212,Millbank,primary,20 mph,False,True,102.237,3,,"LINESTRING (-0.1254096 51.4960748, -0.1256064 51.4969437, -0.1256137 51.4969854)",,,,
4259690,,Dean Stanley Street,residential,20 mph,False,False,79.74600000000001,,,"LINESTRING (-0.1265566 51.4960088, -0.1265033 51.4960118, -0.1255237 51.4960671, -0.1254929 51.4960691, -0.1254709 51.4960714, -0.1254096 51.4960748)",,,,
4258085,,Broadway,residential,20 mph,False,True,59.182,2,,"LINESTRING (-0.1337589 51.4986705, -0.1334558 51.4990679, -0.1333912 51.499151)",,,,
4259407,,Abbey Orchard Street,residential,20 mph,False,False,51.486,2,,"LINESTRING (-0.130708 51.4983677, -0.1299665 51.4984039)",,,,
4259407,,Abbey Orchard Street,residential,20 mph,False,True,30.639999999999997,2,,"LINESTRING (-0.130708 51.4983677, -0.1308092 51.4983598, -0.1311492 51.4983468)",,,,
4259606,,St. Ann's Street,residential,20 mph,False,True,84.414,2,,"LINESTRING (-0.1305437 51.4976074, -0.1303211 51.496861)",,,,
4259605,,St. Ann's Street,residential,20 mph,True,False,85.515,,,"LINESTRING (-0.1305437 51.4976074, -0.130578 51.4976772, -0.1306659 51.4982538, -0.130708 51.4983677)",,,,
39547935,A302,Victoria Street,primary,20 mph,False,False,55.207,4,,"LINESTRING (-0.1325027 51.4983914, -0.1318033 51.49863)",,,,
4259407,,Abbey Orchard Street,residential,20 mph,False,False,43.410999999999994,2,,"LINESTRING (-0.1325027 51.4983914, -0.1324414 51.4983237, -0.1324154 51.498295, -0.132306 51.4981723, -0.1323066 51.4980329)",,,,
4259407,,Abbey Orchard Street,residential,20 mph,False,True,51.486,2,,"LINESTRING (-0.1299665 51.4984039, -0.130708 51.4983677)",,,,
320718063,B326,Great Smith Street,secondary,20 mph,False,False,114.999,,,"LINESTRING (-0.1299665 51.4984039, -0.1299492 51.4982807, -0.1298608 51.4980642, -0.1298365 51.4980355, -0.1297991 51.4980023, -0.1297087 51.4979201, -0.1295935 51.4978346, -0.1295427 51.4977686, -0.1295111 51.4976981, -0.1294794 51.4976152, -0.1294773 51.4976063, -0.1294537 51.4974446)",,,,
320718063,B326,Great Smith Street,secondary,20 mph,False,True,105.58100000000002,,,"LINESTRING (-0.1299665 51.4984039, -0.1298966 51.4986519, -0.1298754 51.4987273, -0.1298212 51.4989197, -0.1297493 51.4991747, -0.1297411 51.49922, -0.1297387 51.4992511, -0.1297651 51.499288, -0.1298074 51.4993303)",,,,
"[230500562, 547238377, 547238378]",,King Charles Street,"['residential', 'unclassified']",20 mph,False,True,201.99800000000002,,,"LINESTRING (-0.129105 51.5022974, -0.1277216 51.5022124, -0.1266106 51.5021441, -0.1265392 51.5021402, -0.1265309 51.5021396, -0.1263468 51.5021194, -0.1262032 51.5021076)",building_passage,,,
