osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,junction
19691762,Chase Street,residential,False,False,84.681,"LINESTRING (-73.1869861 44.4866018, -73.186885 44.4866078, -73.1868461 44.4866137, -73.1860208 44.4869137)",,,,,
666231496,Colchester Avenue,secondary,False,False,149.019,"LINESTRING (-73.1869861 44.4866018, -73.1867378 44.48786, -73.186728 44.4879292)",2,25 mph,,,
574915990,Barrett Street,tertiary,False,True,26.036,"LINESTRING (-73.186728 44.4879292, -73.1870342 44.4880135)",2,25 mph,,,
19700153,Barrett Street,tertiary,False,False,213.04600000000002,"LINESTRING (-73.186728 44.4879292, -73.1866091 44.4879198, -73.1847187 44.4878105, -73.1845982 44.4877964, -73.1844794 44.4877736, -73.1840857 44.4876607)",,,,,
342862520,Colchester Avenue,secondary,False,False,57.730999999999995,"LINESTRING (-73.186728 44.4879292, -73.1866836 44.4882676, -73.1866727 44.4883703, -73.1866591 44.488446)",4,25 mph,,,
666231496,Colchester Avenue,secondary,False,True,149.019,"LINESTRING (-73.186728 44.4879292, -73.1867378 44.48786, -73.1869861 44.4866018)",2,25 mph,,,
19700776,Mill Street,residential,False,True,98.419,"LINESTRING (-73.1866591 44.488446, -73.1864933 44.4884309, -73.1854238 44.4883645)",2,,,,
"[121796657, 1049651674, 32334025, 24391007]","['Colchester Avenue', 'Main Street']",primary,False,"[False, True]",159.94799999999998,"LINESTRING (-73.1866591 44.488446, -73.1866324 44.4885599, -73.1866197 44.4886181, -73.1866061 44.4887047, -73.1865665 44.4891399, -73.1865137 44.489693, -73.186496 44.489879)",4,,US 2;US 7,yes,
342862520,Colchester Avenue,secondary,False,True,57.731,"LINESTRING (-73.1866591 44.488446, -73.1866727 44.4883703, -73.1866836 44.4882676, -73.186728 44.4879292)",4,25 mph,,,
574915989,Riverside Avenue,primary,False,False,56.659,"LINESTRING (-73.1866591 44.488446, -73.1867777 44.488332, -73.1868819 44.4882158, -73.1870342 44.4880135)",3,25 mph,US 2;US 7,,
579966022,East Spring Street,tertiary,False,False,61.164,"LINESTRING (-73.1845494 44.4944603, -73.1838069 44.4943118)",2,,,,
"[19690293, 579966022]",East Spring Street,tertiary,False,True,133.893,"LINESTRING (-73.1845494 44.4944603, -73.1853958 44.494626, -73.1860731 44.4947523, -73.1861796 44.4947728)","['3', '2']",,,,
"[19690293, 579966022]",East Spring Street,tertiary,False,False,133.893,"LINESTRING (-73.1861796 44.4947728, -73.1860731 44.4947523, -73.1853958 44.494626, -73.1845494 44.4944603)","['3', '2']",,,,
"[896482120, 19691558]",West Spring Street,tertiary,False,False,120.114,"LINESTRING (-73.1861796 44.4947728, -73.1862898 44.4947999, -73.1868345 44.4949334, -73.1875097 44.4950972, -73.1876118 44.4951237)","['3', '2']",,,,
"[111348018, 579966028]",Main Street,primary,False,True,113.752,"LINESTRING (-73.1861796 44.4947728, -73.186211 44.4947071, -73.1863927 44.4943273, -73.1864791 44.4941314, -73.1865285 44.4939366, -73.1865379 44.4937878)","['3', '2']",,US 2;US 7,,
579966022,East Spring Street,tertiary,False,True,61.164,"LINESTRING (-73.1838069 44.4943118, -73.1845494 44.4944603)",2,,,,
114220423,Barlow Street,residential,False,True,96.297,"LINESTRING (-73.1838069 44.4943118, -73.1838194 44.4942457, -73.1838898 44.4938744, -73.1839362 44.4936298, -73.1839696 44.4934536)",,,,,
579966022,East Spring Street,tertiary,False,False,144.52,"LINESTRING (-73.1838069 44.4943118, -73.1835019 44.4942408, -73.1832139 44.4941621, -73.1828626 44.4940469, -73.1822456 44.4938062, -73.1821553 44.493771)",2,,,,
579966022,East Spring Street,tertiary,False,False,74.916,"LINESTRING (-73.1821553 44.493771, -73.1813184 44.4934587)",2,,,,
579966022,East Spring Street,tertiary,False,True,144.52,"LINESTRING (-73.1821553 44.493771, -73.1822456 44.4938062, -73.1828626 44.4940469, -73.1832139 44.4941621, -73.1835019 44.4942408, -73.1838069 44.4943118)",2,,,,
579966022,East Spring Street,tertiary,False,True,74.916,"LINESTRING (-73.1813184 44.4934587, -73.1821553 44.493771)",2,,,,
19690657,Russell Street,residential,False,False,248.77200000000002,"LINESTRING (-73.1813184 44.4934587, -73.1798882 44.4953329, -73.1798189 44.4954237)",,,,,
28435677,West Canal Street,residential,False,True,60.019,"LINESTRING (-73.1892632 44.49083, -73.189224 44.4908131, -73.1887107 44.49059, -73.1886634 44.4905705, -73.188614 44.490553)",,25 mph,,,
1226067273,West Allen Street,tertiary,True,False,6.375,"LINESTRING (-73.1889865 44.4913648, -73.1889153 44.4913914)",1,,,,
1226067279,West Center Street,tertiary,True,False,8.354,"LINESTRING (-73.1889865 44.4913648, -73.1889027 44.4913193)",,,,,
19690465,Weaver Street,residential,False,False,58.191,"LINESTRING (-73.188614 44.490553, -73.188571 44.490605, -73.1885608 44.4906173, -73.1885103 44.4906783, -73.1883873 44.4908268, -73.1882689 44.4909699, -73.1882414 44.4910038)",,,,,
28435677,West Canal Street,residential,False,False,60.019,"LINESTRING (-73.188614 44.490553, -73.1886634 44.4905705, -73.1887107 44.49059, -73.189224 44.4908131, -73.1892632 44.49083)",,25 mph,,,
28435677,West Canal Street,residential,False,True,111.948,"LINESTRING (-73.188614 44.490553, -73.1885583 44.4905352, -73.1885022 44.4905198, -73.1879351 44.4903736, -73.1876253 44.4902937, -73.1874564 44.4902502, -73.1874135 44.4902417, -73.1873717 44.4902371, -73.1872806 44.4902323)",,25 mph,,,
19690465,Weaver Street,residential,False,False,51.649,"LINESTRING (-73.1882414 44.4910038, -73.1882099 44.4910411, -73.188113 44.4911582, -73.1879811 44.4913184, -73.1879818 44.4913325, -73.1879827 44.4913449, -73.1879864 44.4914175)",,,,,
19690465,Weaver Street,residential,False,True,58.191,"LINESTRING (-73.1882414 44.4910038, -73.1882689 44.4909699, -73.1883873 44.4908268, -73.1885103 44.4906783, -73.1885608 44.4906173, -73.188571 44.490605, -73.188614 44.490553)",,,,,
