osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge,tunnel,width,access
663450306,3,A7,Hardwicke Circus,primary,30 mph,roundabout,True,False,51.263000000000005,"LINESTRING (-2.9355526 54.8988359, -2.9354468 54.8989116, -2.9353751 54.8989552, -2.935306 54.8989825, -2.935224 54.899003, -2.9351431 54.8990142, -2.9350569 54.8990115, -2.9349595 54.8989989, -2.9348781 54.8989832)",,,,
4260300,2,A7,Georgian Way,primary,30 mph,,True,False,12.811,"LINESTRING (-2.9342197 54.8982764, -2.9341636 54.8981658)",,,,
663450308,3,A7,Hardwicke Circus,primary,30 mph,roundabout,True,False,32.388000000000005,"LINESTRING (-2.9342197 54.8982764, -2.934347 54.8982098, -2.934488 54.8981586, -2.9345048 54.8981545, -2.9346421 54.8981206)",,,,
4099788,3,A7,Hardwicke Circus,primary,30 mph,roundabout,True,False,36.028,"LINESTRING (-2.9354383 54.8982646, -2.9355684 54.8983527, -2.93563 54.8984168, -2.9356599 54.8984791, -2.9356725 54.8985493)",,,,
1122946202,2,A595,Castle Way,primary,30 mph,,True,False,135.951,"LINESTRING (-2.9354383 54.8982646, -2.9357203 54.8982919, -2.9358521 54.8983011, -2.9359643 54.8982973, -2.9360571 54.8982823, -2.9362247 54.8982399, -2.9364991 54.8981606, -2.9373827 54.8978811)",,,,
4260294,2,A7,Georgian Way,primary,30 mph,,True,False,387.94200000000006,"LINESTRING (-2.9310495 54.8953763, -2.9315231 54.8957546, -2.9323525 54.8961769, -2.9334388 54.8974453, -2.9337844 54.8976978, -2.9342093 54.8979287, -2.9344712 54.8980448, -2.9346421 54.8981206)",,,,
4260301,2,A7,Spencer Street,primary,30 mph,,True,False,139.962,"LINESTRING (-2.9310495 54.8953763, -2.9309581 54.895062, -2.930566 54.8945509, -2.9302873 54.8942048)",,,,
4260302,2,A69,Victoria Place,primary,30 mph,,False,False,70.22,"LINESTRING (-2.9310495 54.8953763, -2.9305971 54.8954217, -2.9299791 54.8955149)",,,,
4260307,2,,Warwick Road,tertiary,30 mph,,False,True,71.547,"LINESTRING (-2.9296427 54.893381, -2.928599 54.8936128)",,,,
23467606,2,A7,Warwick Road,primary,30 mph,,True,False,89.928,"LINESTRING (-2.9296427 54.893381, -2.9302527 54.893226, -2.9309158 54.8930379)",,,,
1032945722,2,,Brunswick Street,tertiary,30 mph,,False,False,70.071,"LINESTRING (-2.9296427 54.893381, -2.9294452 54.893092, -2.9292312 54.892797)",,,,
4260307,2,,Warwick Road,tertiary,30 mph,,False,False,71.547,"LINESTRING (-2.928599 54.8936128, -2.9296427 54.893381)",,,,
23467606,2,A7,Warwick Road,primary,30 mph,,True,False,34.329,"LINESTRING (-2.9309158 54.8930379, -2.931413 54.8929215)",,,,
"[32270562, 29462031]",2,,Cecil Street,"['residential', 'unclassified']",30 mph,,False,False,141.177,"LINESTRING (-2.9309158 54.8930379, -2.9307384 54.8928046, -2.9306598 54.8927002, -2.9306343 54.8926679, -2.9305001 54.892498, -2.930413 54.8924064, -2.929657 54.8920305)",,,,
