osmid,oneway,lanes,ref,highway,reversed,length,geometry,maxspeed,junction,name,bridge,tunnel,access
48436758,True,1,D 10,primary,False,50.894,"LINESTRING (-0.319654 44.6347132, -0.3198527 44.635028, -0.3199057 44.6351341)",,,,,,
383333523,False,,D 10,primary,True,197.19400000000002,"LINESTRING (-0.319654 44.6347132, -0.3192892 44.6343539, -0.3181701 44.6332885)",,,,,,
26479020,True,,,primary,False,7.895,"LINESTRING (-0.3203883 44.6352593, -0.3204031 44.6352254, -0.3204084 44.6351901)",50,roundabout,,,,
26479020,True,,,primary,False,17.131999999999998,"LINESTRING (-0.3204084 44.6351901, -0.3203989 44.6351392, -0.3203699 44.6350922, -0.3203237 44.6350527)",50,roundabout,,,,
38631726,True,1,,unclassified,False,32.650999999999996,"LINESTRING (-0.3204084 44.6351901, -0.3205354 44.6350967, -0.3207329 44.6350128)",,,Rue du Port,,,
26479020,True,,,primary,False,26.932000000000002,"LINESTRING (-0.3201668 44.6350058, -0.3200822 44.6350122, -0.3200051 44.6350379, -0.319944 44.6350801, -0.3199057 44.6351341)",50,roundabout,,,,
48436759,True,1,D 10,primary,False,52.227000000000004,"LINESTRING (-0.3201668 44.6350058, -0.3200658 44.6349688, -0.319654 44.6347132)",,,,,,
26479020,True,,,primary,False,13.858,"LINESTRING (-0.3199057 44.6351341, -0.3198943 44.6351959, -0.3199127 44.6352568)",50,roundabout,,,,
27473481,True,1,,secondary,False,14.497,"LINESTRING (-0.3199127 44.6352568, -0.3198941 44.6353865)",50,,Route de Branne,,,
26479020,True,,,primary,False,18.936999999999998,"LINESTRING (-0.3199127 44.6352568, -0.3199536 44.6353056, -0.3200135 44.635343, -0.3200867 44.6353656)",50,roundabout,,,,
26479020,True,,,primary,False,4.855,"LINESTRING (-0.3200867 44.6353656, -0.3201475 44.6353715)",50,roundabout,,,,
38632637,False,,,residential,True,95.35499999999999,"LINESTRING (-0.3220998 44.6386539, -0.3217366 44.6381871, -0.3214713 44.6379238)",,,Rue de l'Œuille,,,
"[996481048, 222046417, 222046419]",False,,D 10e7,secondary,False,48.44800000000001,"LINESTRING (-0.3220998 44.6386539, -0.3221041 44.638707, -0.3221946 44.638899, -0.3222119 44.6389969, -0.3222261 44.6390776)",50,,Avenue de la Libération,yes,,
"[222046419, 996481046]",False,,D 10e7,secondary,True,26.786,"LINESTRING (-0.3220998 44.6386539, -0.3221209 44.6386189, -0.3221978 44.6385717, -0.3223565 44.6385062)",50,,,,,
996481047,False,,D 10e7,secondary,True,53.254000000000005,"LINESTRING (-0.3223902 44.6395414, -0.3223141 44.6393758, -0.3222261 44.6390776)",50,,Avenue de la Libération,,,
52280334,False,,D 10,primary,True,57.686,"LINESTRING (-0.3217435 44.6367977, -0.3216974 44.6367294, -0.321672 44.6366917, -0.3215582 44.6365304, -0.3214095 44.6363367)",30,,Allée De Lattre de Tassigny,,,
"[38631827, 124085534]",True,,,"['unclassified', 'residential']",False,32.571,"LINESTRING (-0.3217435 44.6367977, -0.3215938 44.6368472, -0.3214974 44.6368854, -0.3214694 44.6368967, -0.3213736 44.6369256)",,,Avenue du Pont,,,
