osmid,oneway,lanes,name,highway,reversed,length,bridge,geometry,maxspeed
"[130151552, 130151553, 19127776]",True,2,West 3rd Street,secondary,False,126.346,yes,"LINESTRING (-82.1129976 41.3650096, -82.1124756 41.3651616, -82.1119436 41.3653148, -82.1117076 41.3653758, -82.1116211 41.3653955, -82.1115783 41.3654039)",
114189101,False,2,Broad Street,tertiary,False,110.28399999999999,,"LINESTRING (-82.1052643 41.3676817, -82.1051501 41.36768, -82.104069 41.367664, -82.103943 41.3676621)",
114189101,False,2,Broad Street,tertiary,True,99.426,,"LINESTRING (-82.1052643 41.3676817, -82.10577 41.3676894, -82.1058387 41.3676905, -82.1064555 41.3676999)",
"[1231751417, 19131538]",False,,Chapel Street,residential,False,126.62199999999999,,"LINESTRING (-82.1052643 41.3676817, -82.1052718 41.3670622, -82.1052722 41.3670285, -82.1052737 41.3669051, -82.1052743 41.3668565, -82.105278 41.366543)",
19128031,False,2,Washington Avenue,tertiary,True,51.824000000000005,,"LINESTRING (-82.1064555 41.3676999, -82.1064529 41.3678222, -82.1064475 41.3680767, -82.1064456 41.3681659)",
114189101,False,2,Broad Street,tertiary,False,99.426,,"LINESTRING (-82.1064555 41.3676999, -82.1058387 41.3676905, -82.10577 41.3676894, -82.1052643 41.3676817)",
653753659,False,2,Broad Street,tertiary,True,38.07,,"LINESTRING (-82.1064555 41.3676999, -82.1065702 41.3677016, -82.1069116 41.3677068)",
653753658,False,2,Broad Street,tertiary,True,25.55,,"LINESTRING (-82.1075391 41.3677162, -82.1078452 41.367721)",
1162446708,False,2,Kerstetter Way,residential,False,68.116,,"LINESTRING (-82.1075391 41.3677162, -82.1075366 41.3678338, -82.1075362 41.3678513, -82.1075309 41.3680927, -82.1075257 41.3683287)",
1230699003,False,2,Broad Street,tertiary,False,52.375,,"LINESTRING (-82.1075391 41.3677162, -82.107385 41.3677139, -82.1069116 41.3677068)",
653753658,False,2,Broad Street,tertiary,False,25.55,,"LINESTRING (-82.1078452 41.367721, -82.1075391 41.3677162)",
