osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,width,tunnel
"[724510548, 33058422]",True,3,B 3,Rohrbacher Straße,primary,50,False,35.06,"LINESTRING (8.6926107 49.4073566, 8.6926198 49.4073333, 8.6926328 49.4072996, 8.692641 49.4072786, 8.692676 49.4071883, 8.6927294 49.4070509)",,,
"[258826316, 155203511]",True,2,,Kurfürsten-Anlage,primary,50,False,222.50199999999998,"LINESTRING (8.6926107 49.4073566, 8.6925048 49.4073348, 8.6923883 49.4073107, 8.6922211 49.4072748, 8.6919995 49.407232, 8.6916314 49.4071591, 8.6909196 49.4070297, 8.6908081 49.4070077, 8.6903307 49.4069276, 8.690148 49.4068953, 8.689811 49.4068357, 8.689655 49.4068054)",,,
"[194539363, 28899572]",True,2,B 3,,primary,50,False,28.515,"LINESTRING (8.6928834 49.411382, 8.692813 49.411372, 8.6927647 49.4113646, 8.6926834 49.4113517, 8.6924957 49.4113385)",,,
"[155204833, 79509565, 39035878, 534193127]",True,2,B 3,"['Theodor-Heuss-Brücke', 'Brückenstraße']",primary,"['50', '30']",False,270.07599999999996,"LINESTRING (8.6928834 49.411382, 8.6928701 49.4115075, 8.6928696 49.4115257, 8.692846 49.4116671, 8.6927471 49.4120387, 8.6923596 49.4134954, 8.6922652 49.4136768, 8.6922215 49.4137681)",yes,,
28890904,True,1,B 37,Neckarstaden,primary,50,False,67.836,"LINESTRING (8.6973772 49.4122085, 8.6977691 49.4122091, 8.6979989 49.4122219, 8.6983138 49.4122297)",,,
"[254017729, 154942463]",False,2,B 37,Neckarstaden,primary,50,True,461.23299999999995,"LINESTRING (8.6973772 49.4122085, 8.6943756 49.4117766, 8.6939809 49.4117271, 8.6933063 49.4116524, 8.6929916 49.4116166, 8.6925529 49.4115643, 8.6924606 49.4115512, 8.6923756 49.4115375, 8.6922612 49.4115175, 8.6921349 49.4114906, 8.6917932 49.4114061, 8.6914048 49.4112968, 8.6911974 49.4112361)",,,
24635974,True,4,B 3,Adenauerplatz,primary,50,False,25.155,"LINESTRING (8.6927294 49.4070509, 8.6930674 49.4069979)",,,
"[124068024, 737300556, 737300557]",True,2,B 3,Rohrbacher Straße,primary,50,False,45.178,"LINESTRING (8.6927294 49.4070509, 8.6927544 49.4069347, 8.6927546 49.4068652, 8.6927469 49.4066458)",,,
"[28910825, 124068012]",True,"['4', '3']",K 9708,Adenauerplatz,secondary,50,False,82.407,"LINESTRING (8.6943269 49.407586, 8.6940853 49.4075645, 8.6939577 49.4075473, 8.6938011 49.4075227, 8.6932802 49.4074357, 8.6932164 49.4074249)",,,
155204827,True,2,B 3,Sofienstraße,primary,30,False,135.39499999999998,"LINESTRING (8.6943269 49.407586, 8.6942806 49.4077344, 8.6942272 49.4078933, 8.6941921 49.4079791, 8.6940696 49.4082639, 8.6939701 49.4085065, 8.6938651 49.4087647, 8.6938647 49.4087655)",,,
