osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,tunnel
"[50287560, 15518515, 691106540, 691106541]",True,2,WV 527,primary,35 mph,False,149.813,5th Street,"LINESTRING (-82.4507672 38.4209293, -82.4508015 38.4207882, -82.4508436 38.4206148, -82.4508657 38.4205055, -82.4508765 38.4203858, -82.4508718 38.4202938, -82.4508543 38.4201725, -82.4508335 38.4200811, -82.4507282 38.4197092, -82.4507238 38.4196937, -82.4506983 38.4196032)",
50287557,False,4,,primary,25 mph,True,66.84700000000001,3rd Avenue,"LINESTRING (-82.4483632 38.4212174, -82.4483138 38.4212262, -82.448036 38.4212759, -82.4477551 38.4213258, -82.447615 38.4213508)",
"[691106520, 691106521, 548266893, 15515086]",True,1,,primary_link,35 mph,False,186.536,,"LINESTRING (-82.4483632 38.4212174, -82.4484717 38.4211994, -82.4487436 38.4211578, -82.448787 38.4211512, -82.4491116 38.4211039, -82.4492215 38.4210908, -82.4493174 38.4210855, -82.4494086 38.4210887, -82.4494991 38.4210976, -82.449589 38.4211129, -82.4496247 38.4211216, -82.4496621 38.4211307, -82.4497312 38.4211538, -82.4497996 38.4211806, -82.4498686 38.4212137, -82.4499357 38.4212516, -82.449998 38.421291, -82.4500617 38.4213398, -82.4501147 38.4213855, -82.4501771 38.4214454, -82.4502689 38.4215468)",
"[548266896, 691106519, 50287556, 180210516]",True,1,,primary_link,25 mph,False,189.019,"['3rd Avenue', '6th Street']","LINESTRING (-82.4483632 38.4212174, -82.4484804 38.4212261, -82.4485751 38.42123, -82.4486851 38.4212295, -82.448787 38.4212242, -82.4491069 38.4211691, -82.4491672 38.4211586, -82.4492028 38.4211575, -82.4492353 38.4211646, -82.4492612 38.4211788, -82.4492732 38.4211938, -82.4493513 38.4214804, -82.449393 38.4216225, -82.4495007 38.4220197, -82.4495326 38.4221375)",
50287527,True,2,US 60;WV 527,primary,35 mph,False,152.202,5th Avenue,"LINESTRING (-82.4503153 38.4182375, -82.450219 38.4182533, -82.4494763 38.4183815, -82.4487091 38.4185181, -82.4486102 38.4185355)",
50287548,False,2,,residential,25 mph,False,155.88600000000002,5th Street,"LINESTRING (-82.4503153 38.4182375, -82.450282 38.4181188, -82.4501188 38.4175397, -82.4499545 38.4169597, -82.4499287 38.4168687)",
50287526,True,3,US 60,primary,35 mph,False,152.61799999999997,5th Avenue,"LINESTRING (-82.4486102 38.4185355, -82.448499 38.418555, -82.448299 38.4185885, -82.4479823 38.4186427, -82.4479173 38.418654, -82.447807 38.4186734, -82.4476051 38.4187088, -82.4471233 38.4187901, -82.4470193 38.4188097, -82.4468997 38.4188316)",
50287534,False,2,WV 527,primary,25 mph,True,156.03,6th Street,"LINESTRING (-82.4486102 38.4185355, -82.448577 38.4184189, -82.4484825 38.4180752, -82.4484131 38.4178374, -82.4483781 38.4177101, -82.4482504 38.4172583, -82.4482241 38.4171653)",
50287546,True,2,WV 527,primary,25 mph,False,154.53199999999998,6th Street,"LINESTRING (-82.4486102 38.4185355, -82.44864 38.4186404, -82.4487259 38.4189382, -82.4487535 38.4190408, -82.4488032 38.4192258, -82.4488917 38.4195439, -82.4489375 38.4197051, -82.4489674 38.4198105, -82.4489819 38.4198941)",
15517556,False,2,,residential,25 mph,False,155.69900000000004,7th Street,"LINESTRING (-82.4468997 38.4188316, -82.4468684 38.4187198, -82.4467018 38.4181327, -82.4466278 38.4178592, -82.4465701 38.4176349, -82.4465492 38.4175536, -82.4465235 38.4174628)",
15517556,False,2,,residential,25 mph,True,155.054,7th Street,"LINESTRING (-82.4468997 38.4188316, -82.4469316 38.4189416, -82.4470315 38.4193002, -82.4470961 38.4195277, -82.4472635 38.4200993, -82.4472899 38.4201921)",
631654568,True,3,US 60,primary,25 mph,False,151.077,5th Avenue,"LINESTRING (-82.4468997 38.4188316, -82.4467931 38.4188506, -82.4461184 38.4189659, -82.4460165 38.418981, -82.4453443 38.4191026, -82.4452072 38.4191272)",
120494014,True,4,US 60,primary,25 mph,False,152.79399999999998,5th Avenue,"LINESTRING (-82.4452072 38.4191272, -82.4451123 38.419144, -82.4446854 38.419218, -82.4445634 38.4192389, -82.444401 38.4192664, -82.4442008 38.419303, -82.444128 38.4193126, -82.4436143 38.4194008, -82.4435972 38.4194038, -82.4434943 38.4194219)",
"[50288360, 754942765]",False,4,,secondary,30 mph,True,156.147,8th Street,"LINESTRING (-82.4452072 38.4191272, -82.4451785 38.4190263, -82.4450996 38.4187495, -82.4450432 38.4185517, -82.445008 38.4184282, -82.444971 38.4182985, -82.4448447 38.4178552, -82.4448166 38.4177567)",
"[180210518, 754942766]",False,4,,secondary,30 mph,False,155.148,8th Street,"LINESTRING (-82.4452072 38.4191272, -82.4452412 38.4192463, -82.4453224 38.4195442, -82.4453936 38.4198055, -82.4453963 38.4198156, -82.4455638 38.4203986, -82.4455891 38.42049)",
548194356,False,2,,residential,25 mph,True,11.45,9th Street,"LINESTRING (-82.4434943 38.4194219, -82.4435186 38.4195231)",
120494014,True,4,US 60,primary,25 mph,False,152.625,5th Avenue,"LINESTRING (-82.4434943 38.4194219, -82.4433886 38.4194402, -82.4418972 38.4196972, -82.4417833 38.4197168)",
548194356,False,2,,residential,25 mph,False,155.516,9th Street,"LINESTRING (-82.4434943 38.4194219, -82.443466 38.4193045, -82.443349 38.4188917, -82.4433023 38.4187268, -82.4432774 38.4186389, -82.4432204 38.4184378, -82.4431384 38.4181484, -82.4431121 38.4180558)",
15520671,False,4,,residential,25 mph,False,154.89299999999997,10th Street,"LINESTRING (-82.4417833 38.4197168, -82.4417548 38.419618, -82.4415909 38.4190233, -82.4414334 38.4184464, -82.4414081 38.4183552)",
15520671,False,4,,residential,25 mph,True,155.709,10th Street,"LINESTRING (-82.4417833 38.4197168, -82.4418125 38.419818, -82.4419447 38.420262, -82.4419889 38.4204173, -82.4421442 38.4209721, -82.4421753 38.421083)",
120494014,True,4,US 60,primary,25 mph,False,151.661,5th Avenue,"LINESTRING (-82.4417833 38.4197168, -82.4416796 38.4197355, -82.4407327 38.4199056, -82.4401938 38.4199978, -82.440085 38.4200164)",
"[749961981, 15518502]",False,4,,residential,25 mph,False,155.374,11th Street,"LINESTRING (-82.440085 38.4200164, -82.4400541 38.4199061, -82.4399253 38.4194458, -82.4398904 38.4193207, -82.4397794 38.4189229, -82.4397289 38.4187417, -82.4397037 38.4186514)",
15518502,False,4,,residential,25 mph,True,155.403,11th Street,"LINESTRING (-82.440085 38.4200164, -82.4401112 38.4201078, -82.4401684 38.4203078, -82.4402433 38.4205761, -82.440281 38.4207079, -82.4404498 38.4213044, -82.4404714 38.4213808)",
50287557,False,4,,primary,25 mph,False,66.847,3rd Avenue,"LINESTRING (-82.447615 38.4213508, -82.4477551 38.4213258, -82.448036 38.4212759, -82.4483138 38.4212262, -82.4483632 38.4212174)",
549242100,False,4,,residential,25 mph,False,131.92000000000002,7th Street,"LINESTRING (-82.447615 38.4213508, -82.4475879 38.4212494, -82.4475586 38.4211396, -82.4475182 38.4210014, -82.4474815 38.4208763, -82.4474722 38.4208444, -82.4474471 38.4207552, -82.44744 38.4207304, -82.4473139 38.4202764, -82.4472899 38.4201921)",
549242101,False,4,,residential,25 mph,True,159.334,7th Street,"LINESTRING (-82.447615 38.4213508, -82.4476477 38.4214676, -82.4476578 38.4215034, -82.4477081 38.4216827, -82.4477466 38.42182, -82.4477711 38.4219073, -82.447973 38.4226269, -82.447984 38.4226611, -82.4479944 38.4226937, -82.4480178 38.4227482)",
"[749961973, 549242102]",False,4,,primary,25 mph,True,153.32199999999997,3rd Avenue,"LINESTRING (-82.447615 38.4213508, -82.4475102 38.4213693, -82.446644 38.4215216, -82.4460187 38.4216316, -82.4458978 38.4216529)",
"[749961973, 549242102]",False,4,,primary,25 mph,False,153.322,3rd Avenue,"LINESTRING (-82.4458978 38.4216529, -82.4460187 38.4216316, -82.446644 38.4215216, -82.4475102 38.4213693, -82.447615 38.4213508)",
"[726981092, 726981093, 15521863, 725908607]",False,"['3', '2']",,primary,30 mph,True,172.716,8th Street,"LINESTRING (-82.4458978 38.4216529, -82.4458983 38.4216897, -82.4458931 38.4217293, -82.4458929 38.4217307, -82.4458835 38.4217685, -82.4458688 38.4218168, -82.4458279 38.421934, -82.4458057 38.4219949, -82.4457964 38.4220559, -82.445799 38.4221184, -82.4458151 38.4221867, -82.4458393 38.4222807, -82.4458654 38.4223679, -82.4460674 38.4230784, -82.4460749 38.4231048, -82.4460938 38.4231716)",
"[50288361, 749961974]",False,3,,unclassified,25 mph,False,152.219,3rd Avenue,"LINESTRING (-82.4458978 38.4216529, -82.445753 38.4216765, -82.4448575 38.4218227, -82.4446135 38.4218625, -82.4443232 38.4219106, -82.4441875 38.4219331)",
"[549204952, 754942767]",False,4,,secondary,30 mph,True,132.149,8th Street,"LINESTRING (-82.4458978 38.4216529, -82.4458902 38.4215878, -82.4458835 38.4215515, -82.4458775 38.421519, -82.4458182 38.4212983, -82.4458033 38.4212429, -82.4457829 38.421167, -82.4457526 38.4210543, -82.4457159 38.4209332, -82.4456214 38.4206072, -82.4455891 38.42049)",
15519781,False,2,,unclassified,25 mph,False,26.426000000000002,9th Street,"LINESTRING (-82.4441875 38.4219331, -82.4441564 38.4218233, -82.4441206 38.4217013)",
15519781,False,2,,unclassified,25 mph,True,55.786,9th Street,"LINESTRING (-82.4441875 38.4219331, -82.4442118 38.4220217, -82.4443023 38.4223516, -82.444322 38.4224236)",
"[50288361, 749961974]",False,3,,unclassified,25 mph,True,152.219,3rd Avenue,"LINESTRING (-82.4441875 38.4219331, -82.4443232 38.4219106, -82.4446135 38.4218625, -82.4448575 38.4218227, -82.445753 38.4216765, -82.4458978 38.4216529)",
"[749961976, 749961975]",False,3,,unclassified,25 mph,False,96.041,3rd Avenue,"LINESTRING (-82.4441875 38.4219331, -82.4440907 38.4219498, -82.4436364 38.4220281, -82.4431108 38.4221187)",
