osmid,highway,oneway,reversed,length,geometry,lanes,name,ref,maxspeed
17389669,residential,False,False,178.825,"LINESTRING (-85.6223234 39.0056597, -85.6223264 39.0055891, -85.622305 39.005104, -85.620951 39.0051)",,,,
17401686,secondary,False,False,117.022,"LINESTRING (-85.6223234 39.0056597, -85.6221585 39.0056552, -85.6214749 39.0056546, -85.6209692 39.0056568)",2,Buckeye Street,,
17401686,secondary,False,True,83.198,"LINESTRING (-85.6223234 39.0056597, -85.6227395 39.0056616, -85.6228721 39.0056727, -85.6230404 39.005695, -85.6230956 39.0057076, -85.6232659 39.005764)",2,Buckeye Street,,
17389669,residential,False,True,178.825,"LINESTRING (-85.620951 39.0051, -85.622305 39.005104, -85.6223264 39.0055891, -85.6223234 39.0056597)",,,,
17402241,residential,False,False,61.937000000000005,"LINESTRING (-85.620951 39.0051, -85.6209696 39.0056096, -85.6209692 39.0056568)",,Vernon Street,,
17402241,residential,False,True,151.745,"LINESTRING (-85.620951 39.0051, -85.6209506 39.0043117, -85.6209835 39.004139, -85.6210262 39.0041026, -85.6210636 39.0040708, -85.6211415 39.004019, -85.6212736 39.0039313, -85.6213731 39.0038765)",,Vernon Street,,
"[17389716, 17398119]",residential,False,"[False, True]",115.09700000000001,"LINESTRING (-85.6267315 39.0052128, -85.626663 39.005157, -85.626474 39.004995, -85.626384 39.004918, -85.626175 39.0047395, -85.626034 39.004619, -85.6258231 39.0044561)",,North Jennings Street,,
17398118,residential,False,False,115.574,"LINESTRING (-85.6267315 39.0052128, -85.6267915 39.0052642, -85.626955 39.005405, -85.627056 39.005492, -85.6275905 39.0059148, -85.6276507 39.0059675)",,North Jennings Street,,
17399704,residential,False,False,115.94200000000001,"LINESTRING (-85.6267315 39.0052128, -85.6266017 39.0052962, -85.6262136 39.0055524, -85.626185 39.005569, -85.625989 39.005711, -85.6257226 39.0058997)",,East Main Street,,
17399704,residential,False,True,115.80199999999999,"LINESTRING (-85.6267315 39.0052128, -85.6268873 39.0050972, -85.6271321 39.0049101, -85.6271958 39.0048685, -85.6277119 39.0045031)",,East Main Street,,
