osmid,oneway,name,highway,reversed,length,lanes,ref,geometry,maxspeed
11749595,True,North Avenue,residential,False,235.412,,,"LINESTRING (-74.0754875 39.9228786, -74.078225 39.9231518)",
11757235,False,North Ocean Avenue,tertiary,False,80.641,2,CR 53,"LINESTRING (-74.0754875 39.9228786, -74.0754438 39.9229802, -74.0751527 39.9234586, -74.0751357 39.9234964, -74.0751144 39.923544)",
11725263,False,G Street,residential,False,171.644,,,"LINESTRING (-74.079693 39.928213, -74.07769 39.9280597)",
11726855,False,North Bayview Avenue,tertiary,False,87.913,2,CR 6,"LINESTRING (-74.079693 39.928213, -74.0798917 39.9289888)",
11726855,False,North Bayview Avenue,tertiary,True,79.948,2,CR 6,"LINESTRING (-74.079693 39.928213, -74.0795268 39.9275054)",
11725263,False,G Street,residential,False,23.902,,,"LINESTRING (-74.07769 39.9280597, -74.0774117 39.928034)",
11725263,False,G Street,residential,True,171.644,,,"LINESTRING (-74.07769 39.9280597, -74.079693 39.928213)",
11750575,True,Northwest Central Avenue,primary,False,79.24,2,NJ 35,"LINESTRING (-74.07769 39.9280597, -74.0778282 39.927355)",35 mph
11725263,False,G Street,residential,True,23.902,,,"LINESTRING (-74.0774117 39.928034, -74.07769 39.9280597)",
11725263,False,G Street,residential,False,279.848,,,"LINESTRING (-74.0774117 39.928034, -74.0773173 39.9280245, -74.0759505 39.9278871, -74.0742523 39.9277272, -74.0741558 39.9277181)",
1051484638,True,Southeast Central Avenue,primary,False,78.981,2,NJ 35,"LINESTRING (-74.0774117 39.928034, -74.0773049 39.9286718, -74.0772937 39.9287385)",
11725263,False,G Street,residential,True,279.84799999999996,,,"LINESTRING (-74.0741558 39.9277181, -74.0742523 39.9277272, -74.0759505 39.9278871, -74.0773173 39.9280245, -74.0774117 39.928034)",
11757235,False,North Ocean Avenue,tertiary,False,78.848,2,CR 53,"LINESTRING (-74.0741558 39.9277181, -74.0741425 39.9277794, -74.0740042 39.9284176)",
11757235,False,North Ocean Avenue,tertiary,True,80.115,2,CR 53,"LINESTRING (-74.0741558 39.9277181, -74.0743044 39.927076, -74.07432 39.9270087)",
1051484637,False,1st Avenue,residential,False,20.217,,,"LINESTRING (-74.07858 39.9225009, -74.0783466 39.922469)",
1051484637,False,1st Avenue,residential,True,97.787,,,"LINESTRING (-74.07858 39.9225009, -74.079036 39.922534, -74.0797192 39.9226004)",
11726327,True,Southwest Central Avenue,primary,False,76.023,2,NJ 35,"LINESTRING (-74.0784683 39.9231792, -74.07858 39.9225009)",
1074686159,False,North Avenue,residential,False,20.97,,,"LINESTRING (-74.0784683 39.9231792, -74.078225 39.9231518)",
