osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed
"[440958689, 440958684]",Emerald Oak Court,residential,True,False,82.591,"LINESTRING (-82.9190352 42.5843746, -82.9191177 42.5843716, -82.9193538 42.5843775, -82.9195361 42.5843547, -82.9193652 42.5843146, -82.9191606 42.5843064, -82.9190399 42.5843092)",1,
440958688,Emerald Oak Court,residential,False,False,7.734,"LINESTRING (-82.918702 42.5843834, -82.9187128 42.5843143)",2,
440958684,Emerald Oak Court,residential,True,False,27.304,"LINESTRING (-82.918702 42.5843834, -82.9187959 42.5843834, -82.9190352 42.5843746)",1,
8672066,Majestic Boulevard,residential,True,False,79.048,"LINESTRING (-82.9168306 42.5839113, -82.91606 42.583483)",,
514195810,Majestic Boulevard,residential,False,True,10.403,"LINESTRING (-82.9168306 42.5839113, -82.9167508 42.5839841)",,
514195810,Majestic Boulevard,residential,False,False,10.403,"LINESTRING (-82.9167508 42.5839841, -82.9168306 42.5839113)",,
514195820,Majestic Boulevard,residential,True,False,81.108,"LINESTRING (-82.9167508 42.5839841, -82.9175432 42.5844219)",,
441111212,Moravian Drive,tertiary,False,True,10.195,"LINESTRING (-82.9175432 42.5844219, -82.917611 42.584345)",2,45 mph
441111212,Moravian Drive,tertiary,False,False,78.59899999999999,"LINESTRING (-82.9175432 42.5844219, -82.9173711 42.5846157, -82.9170834 42.5849397, -82.917021 42.585015)",2,45 mph
8689053,Palm Meadow Drive,residential,False,False,10.689,"LINESTRING (-82.9159912 42.5835647, -82.91606 42.583483)",2,
514195820,Majestic Boulevard,residential,True,False,77.733,"LINESTRING (-82.9159912 42.5835647, -82.9167508 42.5839841)",,
"[8684828, 8689053, 8669278]","['Palm Meadow Drive', 'Birch Meadow Drive North', 'Palms Drive']",residential,False,True,452.086,"LINESTRING (-82.9159912 42.5835647, -82.915123 42.584595, -82.914987 42.584741, -82.914925 42.5848, -82.914871 42.584835, -82.91482 42.584846, -82.914791 42.584845, -82.914687 42.584829, -82.914649 42.584816, -82.914183 42.584611, -82.914142 42.58458, -82.914115 42.584542, -82.914114 42.584517, -82.914129 42.584465, -82.914273 42.58426, -82.915184 42.583177, -82.9154044 42.5829125)",2,
