osmid,lanes,name,highway,width,oneway,reversed,length,geometry,maxspeed,ref,bridge
8657587,2,Prospect Street,residential,13.7,False,False,142.49999999999997,"LINESTRING (-72.599173 42.585453, -72.5989394 42.5854186, -72.598725 42.585387, -72.5986696 42.5853817, -72.5984758 42.5853633, -72.59822 42.585339, -72.59786 42.585289, -72.5977647 42.5852757, -72.5975984 42.5852525, -72.597459 42.585233)",,,
8657865,2,Hope Street,residential,14.9,False,True,51.980000000000004,"LINESTRING (-72.599173 42.585453, -72.5991905 42.58537, -72.599234 42.585164, -72.599235 42.584989)",,,
8657945,2,Hope Street,residential,20.7,False,False,72.84299999999999,"LINESTRING (-72.599173 42.585453, -72.5991579 42.5855125, -72.59901 42.586097)",,,
307818372,2,Mill Street,secondary,,False,False,59.355999999999995,"LINESTRING (-72.6043118 42.5842134, -72.6041245 42.5843951, -72.6039936 42.5845161, -72.6038623 42.5846321)",25 mph,,
307818372,2,Mill Street,secondary,,False,True,55.82599999999999,"LINESTRING (-72.6043118 42.5842134, -72.6045368 42.5839973, -72.6047253 42.5838142)",25 mph,,
8657847,2,Power Square,residential,,False,False,201.84599999999998,"LINESTRING (-72.604059 42.585043, -72.604223 42.585406, -72.603634 42.585545, -72.6033079 42.5856317, -72.6032565 42.5856416, -72.6032154 42.5856447, -72.6031849 42.5856423, -72.6031578 42.5856342, -72.6031309 42.585622, -72.603109 42.5856054, -72.603093 42.5855843, -72.6030858 42.5855617, -72.6030784 42.585527, -72.603073 42.585465, -72.6030695 42.5853894, -72.6030688 42.5852974, -72.6030633 42.5852022, -72.6030564 42.585142, -72.6030522 42.585112, -72.6030367 42.5850492)",,,
8657847,2,Power Square,residential,,False,True,48.445,"LINESTRING (-72.604059 42.585043, -72.6039016 42.5847142, -72.6038623 42.5846321)",,,
"[8657846, 8657975]",2,Power Court,residential,,False,True,259.623,"LINESTRING (-72.604059 42.585043, -72.604344 42.584971, -72.6048123 42.5848465, -72.605198 42.584746, -72.6054028 42.5847041, -72.6054859 42.5846896, -72.6055792 42.5846817, -72.6055803 42.5845281, -72.6055788 42.5844813, -72.6055706 42.5844369, -72.6055604 42.5843973, -72.605549 42.5843597, -72.6055369 42.5843282, -72.6055198 42.5842956, -72.605502 42.5842677, -72.6054665 42.5842292, -72.605432 42.5841966, -72.6053917 42.584169, -72.6053421 42.5841399, -72.6050334 42.583969, -72.6048474 42.5838759, -72.6047253 42.5838142)",,,
"[8657745, 8657542]",2,High Street,primary,14.6,False,True,158.66299999999998,"LINESTRING (-72.59411 42.590839, -72.5941159 42.5908263, -72.594354 42.590314, -72.59457 42.589895, -72.594573 42.58989, -72.594616 42.5898115, -72.594656 42.58973, -72.5946742 42.5896968, -72.594782 42.589501)",,MA 2A,
765870135,2,Main Street,primary,30.2,False,False,71.048,"LINESTRING (-72.601588 42.587996, -72.601351 42.587996, -72.60108 42.587966, -72.6009412 42.58795, -72.600728 42.587923)",20 mph,MA 2A,
765870135,2,Main Street,primary,30.2,False,True,80.251,"LINESTRING (-72.601588 42.587996, -72.601795 42.58799, -72.6019736 42.5879748, -72.6020495 42.5879677, -72.602337 42.587931, -72.602559 42.587904)",20 mph,MA 2A,
8657664,1,Chapman Court,residential,5.5,False,True,140.822,"LINESTRING (-72.603015 42.590017, -72.603548 42.589946, -72.603661 42.589879, -72.603724 42.589803, -72.603697 42.589728, -72.603619 42.589672, -72.603491 42.589617, -72.602944 42.589659)",,,
8657696,2,Chapman Street,tertiary,14.6,False,True,40.234,"LINESTRING (-72.603015 42.590017, -72.603 42.589952, -72.6029758 42.5898141, -72.602944 42.589659)",,,
8657696,2,Chapman Street,tertiary,14.6,False,False,47.108,"LINESTRING (-72.603015 42.590017, -72.6030207 42.590042, -72.6030672 42.5902459, -72.6031103 42.5904348)",,,
8657740,2,Prospect Avenue,residential,9.8,False,True,19.439,"LINESTRING (-72.597539 42.584662, -72.597562 42.584488)",,,
8657740,2,Prospect Avenue,residential,9.8,False,False,63.830000000000005,"LINESTRING (-72.597539 42.584662, -72.597533 42.584708, -72.597459 42.585233)",,,
8657801,2,Armory Street,residential,12.2,False,True,147.96600000000004,"LINESTRING (-72.597539 42.584662, -72.59814 42.584721, -72.598347 42.584749, -72.598424 42.584792, -72.598464 42.584836, -72.598516 42.584876, -72.598597 42.584922, -72.59871 42.584933, -72.599071 42.58497, -72.599235 42.584989)",,,
8657630,1,Spencer Court,residential,5.8,False,True,42.769,"LINESTRING (-72.5970412 42.5844579, -72.597562 42.584488)",,,
8657628,2,Pleasant Street,tertiary,11.6,False,False,115.566,"LINESTRING (-72.603525 42.591946, -72.6029981 42.5918327, -72.6028847 42.5918024, -72.602852 42.5917936, -72.6021872 42.5916157)",,,
8657696,2,Chapman Street,tertiary,14.6,False,True,171.954,"LINESTRING (-72.603525 42.591946, -72.60348 42.591872, -72.603412 42.591726, -72.603357 42.591566, -72.603322 42.591365, -72.603253 42.591107, -72.6032395 42.5910449, -72.6032021 42.590873, -72.603183 42.590785, -72.603127 42.590514, -72.6031103 42.5904348)",,,
8657285,2,Highland Avenue,residential,14.6,False,True,3.188,"LINESTRING (-72.5942645 42.5857075, -72.5942303 42.5856938)",,,
8657244,2,Crescent Street,residential,15.2,False,False,126.66299999999998,"LINESTRING (-72.5942645 42.5857075, -72.594636 42.585845, -72.595215 42.586166, -72.595341 42.58629, -72.595437 42.586416)",,,
8657252,2,Grinnell Street,residential,15.2,False,True,114.833,"LINESTRING (-72.5942645 42.5857075, -72.5942815 42.5856484, -72.5945552 42.5846972)",,,
8657727,2,Newell Court,residential,9.1,False,True,67.374,"LINESTRING (-72.597679 42.590664, -72.597705 42.590517, -72.597687 42.590409, -72.597787 42.590068)",,,
