osmid,oneway,lanes,name,highway,width,reversed,length,maxspeed,geometry,bridge,ref,tunnel
9099506,True,2,Washington Street,residential,12.2,False,94.837,,"LINESTRING (-71.160754 41.698786, -71.1609937 41.6979521)",,,
9101961,False,2,Milliken Boulevard,secondary,19.8,True,134.496,30 mph,"LINESTRING (-71.160754 41.698786, -71.160624 41.698924, -71.160563 41.699018, -71.160492 41.699122, -71.1604638 41.6991554, -71.160394 41.699238, -71.160272 41.6993596, -71.1602583 41.6993732, -71.160092 41.699539, -71.1599569 41.6996752, -71.1598468 41.6997847)",,,
665470575,False,2,Columbia Street,secondary,15.2,False,70.691,,"LINESTRING (-71.160754 41.698786, -71.1604025 41.6987315, -71.160115 41.698687, -71.15992 41.698658)",,,
9101918,False,2,Green Street,residential,12.2,False,78.14500000000001,,"LINESTRING (-71.1573136 41.7041246, -71.1572505 41.7043174, -71.1572214 41.7044354, -71.1572004 41.7048194)",,,
9101918,False,2,Green Street,residential,12.2,True,88.37100000000001,,"LINESTRING (-71.1573136 41.7041246, -71.1575216 41.7034754, -71.157562 41.7033518)",,,
9102448,True,2,Elm Street,residential,12.2,False,81.12100000000001,,"LINESTRING (-71.1573136 41.7041246, -71.1565593 41.7039726, -71.156369 41.703938)",,,
9101701,True,2,Pine Street,residential,12.2,False,104.40799999999999,,"LINESTRING (-71.150465 41.703888, -71.1509527 41.7039774, -71.151256 41.704033, -71.151582 41.704096, -71.151685 41.704116)",,,
9102804,False,2,Winter Street,residential,15.2,False,103.74,,"LINESTRING (-71.150465 41.703888, -71.15046 41.703906, -71.150178 41.704755, -71.150167 41.704794)",,,
1002412515,False,2,Milliken Boulevard,secondary,19.8,False,29.52,30 mph,"LINESTRING (-71.1595534 41.7000681, -71.1597711 41.6998582)",,,
9100195,False,,Spring Street,residential,,False,111.90200000000002,,"LINESTRING (-71.1595534 41.7000681, -71.159469 41.7000148, -71.1594367 41.6999944, -71.1593032 41.6999102, -71.1592278 41.6998475, -71.15918 41.699818, -71.15905 41.69976, -71.158934 41.699726, -71.158789 41.699702, -71.1587286 41.699697, -71.158606 41.699687, -71.158512 41.699652, -71.158402 41.699598)",,,
"[665219696, 665219695]",False,2,Milliken Boulevard,secondary,19.8,True,100.88499999999999,30 mph,"LINESTRING (-71.1595534 41.7000681, -71.15952 41.7001009, -71.1594544 41.7001652, -71.1591301 41.7004799, -71.1589737 41.7006317, -71.1589345 41.7006699, -71.1588128 41.7007874)",,,
"[9102691, 9102782]",False,2,"['Second Street', 'Borden Street']",tertiary,"['18.3', '12.2']",False,197.03400000000002,30 mph,"LINESTRING (-71.1550663 41.6993614, -71.155184 41.699421, -71.1553267 41.699483, -71.155511 41.69955, -71.155598 41.69956, -71.155668 41.699554, -71.155715 41.699544, -71.155788 41.699515, -71.155875 41.699434, -71.156131 41.699222, -71.156325 41.69906, -71.1563891 41.6989846, -71.15641 41.69896, -71.1564442 41.6989193, -71.156521 41.698828, -71.156714 41.698574)",,,
9102782,False,2,Borden Street,tertiary,18.3,True,71.726,,"LINESTRING (-71.1550663 41.6993614, -71.154925 41.699297, -71.154596 41.699142, -71.154335 41.699018)",,,
619493224,False,2,Third Street North,tertiary,15.2,False,119.24600000000001,,"LINESTRING (-71.1550663 41.6993614, -71.1547092 41.699807, -71.154697 41.6998222, -71.1545964 41.6999477, -71.15456 41.6999932, -71.1545142 41.7000503, -71.1543287 41.7002816)",,,
9099464,False,2,Cherry Street,residential,15.2,False,55.114,,"LINESTRING (-71.158085 41.705849, -71.1574239 41.7058035)",,,
9101779,False,2,Meadow Street,residential,12.2,True,115.29899999999999,,"LINESTRING (-71.158085 41.705849, -71.158195 41.705855, -71.158256 41.705387, -71.1582739 41.7052524, -71.15832 41.704905)",,,
9100458,True,2,High Street,tertiary,12.2,False,130.42200000000003,30 mph,"LINESTRING (-71.152007 41.702968, -71.1519032 41.7033333, -71.1518501 41.7035201, -71.151845 41.703538, -71.151685 41.704116)",,,
9102676,True,2,Franklin Street,residential,9.1,False,85.18599999999999,,"LINESTRING (-71.152007 41.702968, -71.152512 41.703074, -71.1526469 41.7030973, -71.15297 41.703153, -71.153001 41.703157)",,,
619493227,True,2,Franklin Street,residential,9.1,False,101.291,,"LINESTRING (-71.152007 41.702968, -71.151589 41.702898, -71.151282 41.702846, -71.1508179 41.702764)",,,
665219697,False,,Connector Street,tertiary,,False,62.54,,"LINESTRING (-71.1582356 41.7010425, -71.1576971 41.7014358)",,,
620289036,False,2,Anawan Street,residential,10.7,False,54.917,,"LINESTRING (-71.1582356 41.7010425, -71.1578105 41.7008856, -71.1576416 41.7008252)",,,
1266469904,False,,Connector Street,tertiary,,True,56.501999999999995,,"LINESTRING (-71.1582356 41.7010425, -71.1583131 41.7009861, -71.1583573 41.7009565, -71.1583997 41.7009301, -71.1584425 41.7009064, -71.1584861 41.7008848, -71.1585422 41.7008635, -71.1586027 41.7008445, -71.158615 41.7008412, -71.1588128 41.7007874)",,,
9101918,False,2,Green Street,residential,12.2,False,39.118,,"LINESTRING (-71.1576724 41.7030098, -71.157562 41.7033518)",,,
665219692,True,2,Central Street,secondary,12.2,False,152.76600000000002,35 mph,"LINESTRING (-71.1576724 41.7030098, -71.1577957 41.7030775, -71.1578618 41.7031117, -71.1589578 41.7036525, -71.1590443 41.7036911, -71.1591264 41.7037256, -71.159213 41.7037598)",,,
