osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed
18218246,False,2,South Minnesota Street,tertiary,True,44.213,"LINESTRING (-95.1210861 44.5365311, -95.1210912 44.5369287)",,
18218246,False,2,South Minnesota Street,tertiary,False,54.573,"LINESTRING (-95.1210861 44.5365311, -95.1210896 44.5364913, -95.1210932 44.5360404)",,
461792434,False,2,South Mill Street,primary,False,15.265,"LINESTRING (-95.119387 44.5408845, -95.1195796 44.5408834)",US 71,
"[18216505, 461792437]",False,2,South Mill Street,primary,True,87.92099999999999,"LINESTRING (-95.119387 44.5408845, -95.1191161 44.5410455, -95.1189802 44.5411151, -95.1187966 44.5411982, -95.1186962 44.5412435, -95.1184826 44.5413401)",US 71,30 mph
18217005,False,2,East Bridge Street,primary,False,78.128,"LINESTRING (-95.1194671 44.5413132, -95.1193152 44.5413242, -95.1191453 44.5413328, -95.1190202 44.5413352, -95.1184826 44.5413401)",MN 19,30 mph
18217585,False,2,West Bridge Street,primary,False,135.093,"LINESTRING (-95.1194671 44.5413132, -95.1196541 44.5412808, -95.1198652 44.5412372, -95.1203554 44.5411372, -95.1205182 44.541104, -95.1207026 44.5410714, -95.1209263 44.5410375, -95.1211178 44.5410135)",MN 19,
200986804,False,,West Bridge Street,residential,True,132.142,"LINESTRING (-95.1194671 44.5413132, -95.1198857 44.5413479, -95.1202281 44.5413538, -95.120555 44.541413, -95.1211039 44.5415118)",,
18217135,False,,North Drew Street,residential,False,97.97399999999999,"LINESTRING (-95.1114317 44.5413694, -95.1114328 44.5414434, -95.1114382 44.5418137, -95.1114495 44.5422504)",,
461792429,False,3,East Bridge Street,primary,True,128.344,"LINESTRING (-95.1114317 44.5413694, -95.1115257 44.54137, -95.1129667 44.5413694, -95.1130511 44.5413694)",US 71;MN 19,30 mph
461792434,False,2,South Mill Street,primary,True,15.265,"LINESTRING (-95.1195796 44.5408834, -95.119387 44.5408845)",US 71,
