osmid,oneway,highway,reversed,length,geometry,name,lanes,ref,maxspeed
16861213,False,residential,False,120.255,"LINESTRING (-114.571066 35.1433691, -114.5719347 35.143483, -114.572372 35.1435397)",,,,
263216945,False,residential,False,105.793,"LINESTRING (-114.571066 35.1433691, -114.571013 35.1436597, -114.5708943 35.1443101)",,,,
16880520,False,residential,True,421.004,"LINESTRING (-114.5628668 35.146634, -114.5669895 35.1465974, -114.5674948 35.1466354)",Carefree Drive,,,
1221832093,False,residential,False,198.358,"LINESTRING (-114.5651915 35.1473087, -114.566474 35.1472983, -114.5672592 35.14734, -114.5673712 35.1473459)",,,,
16892622,False,residential,True,334.824,"LINESTRING (-114.5672935 35.1457011, -114.5669624 35.1460011, -114.566741 35.1462349, -114.5665257 35.1463662, -114.5659318 35.1463539, -114.5654406 35.1463576, -114.5645559 35.1463359, -114.5639682 35.1463342)",Decker Drive,,,
1013985376,False,residential,False,33.653,"LINESTRING (-114.5672935 35.1457011, -114.5675766 35.1457576, -114.5676515 35.1457774)",3rd Street,,,
1013985376,False,residential,True,180.30100000000002,"LINESTRING (-114.5672935 35.1457011, -114.566978 35.14558, -114.5659209 35.1453794, -114.5653868 35.1452746)",3rd Street,,,
16887226,False,residential,False,207.105,"LINESTRING (-114.5697004 35.1460046, -114.5693542 35.1478455)",Long Avenue,,,
16887226,False,residential,True,200.837,"LINESTRING (-114.5697004 35.1460046, -114.5699804 35.144213)",Long Avenue,,,
16880684,False,residential,False,85.089,"LINESTRING (-114.5697004 35.1460046, -114.5701404 35.1460668, -114.5706226 35.1461348)",3rd Street,,,
16880684,False,residential,True,94.46799999999999,"LINESTRING (-114.5697004 35.1460046, -114.5691991 35.1459591, -114.5688189 35.1459255, -114.568668 35.1459093)",3rd Street,,,
16882099,False,residential,False,95.94,"LINESTRING (-114.5629577 35.1505875, -114.5629528 35.1514503)",Zurcher Avenue,,,
16882099,False,residential,True,95.94,"LINESTRING (-114.5629528 35.1514503, -114.5629577 35.1505875)",Zurcher Avenue,,,
