osmid,name,highway,oneway,reversed,length,lanes,ref,geometry
594352242,Anderman Street,unclassified,False,False,13.289,,,"LINESTRING (-107.8462061 35.1486086, -107.846127 35.1487091)"
14451596,Geis Street,residential,False,False,13.289,,,"LINESTRING (-107.8483631 35.1497096, -107.848284 35.1498101)"
14453627,East Santa Fe Avenue,primary,True,False,231.189,4,I 40 Business;NM 122,"LINESTRING (-107.8483631 35.1497096, -107.8475726 35.1493061, -107.8462061 35.1486086)"
14451596,Geis Street,residential,False,True,110.477,,,"LINESTRING (-107.8476378 35.1506515, -107.848284 35.1498101)"
14452734,East High Avenue,residential,False,False,113.937,,,"LINESTRING (-107.8476378 35.1506515, -107.8486895 35.1512087)"
14453602,West High Street,residential,False,True,115.318,,,"LINESTRING (-107.8497684 35.151754, -107.8486895 35.1512087)"
1094556876,2nd Street,secondary,True,False,110.418,,,"LINESTRING (-107.8497684 35.151754, -107.8504083 35.15091)"
481221697,Historic Route 66,primary,True,False,113.433,2,I 40 Business;NM 122,"LINESTRING (-107.8504891 35.1508098, -107.8494373 35.1502611)"
226328877,3rd Street,residential,False,False,13.504,,,"LINESTRING (-107.8515926 35.1513604, -107.8515139 35.1514634)"
226328877,3rd Street,residential,False,True,60.017,,,"LINESTRING (-107.8515926 35.1513604, -107.8519517 35.1509075)"
481221697,Historic Route 66,primary,True,False,117.533,2,I 40 Business;NM 122,"LINESTRING (-107.8515926 35.1513604, -107.8504891 35.1508098)"
14452734,East High Avenue,residential,False,True,113.937,,,"LINESTRING (-107.8486895 35.1512087, -107.8476378 35.1506515)"
14453602,West High Street,residential,False,False,115.318,,,"LINESTRING (-107.8486895 35.1512087, -107.8497684 35.151754)"
14453627,East Santa Fe Avenue,primary,True,False,115.321,4,I 40 Business;NM 122,"LINESTRING (-107.8494373 35.1502611, -107.8483631 35.1497096)"
1085729062,1st Street,secondary,True,False,13.353,,,"LINESTRING (-107.8494373 35.1502611, -107.8493594 35.1503629)"
226328877,3rd Street,residential,False,False,60.017,,,"LINESTRING (-107.8519517 35.1509075, -107.8515926 35.1513604)"
594352242,Anderman Street,unclassified,False,True,13.289,,,"LINESTRING (-107.846127 35.1487091, -107.8462061 35.1486086)"
481083645,East Santa Fe Avenue,primary,True,False,231.189,4,I 40 Business;NM 122,"LINESTRING (-107.846127 35.1487091, -107.8474949 35.1494074, -107.848284 35.1498101)"
14451596,Geis Street,residential,False,False,110.477,,,"LINESTRING (-107.848284 35.1498101, -107.8476378 35.1506515)"
14451596,Geis Street,residential,False,True,13.289,,,"LINESTRING (-107.848284 35.1498101, -107.8483631 35.1497096)"
481083645,East Santa Fe Avenue,primary,True,False,115.491,4,I 40 Business;NM 122,"LINESTRING (-107.848284 35.1498101, -107.8493594 35.1503629)"
234899473,Historic Route 66,primary,True,False,113.115,2,I 40 Business;NM 122,"LINESTRING (-107.8493594 35.1503629, -107.8504083 35.15091)"
563656853,1st Street,secondary,True,False,112.048,,,"LINESTRING (-107.8493594 35.1503629, -107.8486895 35.1512087)"
226328877,3rd Street,residential,False,True,13.504,,,"LINESTRING (-107.8515139 35.1514634, -107.8515926 35.1513604)"
234899473,Historic Route 66,primary,True,False,117.858,2,I 40 Business;NM 122,"LINESTRING (-107.8504083 35.15091, -107.8515139 35.1514634)"
1094556876,2nd Street,secondary,True,False,13.346,,,"LINESTRING (-107.8504083 35.15091, -107.8504891 35.1508098)"
