osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge
18053805,US 71;MN 60,2nd Avenue North,trunk,False,True,127.988,"LINESTRING (-95.1149641 43.8654157, -95.1149594 43.8648346, -95.1149547 43.8642647)",4,30 mph,
18053840,,9th Street,residential,False,False,111.355,"LINESTRING (-95.1149641 43.8654157, -95.1150557 43.8654161, -95.1156986 43.8654188, -95.1162166 43.8654189, -95.1163531 43.8654189)",,,
18053805,US 71;MN 60,2nd Avenue North,trunk,False,False,128.841,"LINESTRING (-95.1149497 43.8677059, -95.1149496 43.8677951, -95.1149493 43.8683955, -95.1149332 43.8687248, -95.114906 43.868863)",4,30 mph,
18053805,US 71;MN 60,2nd Avenue North,trunk,False,True,127.92999999999999,"LINESTRING (-95.1149497 43.8677059, -95.1149497 43.867639, -95.1149498 43.867128, -95.1149498 43.8665554)",4,30 mph,
292646917,,11th Street,residential,False,False,38.119,"LINESTRING (-95.1149497 43.8677059, -95.1148034 43.8677053, -95.1144742 43.8677038)",,,
292646917,,11th Street,residential,False,True,109.434,"LINESTRING (-95.1149497 43.8677059, -95.1150541 43.8677061, -95.1163148 43.8677089)",,,
111657820,CR 13,12th Street,tertiary,False,True,63.976,"LINESTRING (-95.114906 43.868863, -95.114108 43.8688557)",,,
18053805,US 71;MN 60,2nd Avenue North,trunk,False,True,128.841,"LINESTRING (-95.114906 43.868863, -95.1149332 43.8687248, -95.1149493 43.8683955, -95.1149496 43.8677951, -95.1149497 43.8677059)",4,30 mph,
18053934,US 71;MN 60,State Highway 60,trunk,False,False,141.61700000000002,"LINESTRING (-95.114906 43.868863, -95.114861 43.8689729, -95.1148047 43.8690853, -95.1147565 43.8691621, -95.1147122 43.8692242, -95.1146273 43.8693304, -95.114475 43.869505, -95.114335 43.8696666, -95.1142373 43.8698022, -95.1141209 43.8699982)",4,30 mph,
111657820,CR 13,12th Street,tertiary,False,False,115.71600000000001,"LINESTRING (-95.114906 43.868863, -95.1150473 43.8688628, -95.1156601 43.8688617, -95.1163495 43.8688605)",,,
52559570,,2nd Avenue North,residential,False,False,96.684,"LINESTRING (-95.1149431 43.869131, -95.1149437 43.8700005)",,,
18053816,CR 17,6th Street,tertiary,False,False,54.517,"LINESTRING (-95.1119385 43.8623702, -95.1126185 43.8623703)",,,
18053924,,Miller Avenue,residential,False,False,210.43,"LINESTRING (-95.1119385 43.8623702, -95.1119561 43.8642626)",,,
18053816,CR 17,6th Street,tertiary,False,True,84.807,"LINESTRING (-95.1119385 43.8623702, -95.1116351 43.8623709, -95.1108807 43.8623676)",,,
18054060,,1st Avenue North,residential,False,False,82.642,"LINESTRING (-95.1141432 43.862365, -95.1141358 43.8631082)",,,
18053816,CR 17,6th Street,tertiary,False,False,71.466,"LINESTRING (-95.1141432 43.862365, -95.114406 43.8623658, -95.1150346 43.8623676)",,,
18053816,CR 17,6th Street,tertiary,False,True,122.244,"LINESTRING (-95.1141432 43.862365, -95.113633 43.862363, -95.1126185 43.8623703)",,,
174867098,MN 62,6th Street,primary,False,False,63.024,"LINESTRING (-95.1206009 43.8623827, -95.121387 43.8623806)",,,
"[174867097, 174867098, 59876732]",MN 62,6th Street,primary,False,True,230.102,"LINESTRING (-95.1206009 43.8623827, -95.1197861 43.862382, -95.1187231 43.862382, -95.1177308 43.8623831)",,,yes
174867098,MN 62,6th Street,primary,False,False,28.742,"LINESTRING (-95.121387 43.8623806, -95.1217455 43.8623813)",,,
174867098,MN 62,6th Street,primary,False,True,63.024,"LINESTRING (-95.121387 43.8623806, -95.1206009 43.8623827)",,,
18053907,,Des Moines Drive,residential,False,True,174.83299999999997,"LINESTRING (-95.121387 43.8623806, -95.1213924 43.862512, -95.1214324 43.8626487, -95.1215014 43.8627957, -95.121605 43.862936, -95.1217052 43.8630467, -95.1218463 43.8631642, -95.122047 43.8632886, -95.1226192 43.863586)",,,
18053840,,9th Street,residential,False,False,109.649,"LINESTRING (-95.1119569 43.8654261, -95.1133246 43.865433)",,,
18053924,,Miller Avenue,residential,False,False,125.719,"LINESTRING (-95.1119569 43.8654261, -95.1119659 43.8665567)",,,
18053924,,Miller Avenue,residential,False,True,129.375,"LINESTRING (-95.1119569 43.8654261, -95.1119561 43.8642626)",,,
18053840,,9th Street,residential,False,False,66.561,"LINESTRING (-95.114134 43.8654275, -95.1149641 43.8654157)",,,
18054060,,1st Avenue North,residential,False,False,125.612,"LINESTRING (-95.114134 43.8654275, -95.114119 43.8665571)",,,
18054060,,1st Avenue North,residential,False,True,129.154,"LINESTRING (-95.114134 43.8654275, -95.1141392 43.864266)",,,
18053840,,9th Street,residential,False,True,64.89099999999999,"LINESTRING (-95.114134 43.8654275, -95.1136229 43.8654315, -95.1133246 43.865433)",,,
18053924,,Miller Avenue,residential,False,False,127.756,"LINESTRING (-95.1119708 43.8677041, -95.1119828 43.868853)",,,
18053924,,Miller Avenue,residential,False,True,127.586,"LINESTRING (-95.1119708 43.8677041, -95.1119659 43.8665567)",,,
174867096,,11th Street,residential,False,True,106.374,"LINESTRING (-95.1119708 43.8677041, -95.1132977 43.8677111)",,,
18053924,,Miller Avenue,residential,False,True,127.756,"LINESTRING (-95.1119828 43.868853, -95.1119708 43.8677041)",,,
111657820,CR 13,12th Street,tertiary,False,False,107.107,"LINESTRING (-95.1119828 43.868853, -95.1133189 43.868852)",,,
111657820,CR 13,12th Street,tertiary,False,False,63.976,"LINESTRING (-95.114108 43.8688557, -95.114906 43.868863)",,,
18054060,,1st Avenue North,residential,False,True,255.629,"LINESTRING (-95.114108 43.8688557, -95.114087 43.867731, -95.114119 43.8665571)",,,
111657820,CR 13,12th Street,tertiary,False,True,63.259,"LINESTRING (-95.114108 43.8688557, -95.1136194 43.8688543, -95.1133189 43.868852)",,,
292646917,,11th Street,residential,False,True,38.119,"LINESTRING (-95.1144742 43.8677038, -95.1148034 43.8677053, -95.1149497 43.8677059)",,,
18053728,,6th Avenue,tertiary,False,False,32.958,"LINESTRING (-95.1206186 43.8677061, -95.1206174 43.8680025)",,,
18053728,,6th Avenue,tertiary,False,True,128.119,"LINESTRING (-95.1206186 43.8677061, -95.1206231 43.8666563, -95.1206235 43.8665539)",,,
292646917,,11th Street,residential,False,False,117.14099999999999,"LINESTRING (-95.1206186 43.8677061, -95.1204865 43.8677068, -95.1192516 43.8677134, -95.1191574 43.8677139)",,,
18053840,,9th Street,residential,False,True,64.785,"LINESTRING (-95.1199689 43.8654057, -95.1191608 43.8654022)",,,
