osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,access,width,ref
"[860818979, 659326900, 352100172]",Kurfürstenstraße,secondary,50,False,True,279.33799999999997,"['3', '2']","LINESTRING (13.0663443 52.4050013, 13.065997 52.4049361, 13.0655297 52.4048484, 13.0632994 52.4044296, 13.0632606 52.4044224, 13.0627182 52.4043207, 13.0626544 52.4043086, 13.0626446 52.4043072, 13.0624087 52.4042625)",,,
"[223247337, 675598067, 143769173]",Hebbelstraße,residential,50,False,False,244.55800000000002,2,"LINESTRING (13.0629304 52.4023843, 13.0630548 52.4019707, 13.0630962 52.4018429, 13.0631465 52.4016874, 13.0631492 52.4015368, 13.0631677 52.4014572, 13.0631824 52.4014054, 13.063197 52.4013173, 13.0631628 52.4012172, 13.062849 52.4009631, 13.0626322 52.4007778, 13.0623452 52.4005459, 13.062282 52.4004948, 13.0622347 52.4003832)",,,
"[217126772, 675584743]",Hebbelstraße,residential,50,False,True,101.28,2,"LINESTRING (13.0629304 52.4023843, 13.062906 52.4024652, 13.0628717 52.4025794, 13.0628315 52.4027129, 13.0628165 52.4027677, 13.0627677 52.4029464, 13.0627233 52.403109, 13.0626762 52.4032818)",,,
"[143769172, 793858429]",Gutenbergstraße,residential,30,False,True,142.788,,"LINESTRING (13.0629304 52.4023843, 13.0623267 52.4023072, 13.0618703 52.402249, 13.0614627 52.402197, 13.0608703 52.4021213)",,,
"[120408914, 778832475]",Charlottenstraße,residential,50,False,True,11.887,,"LINESTRING (13.0664862 52.3989324, 13.0664293 52.3989558, 13.0664092 52.3989644, 13.0663884 52.398974, 13.0663444 52.3989951)",,,
8662056,Am Kanal,tertiary,50,False,True,13.216,,"LINESTRING (13.0661817 52.3986534, 13.0661039 52.3986801, 13.0660824 52.3986889, 13.0660613 52.398697, 13.0660169 52.3987165)",,,
13219574,Berliner Straße,tertiary,50,True,False,37.282,1,"LINESTRING (13.0661817 52.3986534, 13.0663183 52.3987718, 13.0664862 52.3989324)",,,
"[39668528, 223247367]",Am Kanal,residential,30,False,False,23.086,,"LINESTRING (13.0661817 52.3986534, 13.0663306 52.3986183, 13.0665057 52.3986454)",,,
4778097,Französische Straße,residential,50,False,False,58.885,2,"LINESTRING (13.0626694 52.3985898, 13.0626573 52.3981042, 13.0626564 52.3980603)",,,
"[4778099, 76503230]","['Posthofstraße', 'Charlottenstraße']",residential,"['50', '30']",False,False,323.411,,"LINESTRING (13.0626694 52.3985898, 13.0627492 52.3985894, 13.0628039 52.3985891, 13.0630903 52.3987061, 13.0635149 52.3988856, 13.063551 52.3989008, 13.0635877 52.3989163, 13.0640716 52.3991209, 13.0641774 52.3991656, 13.0644005 52.3992599, 13.0651134 52.3995612, 13.06531 52.3996443, 13.0654071 52.3996854, 13.0655033 52.3996157, 13.0656089 52.3995362, 13.0659194 52.3993107, 13.0662943 52.3990323, 13.0663444 52.3989951)",yes,,
