osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,access,geometry
588223206,True,3,GA 141,Peachtree Parkway Northwest,trunk,45 mph,False,31.905,,"LINESTRING (-84.2195366 33.9739848, -84.2194172 33.9742541)"
9282459,True,,,Zach Young Parkway,unclassified,25 mph,False,142.139,destination,"LINESTRING (-84.2186018 33.9730127, -84.218984 33.9734509, -84.2191061 33.9735755, -84.2191557 33.9736044, -84.2192643 33.9736466, -84.2193676 33.9736967, -84.2194165 33.9737345, -84.2194561 33.9737801, -84.2194923 33.9738411, -84.2195366 33.9739848)"
264353354,False,,,Zach Young Parkway,unclassified,25 mph,False,730.052,destination,"LINESTRING (-84.2186018 33.9730127, -84.2185688 33.9729824, -84.218041 33.9724978, -84.2179773 33.9724393, -84.2179259 33.9723921, -84.217647 33.9721074, -84.2172849 33.9718894, -84.2170059 33.9717448, -84.2169934 33.9717407, -84.216915 33.9717151, -84.2166787 33.971638, -84.2160859 33.971469, -84.2158016 33.9713667, -84.215587 33.9712599, -84.215461 33.9711798, -84.2153778 33.9710997, -84.2152664 33.9709627, -84.2152169 33.9709018, -84.2150667 33.9704858, -84.2150491 33.9702818, -84.2150425 33.9702055, -84.2150547 33.9701479, -84.215115 33.969863, -84.2151632 33.969754, -84.2152732 33.9695916, -84.2153404 33.969509, -84.2153632 33.9694787, -84.2154073 33.9694158, -84.2158261 33.9691222, -84.2159175 33.9690588, -84.216499 33.968724, -84.216737 33.968567)"
331322922,False,,,Spalding Drive,secondary,40 mph,True,398.89,,"LINESTRING (-84.2172849 33.9682056, -84.21736 33.9682662, -84.217976 33.968763, -84.2179889 33.9687719, -84.2180085 33.9687853, -84.2182661 33.9689623, -84.2182883 33.9689776, -84.2184597 33.9690954, -84.2188996 33.9692734, -84.2190641 33.9693389, -84.2193127 33.969438, -84.2194071 33.9694724, -84.2196345 33.9695448, -84.2198813 33.969616, -84.2201602 33.9696827, -84.2202601 33.9697028, -84.2205358 33.9697583, -84.2210281 33.9698343)"
565370857,True,,,Technology Parkway Northwest,tertiary,,False,68.195,,"LINESTRING (-84.2172849 33.9682056, -84.2173773 33.9681358, -84.2174189 33.9681043, -84.2175141 33.9679686, -84.2176388 33.9677784, -84.2176542 33.9676899)"
771228082,True,,,Zach Young Parkway,unclassified,25 mph,False,67.566,destination,"LINESTRING (-84.2172849 33.9682056, -84.2171246 33.9682225, -84.2168962 33.9683904, -84.216737 33.968567)"
9296982,False,,,Scientific Drive Northwest,unclassified,,False,117.13,,"LINESTRING (-84.217991 33.966213, -84.2180916 33.9662003, -84.218157 33.966192, -84.218263 33.966189, -84.218464 33.966127, -84.218699 33.966017, -84.2191396 33.965801)"
631281844,False,,,Technology Parkway Northwest,tertiary,,False,94.11,,"LINESTRING (-84.217991 33.966213, -84.217976 33.966678, -84.2179714 33.9667527, -84.2179587 33.9668983, -84.2179196 33.9670554)"
331322924,True,2,GA 141,Peachtree Parkway Northwest,trunk,45 mph,False,30.022,,"LINESTRING (-84.2204726 33.9724269, -84.2205853 33.9721736)"
588225469,True,1,,Triangle Drive Northwest,unclassified,,False,9.974,,"LINESTRING (-84.2204726 33.9724269, -84.2203675 33.9724057)"
