osmid,highway,oneway,reversed,length,geometry,name
24189308,residential,False,False,192.85200000000003,"LINESTRING (-170.7232366 -14.3281943, -170.723496 -14.3281483, -170.7237565 -14.3280838, -170.7239083 -14.3280157, -170.724034 -14.3279106, -170.724364 -14.3276216, -170.724431 -14.3275006, -170.7244466 -14.3274489, -170.724483 -14.3273276, -170.724513 -14.3271836)",
189839228,residential,False,False,15.475,"LINESTRING (-170.7232366 -14.3281943, -170.7231691 -14.3281273, -170.7231366 -14.3280944)",Procurement Road
189839228,residential,False,True,95.681,"LINESTRING (-170.7232366 -14.3281943, -170.7233178 -14.3282826, -170.7233998 -14.3283752, -170.7234985 -14.3284996, -170.7235658 -14.3285978, -170.7236212 -14.3286827, -170.7236786 -14.3287823, -170.7237416 -14.3288981)",Procurement Road
24188548,residential,False,False,69.172,"LINESTRING (-170.7231366 -14.3280944, -170.7232755 -14.3279444, -170.7234775 -14.3277309, -170.7235522 -14.3276218)",
189839228,residential,False,True,15.475,"LINESTRING (-170.7231366 -14.3280944, -170.7231691 -14.3281273, -170.7232366 -14.3281943)",Procurement Road
"[24189216, 375158051]",residential,False,True,64.383,"LINESTRING (-170.7253469 -14.329145, -170.725242 -14.3291047, -170.7251497 -14.3290702, -170.7250527 -14.3288918, -170.7249816 -14.328734)",
24188503,residential,False,True,122.457,"LINESTRING (-170.7258272 -14.3274784, -170.7258799 -14.3275663, -170.725929 -14.3276208, -170.7259652 -14.3276319, -170.7260088 -14.3276357, -170.7261581 -14.3275863, -170.7262297 -14.3275775, -170.7262947 -14.3276027, -170.7263324 -14.3276361, -170.7264468 -14.327792, -170.7265287 -14.3279659, -170.7265258 -14.3280914)",
24188536,residential,False,False,189.572,"LINESTRING (-170.7238948 -14.3296553, -170.7253435 -14.3296504, -170.7256544 -14.3296514)",
24188604,residential,False,False,50.07900000000001,"LINESTRING (-170.7238948 -14.3296553, -170.7238989 -14.3297081, -170.7239011 -14.3297377, -170.7239146 -14.3299127, -170.7239261 -14.3299884, -170.7239369 -14.3300619, -170.7239494 -14.3301016)",Procurement Road
24188604,residential,False,True,85.997,"LINESTRING (-170.7238948 -14.3296553, -170.7238878 -14.3295994, -170.7238684 -14.3294445, -170.7238385 -14.3292473, -170.7238048 -14.3291076, -170.7237416 -14.3288981)",Procurement Road
24188536,residential,False,True,189.572,"LINESTRING (-170.7256544 -14.3296514, -170.7253435 -14.3296504, -170.7238948 -14.3296553)",
427264670,residential,False,False,44.916,"LINESTRING (-170.7235522 -14.3276218, -170.7238513 -14.3273404)",
24188548,residential,False,False,165.126,"LINESTRING (-170.7235522 -14.3276218, -170.7235533 -14.3274188, -170.7235118 -14.3271888, -170.723568 -14.3261417)",
24188548,residential,False,True,69.172,"LINESTRING (-170.7235522 -14.3276218, -170.7234775 -14.3277309, -170.7232755 -14.3279444, -170.7231366 -14.3280944)",
24188548,residential,False,True,165.126,"LINESTRING (-170.723568 -14.3261417, -170.7235118 -14.3271888, -170.7235533 -14.3274188, -170.7235522 -14.3276218)",
