osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,ref,bridge
224145337,2,South 6th Street,residential,False,False,36.049,,"LINESTRING (-92.619216 44.855337, -92.619232 44.855661)",,
224145337,2,South 6th Street,residential,False,True,36.049,,"LINESTRING (-92.619232 44.855661, -92.619216 44.855337)",,
21552531,2,East Walnut Street,residential,False,False,138.97400000000002,25 mph,"LINESTRING (-92.619232 44.855661, -92.6193581 44.8556935, -92.6202843 44.8559322, -92.620889 44.856088)",,
224145337,2,South 6th Street,residential,False,False,67.531,,"LINESTRING (-92.619232 44.855661, -92.6192306 44.8557807, -92.6192302 44.8558155, -92.6192263 44.8562683)",,
224145337,2,South 6th Street,residential,False,False,65.239,,"LINESTRING (-92.6192263 44.8562683, -92.619222 44.856702, -92.619221 44.856855)",,
224145337,2,South 6th Street,residential,False,True,67.531,,"LINESTRING (-92.6192263 44.8562683, -92.6192302 44.8558155, -92.6192306 44.8557807, -92.619232 44.855661)",,
21552952,2,North 6th Street,residential,False,False,31.921,25 mph,"LINESTRING (-92.619221 44.856855, -92.619212 44.857142)",,
21561163,2,East Elm Street,residential,False,False,95.938,25 mph,"LINESTRING (-92.619221 44.856855, -92.6197622 44.8569814, -92.620377 44.857125)",,
224145337,2,South 6th Street,residential,False,True,65.239,,"LINESTRING (-92.619221 44.856855, -92.619222 44.856702, -92.6192263 44.8562683)",,
21549856,2,West Walnut Street,residential,False,True,99.09700000000001,25 mph,"LINESTRING (-92.627825 44.857807, -92.627354 44.8576873, -92.6271615 44.8576388, -92.6266409 44.8575075)",,
"[154343072, 172087984, 172087983]","['3', '2']",West Division Street,secondary,False,True,215.949,,"LINESTRING (-92.623894 44.8626097, -92.6240284 44.8626102, -92.6241071 44.8626105, -92.6249804 44.862609, -92.625548 44.862605, -92.6259778 44.8626037, -92.6265295 44.862602, -92.6266339 44.8626017)",CTH M,yes
443108367,3,East Division Street,secondary,False,True,56.125,25 mph,"LINESTRING (-92.623894 44.8626097, -92.6237272 44.8626076, -92.623182 44.8626007)",CTH M,
443108370,4,North Main Street,secondary,False,False,37.751,,"LINESTRING (-92.623894 44.8626097, -92.6238476 44.862697, -92.6237251 44.8629274)",,
"[443108372, 443111389]",3,North Main Street,secondary,False,True,70.13900000000001,25 mph,"LINESTRING (-92.623894 44.8626097, -92.6239246 44.8625316, -92.6240325 44.8622556, -92.6241412 44.8620038)",,
21555959,2,Spring Street,residential,False,False,56.154,25 mph,"LINESTRING (-92.6266563 44.8553403, -92.625944 44.8553326)",,
21555959,2,Spring Street,residential,False,True,72.62599999999999,25 mph,"LINESTRING (-92.6266563 44.8553403, -92.6267374 44.8553416, -92.6272057 44.8553493, -92.6274236 44.8553529, -92.6274533 44.8553534, -92.6275774 44.8553554)",,
21561708,,North Pearl Street,residential,False,True,102.936,,"LINESTRING (-92.6307963 44.8625974, -92.6307867 44.8616717)",,
172087984,2,West Division Street,secondary,False,False,108.239,,"LINESTRING (-92.6307963 44.8625974, -92.6301177 44.862601, -92.629423 44.8626047)",CTH M,
21560560,2,North Freemont Street,residential,False,True,103.311,25 mph,"LINESTRING (-92.629423 44.8626047, -92.629423 44.8616756)",,
21584240,2,North Fremont Street,residential,False,False,127.521,25 mph,"LINESTRING (-92.629423 44.8626047, -92.6294134 44.8637515)",,
172087984,2,West Division Street,secondary,False,False,111.533,,"LINESTRING (-92.629423 44.8626047, -92.6287118 44.8625983, -92.628008 44.862592)",CTH M,
172087984,2,West Division Street,secondary,False,True,108.239,,"LINESTRING (-92.629423 44.8626047, -92.6301177 44.862601, -92.6307963 44.8625974)",CTH M,
21561039,2,Lewis Street,residential,False,True,103.191,,"LINESTRING (-92.628008 44.862592, -92.628016 44.861664)",,
21591513,2,North Lewis Street,residential,False,False,129.634,,"LINESTRING (-92.628008 44.862592, -92.6280191 44.8637578)",,
172087984,2,West Division Street,secondary,False,False,108.31,,"LINESTRING (-92.628008 44.862592, -92.6273576 44.8625948, -92.626832 44.862597, -92.6266339 44.8626017)",CTH M,
172087984,2,West Division Street,secondary,False,True,111.533,,"LINESTRING (-92.628008 44.862592, -92.6287118 44.8625983, -92.629423 44.8626047)",CTH M,
21587421,2,North Clark Street,residential,False,False,127.397,,"LINESTRING (-92.6266339 44.8626017, -92.6266386 44.8637474)",,
169832009,2,Clark Street,residential,False,True,105.504,,"LINESTRING (-92.6266339 44.8626017, -92.6266262 44.8616529)",,
"[172087984, 154343072, 172087983]","['3', '2']",West Division Street,secondary,False,False,215.949,,"LINESTRING (-92.6266339 44.8626017, -92.6265295 44.862602, -92.6259778 44.8626037, -92.625548 44.862605, -92.6249804 44.862609, -92.6241071 44.8626105, -92.6240284 44.8626102, -92.623894 44.8626097)",CTH M,yes
172087984,2,West Division Street,secondary,False,True,108.31,,"LINESTRING (-92.6266339 44.8626017, -92.626832 44.862597, -92.6273576 44.8625948, -92.628008 44.862592)",CTH M,
21551511,2,West Cedar Street,residential,False,False,83.561,25 mph,"LINESTRING (-92.625566 44.861653, -92.6266262 44.8616529)",,
21551511,2,West Cedar Street,residential,False,True,83.561,25 mph,"LINESTRING (-92.6266262 44.8616529, -92.625566 44.861653)",,
169832009,2,Clark Street,residential,False,False,105.504,,"LINESTRING (-92.6266262 44.8616529, -92.6266339 44.8626017)",,
21551511,2,West Cedar Street,residential,False,False,109.54599999999999,25 mph,"LINESTRING (-92.6266262 44.8616529, -92.6273218 44.8616576, -92.628016 44.861664)",,
"[169832009, 21557891]",2,"['Clark Street', 'West Pine Street']",residential,False,"[False, True]",212.32999999999998,25 mph,"LINESTRING (-92.6266262 44.8616529, -92.6266349 44.86073, -92.6273068 44.8607285, -92.6274435 44.8607284, -92.6280268 44.860728)",,
21561039,2,Lewis Street,residential,False,False,103.191,,"LINESTRING (-92.628016 44.861664, -92.628008 44.862592)",,
21561039,2,Lewis Street,residential,False,True,104.082,,"LINESTRING (-92.628016 44.861664, -92.6280268 44.860728)",,
21551511,2,West Cedar Street,residential,False,False,110.902,25 mph,"LINESTRING (-92.628016 44.861664, -92.6287189 44.8616698, -92.629423 44.8616756)",,
21551511,2,West Cedar Street,residential,False,True,109.54599999999999,25 mph,"LINESTRING (-92.628016 44.861664, -92.6273218 44.8616576, -92.6266262 44.8616529)",,
21560560,2,North Freemont Street,residential,False,False,103.311,25 mph,"LINESTRING (-92.629423 44.8616756, -92.629423 44.8626047)",,
21560560,2,North Freemont Street,residential,False,True,105.582,25 mph,"LINESTRING (-92.629423 44.8616756, -92.6294319 44.8607261)",,
21551511,2,West Cedar Street,residential,False,False,107.483,25 mph,"LINESTRING (-92.629423 44.8616756, -92.6301178 44.8616736, -92.6307867 44.8616717)",,
21551511,2,West Cedar Street,residential,False,True,110.902,25 mph,"LINESTRING (-92.629423 44.8616756, -92.6287189 44.8616698, -92.628016 44.861664)",,
21561708,,North Pearl Street,residential,False,False,102.936,,"LINESTRING (-92.6307867 44.8616717, -92.6307963 44.8625974)",,
