osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,ref
163418635,4,Sullivan Avenue,tertiary,False,False,106.70700000000001,"LINESTRING (-122.4722426 37.6869868, -122.4722376 37.68661, -122.4722368 37.6865621, -122.4722358 37.6863709, -122.4722341 37.6860272)",,,
"[397167864, 397167866, 397167863]","['4', '5', '6']",Sullivan Avenue,tertiary,False,False,101.174,"LINESTRING (-122.4722426 37.6869868, -122.4722437 37.6870267, -122.4722462 37.6871537, -122.47224 37.6872544, -122.4722369 37.6873595, -122.4722368 37.6874809, -122.4722367 37.6875118, -122.4722365 37.6876549, -122.4722363 37.6878003, -122.4722362 37.6878965)",,,
8935038,,Allemany Street,residential,False,True,159.24200000000002,"LINESTRING (-122.4676436 37.6883452, -122.4676479 37.6884967, -122.467648 37.6885489, -122.4676666 37.6894325, -122.4676714 37.6896997, -122.4676733 37.6897771)",,,
"[397108194, 513702461]","['4', '5']",San Pedro Road,secondary,False,False,76.61599999999999,"LINESTRING (-122.4676436 37.6883452, -122.4676947 37.6883017, -122.4678725 37.6881635, -122.4679377 37.6881119, -122.4679977 37.6880634, -122.4680571 37.6880129, -122.4681108 37.6879631, -122.468162 37.6879135, -122.4682302 37.6878377)",,,
"[256667154, 397167859]","['4', '5']",San Pedro Road,secondary,False,False,107.90499999999999,"LINESTRING (-122.4682302 37.6878377, -122.4683266 37.6877571, -122.4687247 37.6874166, -122.468804 37.687352, -122.468993 37.687198, -122.469073 37.6871329)",,,
397168940,4,Washington Street,tertiary,False,False,42.921,"LINESTRING (-122.4682302 37.6878377, -122.4683579 37.6878911, -122.4684206 37.6879131, -122.4684833 37.6879201, -122.4686946 37.6879142)",,,
"[397108194, 513702461]","['4', '5']",San Pedro Road,secondary,False,True,76.616,"LINESTRING (-122.4682302 37.6878377, -122.468162 37.6879135, -122.4681108 37.6879631, -122.4680571 37.6880129, -122.4679977 37.6880634, -122.4679377 37.6881119, -122.4678725 37.6881635, -122.4676947 37.6883017, -122.4676436 37.6883452)",,,
8936734,,Hill Street,unclassified,False,False,96.26899999999999,"LINESTRING (-122.469073 37.6871329, -122.4689823 37.6870579, -122.4689176 37.6870039, -122.4688402 37.6869324, -122.4687812 37.6868505, -122.468722 37.6867626, -122.468686 37.6866664, -122.4686727 37.6865706, -122.4686722 37.6863678)",,,
"[397109160, 397109161, 256667155, 397167860, 397167861]","['4', '5']",San Pedro Road,secondary,False,False,159.74099999999999,"LINESTRING (-122.469073 37.6871329, -122.4693599 37.6868889, -122.4696192 37.6866671, -122.4696432 37.6866465, -122.4696653 37.6866277, -122.4698575 37.6864641, -122.4700519 37.6863039, -122.4702609 37.6861318, -122.4703168 37.6860866)",,,
"[256667154, 397167859]","['4', '5']",San Pedro Road,secondary,False,True,107.905,"LINESTRING (-122.469073 37.6871329, -122.468993 37.687198, -122.468804 37.687352, -122.4687247 37.6874166, -122.4683266 37.6877571, -122.4682302 37.6878377)",,,
533438796,4,Washington Street,tertiary,False,False,55.762,"LINESTRING (-122.470326 37.6879096, -122.4696923 37.6879083)",,,
8927212,1,,motorway_link,True,False,123.72300000000001,"LINESTRING (-122.470326 37.6879096, -122.4702291 37.6879336, -122.4701772 37.6879674, -122.4701391 37.6880079, -122.4700922 37.6880913, -122.4700576 37.6881758, -122.4700341 37.6882732, -122.4700258 37.6883695, -122.470028 37.6884563, -122.4700336 37.6889223)",,,
"[24204040, 24204041, 256667144]",4,Junipero Serra Boulevard,secondary,False,True,218.61900000000003,"LINESTRING (-122.470326 37.6879096, -122.4703108 37.687983, -122.4702989 37.6880508, -122.4702918 37.6881035, -122.4702878 37.688158, -122.4702867 37.6882035, -122.4702875 37.688258, -122.4702905 37.6883035, -122.470297 37.6883467, -122.4703061 37.688394, -122.4703171 37.6884375, -122.4703306 37.6884836, -122.4703496 37.6885371, -122.4703673 37.6885784, -122.4703875 37.6886198, -122.470408 37.6886564, -122.4704284 37.688691, -122.4704585 37.6887346, -122.4704875 37.6887735, -122.4705255 37.6888211, -122.4705665 37.6888685, -122.4706965 37.689014, -122.4707378 37.6890602, -122.4707726 37.6891008, -122.4708051 37.6891407, -122.4708365 37.689183, -122.4708692 37.6892321, -122.4708944 37.6892762, -122.4709169 37.689319, -122.4709369 37.6893616, -122.4709541 37.6894028, -122.4709691 37.6894443, -122.4709843 37.6894937, -122.4709967 37.6895468, -122.4710048 37.6895998, -122.4710105 37.6896527, -122.4710128 37.689697, -122.4710131 37.6897354)",yes,,
"[24006906, 24006907, 166080764, 256667166]",4,Washington Street,tertiary,False,True,168.104,"LINESTRING (-122.470326 37.6879096, -122.470454 37.6879112, -122.4705955 37.6879092, -122.4714891 37.6879085, -122.4717745 37.6879039, -122.4722362 37.6878965)",yes,,
"[397110481, 256667146, 1030014550, 397110479]","['4', '5', '6']",Junipero Serra Boulevard,secondary,False,False,186.99899999999997,"LINESTRING (-122.470326 37.6879096, -122.470356 37.687793, -122.470466 37.6873775, -122.4705021 37.6872373, -122.4706885 37.6865238, -122.4707219 37.6863881, -122.4707351 37.6863282, -122.4707472 37.6862614)",,,
8927228,,Station Avenue,residential,False,False,43.9,"LINESTRING (-122.4690195 37.6948419, -122.4690207 37.6944471)",,,
8927228,,Station Avenue,residential,False,False,39.176,"LINESTRING (-122.4690207 37.6944471, -122.4690168 37.6940948)",,,
8927228,,Station Avenue,residential,False,True,43.9,"LINESTRING (-122.4690207 37.6944471, -122.4690195 37.6948419)",,,
8929851,,Dixon Court,residential,False,False,53.966,"LINESTRING (-122.4690207 37.6944471, -122.469634 37.6944529)",,,
8927228,,Station Avenue,residential,False,True,39.176,"LINESTRING (-122.4690168 37.6940948, -122.4690207 37.6944471)",,,
8927228,,Station Avenue,residential,False,False,79.638,"LINESTRING (-122.4690168 37.6940948, -122.4690163 37.6937294, -122.469015 37.6933786)",,,
8935623,,School Street,tertiary,False,True,91.631,"LINESTRING (-122.469015 37.6933786, -122.4679736 37.6933817)",,,
8927228,,Station Avenue,residential,False,False,201.442,"LINESTRING (-122.469015 37.6933786, -122.4690151 37.6930481, -122.4690148 37.692959, -122.469011 37.691567)",,,
8927228,,Station Avenue,residential,False,True,79.638,"LINESTRING (-122.469015 37.6933786, -122.4690163 37.6937294, -122.4690168 37.6940948)",,,
"[48208816, 24006902, 8935623]",,School Street,tertiary,False,False,178.777,"LINESTRING (-122.469015 37.6933786, -122.4696772 37.6933778, -122.4697116 37.6933778, -122.4698329 37.693373, -122.4700694 37.6933526, -122.4707872 37.6932998, -122.4709035 37.6932941, -122.4710417 37.6932873)",yes,,
8929054,,Vale Street,residential,False,True,90.808,"LINESTRING (-122.469011 37.691567, -122.467979 37.6915722)",,,
8927228,,Station Avenue,residential,False,False,197.996,"LINESTRING (-122.469011 37.691567, -122.4690014 37.6898605, -122.4690012 37.6897864)",,,
8927228,,Station Avenue,residential,False,True,201.44199999999998,"LINESTRING (-122.469011 37.691567, -122.4690148 37.692959, -122.4690151 37.6930481, -122.469015 37.6933786)",,,
8931852,,West Market Street,residential,False,True,26.121,"LINESTRING (-122.4690012 37.6897864, -122.4687044 37.689782)",,,
8927228,,Station Avenue,residential,False,True,197.996,"LINESTRING (-122.4690012 37.6897864, -122.4690014 37.6898605, -122.469011 37.691567)",,,
8931852,,West Market Street,residential,False,False,41.061,"LINESTRING (-122.4690012 37.6897864, -122.4691818 37.6897843, -122.4694678 37.6897811)",,,
8928364,,Heather Road,residential,False,False,91.38,"LINESTRING (-122.4769509 37.6879201, -122.4770433 37.6878115, -122.4775346 37.6872404)",,,
163418637,,Washington Street,tertiary,False,False,359.56300000000005,"LINESTRING (-122.4769509 37.6879201, -122.4770245 37.6879556, -122.4770939 37.6880032, -122.4771559 37.688061, -122.4771992 37.6881176, -122.4772322 37.6881784, -122.4772514 37.6882466, -122.4772616 37.6883189, -122.4772706 37.6895474, -122.4772562 37.6896662, -122.4772315 37.6897655, -122.4771915 37.6898634, -122.4768142 37.6906444, -122.4767904 37.6907221, -122.4767758 37.6908108, -122.4767795 37.6909027, -122.4767952 37.6909944)",,,
163418637,,Washington Street,tertiary,False,True,57.754,"LINESTRING (-122.4769509 37.6879201, -122.4768739 37.6878975, -122.4768274 37.6878898, -122.4768016 37.6878855, -122.4767534 37.6878804, -122.4767211 37.6878769, -122.476302 37.6878769)",,,
8929879,,Louvaine Place,residential,False,False,35.019,"LINESTRING (-122.4775346 37.6872404, -122.4772063 37.6870624)",,,
8928364,,Heather Road,residential,False,True,91.38,"LINESTRING (-122.4775346 37.6872404, -122.4770433 37.6878115, -122.4769509 37.6879201)",,,
8932909,,Louvaine Drive,residential,False,False,515.2470000000001,"LINESTRING (-122.4775346 37.6872404, -122.4777299 37.6873482, -122.4778474 37.6874269, -122.477944 37.6875075, -122.4780142 37.6875883, -122.4780734 37.6876778, -122.4781201 37.6877761, -122.4781459 37.6878755, -122.4781611 37.6879725, -122.4781649 37.688058, -122.4781823 37.690177, -122.4781725 37.6902844, -122.4781438 37.6903845, -122.4780881 37.6904935, -122.478022 37.6905873, -122.4779348 37.6906726, -122.4778303 37.6907544, -122.4771203 37.6912119, -122.4770041 37.6912868)",,,
8929054,,Vale Street,residential,False,False,90.808,"LINESTRING (-122.467979 37.6915722, -122.469011 37.691567)",,,
8942098,,Werner Avenue,residential,False,False,199.827,"LINESTRING (-122.467979 37.6915722, -122.4679581 37.6898653, -122.4679576 37.6897752)",,,
8942098,,Werner Avenue,residential,False,True,201.208,"LINESTRING (-122.467979 37.6915722, -122.4679748 37.6930195, -122.4679733 37.6932797, -122.4679736 37.6933817)",,,
8929212,,Alder Avenue,residential,False,False,80.574,"LINESTRING (-122.4768054 37.6944213, -122.4767983 37.6936967)",,,
8941081,,Garden Lane,residential,False,False,70.47,"LINESTRING (-122.4768054 37.6944213, -122.477412 37.6944238, -122.4774709 37.6944132, -122.4775274 37.6943898, -122.4775815 37.6943545)",,,
8941081,,Garden Lane,residential,False,True,200.89600000000002,"LINESTRING (-122.4768054 37.6944213, -122.4746605 37.694433, -122.4745222 37.6944338)",,,
8929212,,Alder Avenue,residential,False,True,80.574,"LINESTRING (-122.4767983 37.6936967, -122.4768054 37.6944213)",,,
8930298,,Village Lane,residential,False,False,200.65900000000002,"LINESTRING (-122.4767983 37.6936967, -122.4767312 37.693697, -122.4745894 37.693706, -122.4745178 37.6937063)",,25 mph,
"[8930298, 256744917]",,"['Washington Street', 'Village Lane']",residential,False,True,166.57100000000003,"LINESTRING (-122.4767983 37.6936967, -122.4768787 37.6936963, -122.4778929 37.6936908, -122.4779698 37.6936846, -122.4780459 37.6936654, -122.4781149 37.6936297, -122.4781682 37.6935856, -122.4782053 37.6935327, -122.4782165 37.6935046, -122.4782292 37.6934727, -122.4782401 37.6933978, -122.478237 37.6932154)",,25 mph,
8929851,,Dixon Court,residential,False,True,53.966,"LINESTRING (-122.469634 37.6944529, -122.4690207 37.6944471)",,,
8929879,,Louvaine Place,residential,False,True,35.019,"LINESTRING (-122.4772063 37.6870624, -122.4775346 37.6872404)",,,
8930222,,Pierce Street,residential,False,False,90.642,"LINESTRING (-122.4722341 37.6860272, -122.4723832 37.6860239, -122.4724675 37.6860235, -122.472783 37.6860221, -122.4729209 37.6860215, -122.4732641 37.6860199)",,,
163418635,4,Sullivan Avenue,tertiary,False,True,106.707,"LINESTRING (-122.4722341 37.6860272, -122.4722358 37.6863709, -122.4722368 37.6865621, -122.4722376 37.68661, -122.4722426 37.6869868)",,,
8930222,,Pierce Street,residential,False,False,91.283,"LINESTRING (-122.4732641 37.6860199, -122.4738406 37.6860179, -122.4739041 37.6860221, -122.4739418 37.6860277, -122.4739899 37.6860349, -122.4740538 37.6860403, -122.4742993 37.6860439)",,,
8930222,,Pierce Street,residential,False,True,90.64200000000001,"LINESTRING (-122.4732641 37.6860199, -122.4729209 37.6860215, -122.472783 37.6860221, -122.4724675 37.6860235, -122.4723832 37.6860239, -122.4722341 37.6860272)",,,
8935489,,Bryant Street,residential,False,False,208.553,"LINESTRING (-122.4732641 37.6860199, -122.4732646 37.686099, -122.4732665 37.6862688, -122.4732691 37.6865358, -122.4732695 37.6865815, -122.4732721 37.6868478, -122.4732737 37.6870133, -122.4732811 37.6878031, -122.4732822 37.6878954)",,,
"[8938868, 8930222]",,"['Pierce Street', 'Annie Street']",residential,False,"[False, True]",297.714,"LINESTRING (-122.4742993 37.6860439, -122.47534 37.6860309, -122.4753402 37.6860587, -122.4753432 37.6864683, -122.4753434 37.6865061, -122.4753442 37.6866562, -122.4753463 37.6870467, -122.47535 37.6878846)",,,
8930222,,Pierce Street,residential,False,True,91.283,"LINESTRING (-122.4742993 37.6860439, -122.4740538 37.6860403, -122.4739899 37.6860349, -122.4739418 37.6860277, -122.4739041 37.6860221, -122.4738406 37.6860179, -122.4732641 37.6860199)",,,
8934530,,Edgeworth Avenue,residential,False,True,205.351,"LINESTRING (-122.4742993 37.6860439, -122.4742996 37.6861001, -122.474305 37.6865823, -122.4743171 37.6877951, -122.4743188 37.6878906)",,,
8934526,,Edgeworth Avenue,residential,False,True,80.895,"LINESTRING (-122.4745178 37.6937063, -122.4745222 37.6944338)",,,
8930298,,Village Lane,residential,False,False,200.844,"LINESTRING (-122.4745178 37.6937063, -122.4744325 37.6937067, -122.4723914 37.6937167, -122.4722352 37.6937175)",,25 mph,
8930298,,Village Lane,residential,False,True,200.65900000000002,"LINESTRING (-122.4745178 37.6937063, -122.4745894 37.693706, -122.4767312 37.693697, -122.4767983 37.6936967)",,25 mph,
