osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,access
20130453,,Utica Street,residential,False,False,106.345,"LINESTRING (-77.9419482 43.2150004, -77.9419693 43.2149229, -77.9420463 43.2146408, -77.9420568 43.2146025, -77.9421945 43.2140981, -77.9422042 43.2140624)",,,
20130453,,Utica Street,residential,False,True,78.65299999999999,"LINESTRING (-77.9419482 43.2150004, -77.941936 43.2150425, -77.9417472 43.2156924)",,,
139750653,,Erie Street,residential,False,False,134.609,"LINESTRING (-77.9419482 43.2150004, -77.9420157 43.2150109, -77.9435273 43.2152449, -77.943573 43.215252)",,,
745304645,,Erie Street,residential,False,True,147.41799999999998,"LINESTRING (-77.9419482 43.2150004, -77.9418595 43.2149851, -77.9403491 43.2147245, -77.940178 43.214695)",,,
20124367,,Beach Street,residential,False,False,112.563,"LINESTRING (-77.945205 43.214924, -77.944707 43.213979)",,,
139750653,,Erie Street,residential,False,True,138.505,"LINESTRING (-77.945205 43.214924, -77.944208 43.215206, -77.943753 43.215253, -77.943655 43.215255, -77.9436393 43.2152544, -77.943573 43.215252)",,,
20118034,,Queen Street,residential,False,False,98.717,"LINESTRING (-77.94044 43.213828, -77.9404221 43.2138872, -77.9403059 43.2142718, -77.940195 43.2146387, -77.940178 43.214695)",,,
674263424,,Holley Street,residential,False,False,145.326,"LINESTRING (-77.94044 43.213828, -77.9421301 43.2140525, -77.9422042 43.2140624)",2,,
674263424,,Holley Street,residential,False,True,112.028,"LINESTRING (-77.94044 43.213828, -77.9391853 43.2136851, -77.9390742 43.2136724)",2,,
20138363,,King Street,residential,True,False,53.23,"LINESTRING (-77.939961 43.215455, -77.9406082 43.2155368)",,,
745304646,,Queen Street,residential,True,False,86.31800000000001,"LINESTRING (-77.939961 43.215455, -77.9399734 43.2154114, -77.940083 43.2150278, -77.9401613 43.2147535, -77.940178 43.214695)",,,
882486701,,Queen Street,residential,True,False,95.483,"LINESTRING (-77.939961 43.215455, -77.9399486 43.2154988, -77.9397379 43.2162433, -77.939723 43.216296)",,,
1006814811,,Clinton Street,residential,False,False,46.833,"LINESTRING (-77.939723 43.216296, -77.9402849 43.2163945)",,,
1006814811,,Clinton Street,residential,False,True,115.005,"LINESTRING (-77.939723 43.216296, -77.9393206 43.2162238, -77.9384981 43.2160876, -77.9383408 43.2160616)",,,
20118908,,Spring Street,residential,False,False,152.219,"LINESTRING (-77.936297 43.212412, -77.934459 43.21213)",,,
20129585,,Park Avenue,residential,False,False,49.487,"LINESTRING (-77.936297 43.212412, -77.936168 43.212847)",2,,
20129585,,Park Avenue,residential,False,True,60.383,"LINESTRING (-77.936297 43.212412, -77.9364341 43.2119452, -77.936453 43.211881)",2,,
20118908,,Spring Street,residential,False,True,152.219,"LINESTRING (-77.934459 43.21213, -77.936297 43.212412)",,,
20126404,,Gordon Street,residential,False,True,181.113,"LINESTRING (-77.934459 43.21213, -77.933962 43.213718)",,,
106457127,,Park Avenue,residential,False,False,23.173,"LINESTRING (-77.9355765 43.2148698, -77.935513 43.215073)",,,
20120206,,Lane Street,residential,False,False,75.518,"LINESTRING (-77.9355765 43.2148698, -77.9354868 43.2148553, -77.9352808 43.214822, -77.935221 43.214782, -77.935175 43.214759, -77.934793 43.214533)",,,
106457127,,Park Avenue,residential,False,True,100.01299999999999,"LINESTRING (-77.9355765 43.2148698, -77.9358081 43.2140755, -77.935833 43.21399)",,,
20120206,,Lane Street,residential,False,True,75.518,"LINESTRING (-77.934793 43.214533, -77.935175 43.214759, -77.935221 43.214782, -77.9352808 43.214822, -77.9354868 43.2148553, -77.9355765 43.2148698)",,,
98830776,,Fayette Street,residential,False,True,58.191,"LINESTRING (-77.934712 43.216746, -77.934941 43.21625)",,,
98830776,,Fayette Street,residential,False,False,164.002,"LINESTRING (-77.934712 43.216746, -77.934578 43.217035, -77.9344553 43.2172901, -77.934047 43.218139)",,,
98830851,NY 19,North Main Street,secondary,False,False,33.964,"LINESTRING (-77.937809 43.217841, -77.937717 43.218139)",,,
98830851,NY 19,North Main Street,secondary,False,True,26.99,"LINESTRING (-77.937809 43.217841, -77.9378803 43.2176039)",,,
"[20120752, 98830787, 20135268, 98830851]",NY 19,"['North Main Street', 'Main Street']",secondary,False,"[False, True]",175.51600000000002,"LINESTRING (-77.9383408 43.2160616, -77.9382126 43.2164875, -77.9382007 43.2165264, -77.9381474 43.2167176, -77.9381 43.2168847, -77.9380766 43.2169561, -77.938051 43.217036, -77.9378803 43.2176039)",,movable,no
106457155,NY 19,Main Street,secondary,False,False,19.961,"LINESTRING (-77.9383408 43.2160616, -77.9383739 43.2159607, -77.938398 43.215887)",,,
1006814811,,Clinton Street,residential,False,False,115.005,"LINESTRING (-77.9383408 43.2160616, -77.9384981 43.2160876, -77.9393206 43.2162238, -77.939723 43.216296)",,,
1006814811,,Clinton Street,residential,False,True,5.759,"LINESTRING (-77.940354 43.2164066, -77.9402849 43.2163945)",,,
20124354,,Clinton Street,residential,False,False,102.19399999999999,"LINESTRING (-77.940354 43.2164066, -77.940791 43.216487, -77.940854 43.216493, -77.940919 43.216487, -77.94099 43.216471, -77.9415632 43.2163254)",,,
20129598,,Gardiner Alley,residential,False,True,98.88700000000001,"LINESTRING (-77.940354 43.2164066, -77.9403723 43.216344, -77.9405962 43.2155778, -77.9406082 43.2155368)",,,
20124354,,Clinton Street,residential,False,True,102.19399999999999,"LINESTRING (-77.9415632 43.2163254, -77.94099 43.216471, -77.940919 43.216487, -77.940854 43.216493, -77.940791 43.216487, -77.940354 43.2164066)",,,
20130453,,Utica Street,residential,False,False,71.949,"LINESTRING (-77.9415632 43.2163254, -77.9415862 43.2162464, -77.9417472 43.2156924)",,,
20124367,,Beach Street,residential,False,True,112.563,"LINESTRING (-77.944707 43.213979, -77.945205 43.214924)",,,
674263424,,Holley Street,residential,False,True,83.072,"LINESTRING (-77.944707 43.213979, -77.9438198 43.2142107, -77.943742 43.214231)",2,,
20124398,,Warehouse Street,residential,False,True,66.621,"LINESTRING (-77.937796 43.216245, -77.9375753 43.2161905, -77.937387 43.216144, -77.9373529 43.2161357, -77.9373291 43.2161065, -77.9373395 43.216029, -77.9373634 43.2159027, -77.937367 43.215884)",,,
674263424,,Holley Street,residential,False,False,112.028,"LINESTRING (-77.9390742 43.2136724, -77.9391853 43.2136851, -77.94044 43.213828)",2,,
960056340,NY 19,Main Street,secondary,False,False,40.288999999999994,"LINESTRING (-77.9390742 43.2136724, -77.9390839 43.21364, -77.9391802 43.2133184)",,,
960056340,NY 19,Main Street,secondary,False,True,92.613,"LINESTRING (-77.9390742 43.2136724, -77.938972 43.2140162, -77.938862 43.2143861, -77.9388322 43.2144864)",,,
20130453,,Utica Street,residential,False,False,133.80700000000002,"LINESTRING (-77.9422042 43.2140624, -77.9422286 43.2139805, -77.9425317 43.2129622, -77.9425542 43.2128864)",,,
20130453,,Utica Street,residential,False,True,106.345,"LINESTRING (-77.9422042 43.2140624, -77.9421945 43.2140981, -77.9420568 43.2146025, -77.9420463 43.2146408, -77.9419693 43.2149229, -77.9419482 43.2150004)",,,
