osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,access,junction,tunnel,bridge
28114161,True,Via Nino Bixio,residential,False,62.840999999999994,"LINESTRING (15.2872161 37.0657925, 15.2871705 37.0656873, 15.2870163 37.0653316, 15.2870066 37.0653092, 15.2869846 37.0652584)",,,,,,
323084267,True,Corso Umberto Primo,secondary,False,98.704,"LINESTRING (15.2872161 37.0657925, 15.2871255 37.0658183, 15.2862706 37.0660616, 15.2861683 37.0660907)",2,50,,,,
"[881159784, 173706197]",True,Viale Regina Margherita,secondary,False,55.195,"LINESTRING (15.2872161 37.0657925, 15.2872281 37.0658229, 15.2872586 37.0658925, 15.2873937 37.0662, 15.2874205 37.0662613)",2,50,,,,
879917814,True,Via Malta,secondary,False,9.57,"LINESTRING (15.2869846 37.0652584, 15.2870862 37.0652295)",,50,,,,
26569949,True,Via Rodi,residential,False,58.31,"LINESTRING (15.2869091 37.0646922, 15.2869788 37.0646943, 15.2875337 37.0645405)",,,,,,
26478299,True,Via Salvatore Chindemi,tertiary,False,17.613,"LINESTRING (15.2911298 37.0640379, 15.2913132 37.0639773)",,50,,,,
26545459,True,Riva Giuseppe Garibaldi,residential,False,47.065,"LINESTRING (15.2911298 37.0640379, 15.2910655 37.063985, 15.2907632 37.063732)",,,,,,
175070357,True,Via Senatore Giuseppe Maielli,residential,False,62.888000000000005,"LINESTRING (15.2889528 37.0652982, 15.2889102 37.0651914, 15.2887462 37.0648332, 15.2887361 37.0648107, 15.2887154 37.0647654)",,,,,,
323084267,True,Corso Umberto Primo,secondary,False,51.377,"LINESTRING (15.2889528 37.0652982, 15.2888644 37.0653234, 15.2885014 37.0654267, 15.2884074 37.0654534)",2,50,,,,
"[173228267, 23448821]",True,Via Trento,tertiary,False,72.474,"LINESTRING (15.2925603 37.0642773, 15.2926386 37.0644179, 15.2926625 37.0644585, 15.2928917 37.064873)",,50,,,,
437409377,True,,residential,False,59.591,"LINESTRING (15.2925603 37.0642773, 15.2924796 37.064142, 15.2920885 37.0642544, 15.2920254 37.0642749)",,,no,,,
173105730,True,,tertiary,False,44.283,"LINESTRING (15.2922055 37.0655513, 15.2920036 37.0651871)",,50,,,,
295238906,True,,residential,False,31.597,"LINESTRING (15.2922055 37.0655513, 15.2918736 37.0656543)",,,,,,
172093809,True,Via Emanuele Giaracà,residential,False,44.785000000000004,"LINESTRING (15.2930968 37.0652466, 15.2927106 37.0653785, 15.292633 37.0654055)",,50,,,,
"[44897985, 173228267]",True,Via Trento,tertiary,False,48.618,"LINESTRING (15.2930968 37.0652466, 15.2932948 37.0656052, 15.2933175 37.0656468)",,50,,,,
44897985,True,,tertiary,False,61.589999999999996,"LINESTRING (15.2933175 37.0656468, 15.2936773 37.0656463, 15.2938151 37.0656455, 15.2939765 37.065556)",,50,,,,
"[361577672, 490919523]",True,Via Guglielmo Perno,tertiary,False,45.517,"LINESTRING (15.2933175 37.0656468, 15.2932221 37.065666, 15.292895 37.0657464, 15.2928258 37.0657632)",,50,,,,
"[93161507, 93160915, 439440827]",False,"['Via Paolo Sarpi', 'Ronco Quinto alla Graziella']",residential,False,88.072,"LINESTRING (15.29496 37.0648176, 15.2947812 37.0646404, 15.2947324 37.0645921, 15.2946074 37.064468, 15.2945751 37.0644354, 15.2945926 37.0644291, 15.2946105 37.0644224, 15.294717 37.064384, 15.2949336 37.0643441)",,,,,,
1084680857,True,Via Vittorio Veneto,tertiary,False,64.71000000000001,"LINESTRING (15.29496 37.0648176, 15.2952296 37.0645685, 15.2953749 37.0643947, 15.2953952 37.0643539)",,50,,,,
173110590,True,Via Savoia,tertiary,False,70.215,"LINESTRING (15.2917314 37.0627129, 15.2919033 37.0630366, 15.2920402 37.0632943)",,,,,,
173226114,True,Lungomare di Levante Elio Vittorini,tertiary,False,123.608,"LINESTRING (15.2962571 37.0629889, 15.2962288 37.0631002, 15.2962244 37.0632188, 15.2962235 37.0632424, 15.2962561 37.0635209, 15.2962905 37.0638478, 15.2962991 37.0639427, 15.2963065 37.0640123, 15.2963035 37.0640953)",,,,,,
39585806,True,Via Epicarmo,residential,False,65.428,"LINESTRING (15.2862386 37.0688821, 15.2861946 37.0688668, 15.286131 37.0688448, 15.2855623 37.0686475)",,,,,,
172539842,True,Via Agatocle,tertiary,False,53.953,"LINESTRING (15.2865603 37.0683022, 15.2871263 37.0684796)",,,,,,
39229886,True,Via Ierone Primo l'Etneo,residential,False,70.51599999999999,"LINESTRING (15.2865603 37.0683022, 15.2862739 37.0688185, 15.2862647 37.0688351, 15.2862386 37.0688821)",,30,,,,
173706202,True,,residential,False,90.2,"LINESTRING (15.2858461 37.0667095, 15.285896 37.0668155, 15.2860572 37.0671667, 15.2859652 37.0673054, 15.2859211 37.0673781, 15.2859056 37.0674058, 15.285874 37.0674557)",,,,,,
39013088,True,Via Bengasi,residential,False,52.681,"LINESTRING (15.2851045 37.0651452, 15.2856624 37.0649831)",,,,,,
28114154,True,Via Somalia,residential,False,67.953,"LINESTRING (15.2851045 37.0651452, 15.285328 37.0656194, 15.2853465 37.0656586, 15.2853741 37.0657172)",,,,,,
26569949,True,Via Rodi,residential,False,38.405,"LINESTRING (15.2875337 37.0645405, 15.2876764 37.0645007, 15.2878582 37.0644501, 15.2879421 37.0644261)",,,,,,
28114160,True,Via Messina,residential,False,58.808,"LINESTRING (15.2875337 37.0645405, 15.2875544 37.0645886, 15.2877327 37.0650021, 15.2877389 37.0650166, 15.2877493 37.0650406)",,,,,,
