osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,width,junction,bridge
191928996,Lindenstraße,residential,False,True,16.31,,,"LINESTRING (8.9126224 52.2844523, 8.9126985 52.2845914)",,,,
16244223,Schwichowwall,unclassified,False,True,90.94800000000001,4,50,"LINESTRING (8.9126224 52.2844523, 8.9129024 52.2843827, 8.9130708 52.2843221, 8.9132471 52.2842517, 8.9133957 52.2841674, 8.9135609 52.2840675, 8.9136282 52.2840268, 8.9137013 52.2839857)",,,,
191928996,Lindenstraße,residential,False,False,16.31,,,"LINESTRING (8.9126985 52.2845914, 8.9126224 52.2844523)",,,,
203026816,Lindenstraße,residential,False,True,237.518,,50,"LINESTRING (8.9126985 52.2845914, 8.9130001 52.284582, 8.913509 52.2846172, 8.9136844 52.2846473, 8.9137507 52.2846586, 8.9142674 52.2847472, 8.9149183 52.2848697, 8.9152207 52.2849546, 8.9153118 52.2850239, 8.9154143 52.2852349, 8.9155032 52.2854553)",,,,
43052885,Lindenstraße,residential,True,False,63.324,1,20,"LINESTRING (8.9174125 52.2872185, 8.9173447 52.2871992, 8.9171376 52.2870357, 8.9169413 52.2868318, 8.9168737 52.286763)",,,,
895062448,Weserglacis,residential,True,False,8.919,,50,"LINESTRING (8.9207297 52.2885926, 8.9208047 52.2885268)",,,,
43205362,Klausenwall,secondary,True,False,57.12,2,50,"LINESTRING (8.9207297 52.2885926, 8.9202781 52.2883395, 8.9201706 52.288217)",L 534,,,
"[330261762, 53573085, 203029598]",Klausenwall,secondary,True,False,130.99599999999998,"['3', '2']",50,"LINESTRING (8.9182504 52.2868005, 8.9182135 52.2867864, 8.9180234 52.2867137, 8.9178333 52.2865845, 8.917622 52.2864176, 8.917249 52.2861198, 8.9172157 52.2860928, 8.9170951 52.2859948, 8.916999 52.2859167)",L 534,,,
"[404256372, 1198470510]",Klausenwall,secondary,False,True,63.838,4,50,"LINESTRING (8.9182504 52.2868005, 8.9184591 52.2869457, 8.9187822 52.2871756, 8.918863 52.2872354)",L 534,,,
193032836,Johansenstraße,residential,False,True,15.342,,50,"LINESTRING (8.9137013 52.2839857, 8.9138402 52.283877)",,,,
16244223,Schwichowwall,unclassified,False,False,90.948,4,50,"LINESTRING (8.9137013 52.2839857, 8.9136282 52.2840268, 8.9135609 52.2840675, 8.9133957 52.2841674, 8.9132471 52.2842517, 8.9130708 52.2843221, 8.9129024 52.2843827, 8.9126224 52.2844523)",,,,
