osmid,oneway,name,highway,reversed,length,maxspeed,geometry,lanes,ref
16958828,False,West 19th Street,residential,True,20.429,,"LINESTRING (-114.6268056 32.69301, -114.6270239 32.6930108)",,
16954164,False,South 6th Avenue,residential,True,208.14999999999998,25 mph,"LINESTRING (-114.6268056 32.69301, -114.6267991 32.6931189, -114.6267983 32.6934033, -114.6267942 32.6948818)",,
16958828,False,West 19th Street,residential,False,92.278,,"LINESTRING (-114.6268056 32.69301, -114.626418 32.6930097, -114.6263166 32.6930096, -114.6258195 32.6930092)",,
16954729,False,South 3rd Avenue,residential,False,44.479,,"LINESTRING (-114.6232494 32.6901742, -114.6232499 32.6898419, -114.6232511 32.6897742)",,
16954729,False,South 3rd Avenue,residential,True,76.536,,"LINESTRING (-114.6232494 32.6901742, -114.623249 32.6905314, -114.6232488 32.6907449, -114.6232487 32.6908625)",,
452955291,False,South 3rd Avenue,residential,False,52.073,,"LINESTRING (-114.6224586 32.6958114, -114.6224701 32.6953432)",,
452955291,False,South 3rd Avenue,residential,True,98.739,,"LINESTRING (-114.6224586 32.6958114, -114.6224666 32.6962374, -114.6224677 32.6962947, -114.6224684 32.6963157, -114.622465 32.6966993)",,
452955291,False,South 3rd Avenue,residential,True,52.073,,"LINESTRING (-114.6224701 32.6953432, -114.6224586 32.6958114)",,
16953770,False,West 17th Place,residential,False,202.276,,"LINESTRING (-114.6224701 32.6953432, -114.6226838 32.6953429, -114.6227051 32.6953428, -114.6227455 32.6953428, -114.6228725 32.6953426, -114.6246317 32.6953398)",,
452955291,False,South 3rd Avenue,residential,False,50.363,,"LINESTRING (-114.6224701 32.6953432, -114.6224671 32.6951091, -114.6224644 32.6948903)",,
452955290,False,South 4th Avenue,primary,False,50.46,,"LINESTRING (-114.6246317 32.6953398, -114.6246327 32.694886)",5,I 8 Bus;US 80 Hist
16953770,False,West 17th Place,residential,True,202.276,,"LINESTRING (-114.6246317 32.6953398, -114.6228725 32.6953426, -114.6227455 32.6953428, -114.6227051 32.6953428, -114.6226838 32.6953429, -114.6224701 32.6953432)",,
452955290,False,South 4th Avenue,primary,True,151.80599999999998,,"LINESTRING (-114.6246317 32.6953398, -114.6246367 32.6959313, -114.6246367 32.696705)",5,I 8 Bus;US 80 Hist
16953781,False,West 21st Street,residential,False,135.155,,"LINESTRING (-114.6246369 32.689421, -114.6249331 32.6894223, -114.6254696 32.6894246, -114.6256378 32.6894253, -114.6260811 32.6894272)",,
452955290,False,South 4th Avenue,primary,True,40.4,,"LINESTRING (-114.6246369 32.689421, -114.6246367 32.6894476, -114.6246328 32.6897301, -114.6246321 32.6897843)",5,I 8 Bus;US 80 Hist
16958984,False,South 5th Avenue,residential,True,107.895,,"LINESTRING (-114.6260811 32.6894272, -114.6260889 32.6903975)",,
16953781,False,West 21st Street,residential,False,89.362,,"LINESTRING (-114.6260811 32.6894272, -114.6265487 32.6894272, -114.627036 32.6894272)",,
16953781,False,West 21st Street,residential,True,135.155,,"LINESTRING (-114.6260811 32.6894272, -114.6256378 32.6894253, -114.6254696 32.6894246, -114.6249331 32.6894223, -114.6246369 32.689421)",,
16954168,False,South 6th Avenue,residential,True,107.762,,"LINESTRING (-114.627036 32.6894272, -114.6270277 32.6903963)",,
16953781,False,West 21st Street,residential,False,91.19800000000001,,"LINESTRING (-114.627036 32.6894272, -114.627517 32.6894252, -114.6280105 32.6894231)",,
16953781,False,West 21st Street,residential,True,89.362,,"LINESTRING (-114.627036 32.6894272, -114.6265487 32.6894272, -114.6260811 32.6894272)",,
16958165,False,South 7th Avenue,residential,True,107.383,,"LINESTRING (-114.6280105 32.6894231, -114.6280029 32.6903888)",,
16953781,False,West 21st Street,residential,False,87.697,,"LINESTRING (-114.6280105 32.6894231, -114.6284861 32.6894246, -114.6289476 32.689426)",,
16953781,False,West 21st Street,residential,True,91.19800000000001,,"LINESTRING (-114.6280105 32.6894231, -114.627517 32.6894252, -114.627036 32.6894272)",,
477215046,False,South 8th Avenue,tertiary,False,126.462,,"LINESTRING (-114.6289476 32.689426, -114.6289457 32.6882887)",2,
