osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,access
4228578,Postplatz,tertiary,30,False,False,49.084,"LINESTRING (13.7323098 51.0505006, 13.7323289 51.0506076, 13.7323463 51.0506738, 13.7323599 51.0507204, 13.7323936 51.0508302, 13.732426 51.0509357)",,,,
1004301264,Marienstraße,tertiary,30,False,False,59.137,"LINESTRING (13.7323098 51.0505006, 13.7323239 51.0504463, 13.7323428 51.0503738, 13.7324632 51.0500224, 13.7324779 51.0499795)",,,,
4715682,Dippoldiswalder Platz,secondary_link,50,True,False,34.331,"LINESTRING (13.7334286 51.0467813, 13.7334106 51.0466026, 13.733436 51.0464739)",2,,,
"[24499264, 328595414]",Dippoldiswalder Platz,secondary,50,True,False,57.914,"LINESTRING (13.733436 51.0464739, 13.7339975 51.0465519, 13.7342447 51.0465869)","['3', '2']",,,
3752487,Georgplatz,secondary,50,True,False,19.567,"LINESTRING (13.7412087 51.046317, 13.7413161 51.0461545)",3,,,
"[264069652, 24295559]",Bürgerwiese,secondary,50,True,False,123.16499999999999,"LINESTRING (13.7415433 51.045114, 13.741648 51.0452255, 13.7416887 51.0452885, 13.7417771 51.0454399, 13.741849 51.04559, 13.7418981 51.0457135, 13.7419287 51.0458379, 13.7419399 51.0459036, 13.7419371 51.0459731, 13.7419326 51.0460246, 13.7419313 51.0460339, 13.7419252 51.0460686, 13.7418862 51.0461733)","['3', '2']",,,
3752474,St. Petersburger Straße,primary,50,True,False,197.23899999999998,"LINESTRING (13.7418862 51.0461733, 13.7419879 51.0462249, 13.7420423 51.0462465, 13.7427031 51.0465107, 13.7430634 51.0466672, 13.7432935 51.0467831, 13.7434527 51.0468705, 13.7435744 51.046953, 13.7437451 51.047083, 13.7438437 51.0471756, 13.7439776 51.0473265)",2,B 170,,
264069651,Georgplatz,secondary,50,True,False,40.308,"LINESTRING (13.7418862 51.0461733, 13.7417703 51.046335, 13.7417088 51.0463938, 13.741613 51.0464915)",1,,,
23130368,Theaterstraße,residential,30,False,True,71.749,"LINESTRING (13.7312132 51.0523086, 13.7314137 51.0521374, 13.7318487 51.0518021)",1,,,
403026141,Marienstraße,residential,30,False,False,70.106,"LINESTRING (13.7324779 51.0499795, 13.7326597 51.0500054, 13.7334542 51.0501238)",,,,
"[1004301264, 3358988]",Marienstraße,tertiary,30,False,False,75.14999999999999,"LINESTRING (13.7324779 51.0499795, 13.7326159 51.0496402, 13.7326224 51.0496234, 13.7326461 51.0495647, 13.7327131 51.0494079, 13.7327202 51.0493912, 13.7327477 51.0493253)",,,,
1004301264,Marienstraße,tertiary,30,False,True,59.13700000000001,"LINESTRING (13.7324779 51.0499795, 13.7324632 51.0500224, 13.7323428 51.0503738, 13.7323239 51.0504463, 13.7323098 51.0505006)",,,,
3358982,Georgplatz,primary,50,True,False,26.371,"LINESTRING (13.7414388 51.0459738, 13.7417465 51.046111)",3,B 170,,
"[415830461, 229275710]",Bürgerwiese,secondary,50,True,False,97.76000000000002,"LINESTRING (13.7414388 51.0459738, 13.7414992 51.0458612, 13.7415725 51.0457148, 13.7416137 51.045562, 13.7416184 51.0454072, 13.7415822 51.0452436, 13.7415433 51.045114)",1,,,
3358981,Georgplatz,primary,50,True,False,34.458,"LINESTRING (13.741613 51.0464915, 13.7415065 51.0464574, 13.7414153 51.0464234, 13.7413022 51.0463702, 13.7412087 51.046317)",4,B 170,,
"[24295558, 46671622, 763417644, 705489206, 415830460]",Dr.-Külz-Ring,secondary,50,True,False,119.07299999999998,"LINESTRING (13.741613 51.0464915, 13.7415575 51.0465496, 13.7414985 51.0466027, 13.7414962 51.0466051, 13.7414584 51.0466434, 13.7414415 51.0466594, 13.7414249 51.0466751, 13.7413787 51.0467188, 13.7411511 51.0469469, 13.7411089 51.0469882, 13.7410668 51.0470295, 13.7410462 51.0470492, 13.7410297 51.0470663, 13.7409262 51.0471636, 13.7408589 51.0472126, 13.740757 51.047251, 13.740553 51.047284)","['1', '2']",,,
229275709,Dr.-Külz-Ring,secondary,50,True,False,93.641,"LINESTRING (13.740553 51.047284, 13.7392151 51.0473255)",2,,,
24543518,Pirnaischer Platz,primary,50,True,False,19.146,"LINESTRING (13.745023 51.0494691, 13.7448983 51.0493158)",4,B 170,,
"[4265221, 119287719]",Pirnaischer Platz,tertiary,50,True,False,50.528,"LINESTRING (13.745023 51.0494691, 13.7448765 51.0494958, 13.7448393 51.0495026, 13.7443907 51.0495669, 13.7443613 51.0495718, 13.7443246 51.0495771, 13.7443213 51.0495776)",2,,,
"[3752478, 1135455335]",Pirnaischer Platz,secondary,50,True,False,21.551000000000002,"LINESTRING (13.744767 51.0491423, 13.7448587 51.0491152, 13.7450459 51.0490597)",3,,,
"[313559638, 24543514, 61320004, 119053534]",St. Petersburger Straße,primary,50,True,False,196.554,"LINESTRING (13.744767 51.0491423, 13.7446801 51.0490277, 13.7446651 51.0490091, 13.74456 51.0488799, 13.7444024 51.048699, 13.7439746 51.048193, 13.7436388 51.0477971, 13.7435781 51.0477255, 13.7435477 51.0476897, 13.7434537 51.0475795)",2,B 170,,
"[998474744, 1101507159]",Ostra-Allee,residential,50,False,False,98.808,"LINESTRING (13.731339 51.0533945, 13.7314042 51.0533216, 13.7316044 51.053099, 13.7318152 51.0528627, 13.7320317 51.0526199)",,,,
4621446,Malergäßchen,residential,50,True,False,66.973,"LINESTRING (13.7320317 51.0526199, 13.7320086 51.0526116, 13.7319971 51.0526075, 13.7319086 51.0525758, 13.7313221 51.0523639, 13.7312132 51.0523086)",1,,,
"[28092852, 192338703]","['Sophienstraße', 'Ostra-Allee']",residential,50,False,"[False, True]",169.31999999999996,"LINESTRING (13.7320317 51.0526199, 13.7322398 51.0523897, 13.732499 51.0521011, 13.7325567 51.0520367, 13.732635 51.0519547, 13.7327343 51.051851, 13.7327557 51.0518286, 13.732824 51.051782, 13.7328434 51.0517687, 13.7329328 51.0517318, 13.7330235 51.0517017, 13.7331053 51.0516832, 13.7332495 51.0516675, 13.7333136 51.0516665, 13.7334076 51.05167, 13.7334766 51.0516756, 13.7335826 51.0516935, 13.7336411 51.0517024)",,,,
"[998474744, 1101507159]",Ostra-Allee,residential,50,False,True,98.80799999999999,"LINESTRING (13.7320317 51.0526199, 13.7318152 51.0528627, 13.7316044 51.053099, 13.7314042 51.0533216, 13.731339 51.0533945)",,,,
