osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,tunnel
6216602,North 1st Avenue,residential,25 mph,False,False,144.406,"LINESTRING (-120.510876 46.603948, -120.5109057 46.6040144, -120.5109276 46.6040635, -120.5114307 46.6051895)",,,
6216602,North 1st Avenue,residential,25 mph,False,True,296.49500000000006,"LINESTRING (-120.510876 46.603948, -120.5108391 46.6038711, -120.5108282 46.6038479, -120.5108106 46.6038111, -120.5105106 46.6031838, -120.5101775 46.6024858, -120.5097232 46.6015336, -120.5096663 46.6014144)",,,
"[188024929, 6208279]",Martin Luther King Jr. Boulevard,secondary,30 mph,True,False,284.713,"LINESTRING (-120.510876 46.603948, -120.5091253 46.6043528, -120.5081024 46.6045816, -120.5075202 46.6047149, -120.5073397 46.6047562)",,,
6208544,North 2nd Avenue,residential,25 mph,False,False,145.29000000000002,"LINESTRING (-120.5122993 46.6036029, -120.512343 46.6036973, -120.512876 46.604848)",,,
6208544,North 2nd Avenue,residential,25 mph,False,True,147.44,"LINESTRING (-120.5122993 46.6036029, -120.5122622 46.6035281, -120.511676 46.602348)",,,
188024929,Martin Luther King Jr. Boulevard,secondary,30 mph,True,False,115.307,"LINESTRING (-120.5122993 46.6036029, -120.5121695 46.6036344, -120.5115941 46.6037738, -120.5110317 46.6039102, -120.5109976 46.6039185, -120.510876 46.603948)",,,
6214630,North 3rd Avenue,tertiary,30 mph,False,False,146.05599999999998,"LINESTRING (-120.5138259 46.6032617, -120.5138704 46.6033518, -120.5139861 46.6035868, -120.5140447 46.6037055, -120.5143486 46.6043207, -120.5144409 46.6045054)",,,
6214630,North 3rd Avenue,tertiary,30 mph,False,True,147.44400000000002,"LINESTRING (-120.5138259 46.6032617, -120.5137822 46.6031726, -120.5132093 46.6020052)",,,
188024929,Martin Luther King Jr. Boulevard,secondary,30 mph,True,False,122.643,"LINESTRING (-120.5138259 46.6032617, -120.5136828 46.6032937, -120.5135378 46.6033259, -120.5124709 46.6035646, -120.5122993 46.6036029)",,,
6217279,North 4th Avenue,residential,25 mph,False,False,146.11,"LINESTRING (-120.5153597 46.6029041, -120.515408 46.6030019, -120.5156375 46.6034672, -120.515757 46.6037098, -120.5158176 46.6038311, -120.515976 46.604148)",,,
6217279,North 4th Avenue,residential,25 mph,False,True,146.08800000000002,"LINESTRING (-120.5153597 46.6029041, -120.515317 46.6028187, -120.5149498 46.6020746, -120.514793 46.6017569, -120.5147456 46.6016599)",,,
