osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed
17842246,6 Mile Road,tertiary,False,False,35.917,"LINESTRING (-85.685336 43.058168, -85.685778 43.058162)",,
17869477,Strawberry Pines Avenue Northwest,residential,False,False,135.116,"LINESTRING (-85.685336 43.058168, -85.685312 43.056953)",,
17842246,6 Mile Road,tertiary,False,True,35.917,"LINESTRING (-85.685778 43.058162, -85.685336 43.058168)",,
17842246,6 Mile Road,tertiary,False,False,327.857,"LINESTRING (-85.685778 43.058162, -85.685869 43.058162, -85.686136 43.0581598, -85.686746 43.058156, -85.6872423 43.0581534, -85.6878772 43.0581467, -85.688034 43.0581453, -85.6886957 43.0581394, -85.6887255 43.0581393, -85.6890612 43.0581387, -85.6891804 43.0581386, -85.6891833 43.0581386, -85.6893122 43.0581385, -85.6898132 43.0581379)",,
17850528,6 Mile Court Northwest,residential,False,False,288.84400000000005,"LINESTRING (-85.685778 43.058162, -85.6857818 43.0584922, -85.6857875 43.0589793, -85.6857877 43.0589958, -85.6857917 43.0593387, -85.6857962 43.0597216, -85.685798 43.059876, -85.6858014 43.0600713, -85.6858065 43.0603676, -85.6858133 43.0607595)",,
721882747,6 Mile Road,tertiary,False,True,20.69,"LINESTRING (-85.6900678 43.0581341, -85.6898132 43.0581379)",,
721882746,Alpine Avenue Northwest,trunk,True,False,148.174,"LINESTRING (-85.6900678 43.0581341, -85.6900508 43.0568434, -85.6900502 43.0568016)",M 37,55 mph
17847279,Metzgar Court Northwest,unclassified,False,False,245.22699999999998,"LINESTRING (-85.6900951 43.0603033, -85.6907704 43.0602937, -85.6915279 43.060283, -85.6918549 43.0602784, -85.6926674 43.0602669, -85.692723 43.0602661, -85.692944 43.060263, -85.6931124 43.0602735)",,
41081497,Alpine Avenue Northwest,trunk,True,False,241.21499999999997,"LINESTRING (-85.6900951 43.0603033, -85.6900833 43.0592918, -85.6900678 43.0581341)",M 37,55 mph
17847279,Metzgar Court Northwest,unclassified,False,True,245.227,"LINESTRING (-85.6931124 43.0602735, -85.692944 43.060263, -85.692723 43.0602661, -85.6926674 43.0602669, -85.6918549 43.0602784, -85.6915279 43.060283, -85.6907704 43.0602937, -85.6900951 43.0603033)",,
17850528,6 Mile Court Northwest,residential,False,True,288.844,"LINESTRING (-85.6858133 43.0607595, -85.6858065 43.0603676, -85.6858014 43.0600713, -85.685798 43.059876, -85.6857962 43.0597216, -85.6857917 43.0593387, -85.6857877 43.0589958, -85.6857875 43.0589793, -85.6857818 43.0584922, -85.685778 43.058162)",,
17869477,Strawberry Pines Avenue Northwest,residential,False,True,135.116,"LINESTRING (-85.685312 43.056953, -85.685336 43.058168)",,
17858169,Strawberry Valley Avenue Northwest,residential,False,True,216.39100000000002,"LINESTRING (-85.685312 43.056953, -85.686385 43.056942, -85.686471 43.056931, -85.686537 43.056906, -85.686578 43.056865, -85.686588 43.056807, -85.6865682 43.0558725)",,
"[17858169, 17869477]","['Strawberry Pines Avenue Northwest', 'Strawberry Valley Avenue Northwest']",residential,False,False,415.9029999999999,"LINESTRING (-85.685312 43.056953, -85.685297 43.055064, -85.685321 43.055008, -85.68536 43.054979, -85.685465 43.054959, -85.686403 43.054956, -85.686494 43.054966, -85.686539 43.055002, -85.686551 43.055061, -85.6865656 43.0557483, -85.6865682 43.0558725)",,
17860507,,trunk_link,True,False,48.851,"LINESTRING (-85.6900309 43.0541724, -85.6900096 43.0540555, -85.6899845 43.0540082, -85.6899498 43.0539721, -85.6898854 43.0539488, -85.6898152 43.0539412, -85.689648 43.053943)",,
917287455,Alpine Avenue Northwest,trunk,True,False,187.441,"LINESTRING (-85.689648 43.053943, -85.689666 43.054235, -85.6897188 43.054937, -85.6897706 43.0556263)",M 37,55 mph
561047851,,trunk_link,True,False,53.352,"LINESTRING (-85.6897706 43.0556263, -85.6898188 43.0558718, -85.689859 43.0559443, -85.6898858 43.0559717, -85.6899341 43.0559894, -85.6899789 43.0559902, -85.6900138 43.0559883, -85.6900409 43.0559785)",,
917287455,Alpine Avenue Northwest,trunk,True,False,93.03,"LINESTRING (-85.6897706 43.0556263, -85.6897778 43.0557804, -85.6897981 43.0562131, -85.689797 43.0564626)",M 37,55 mph
17865958,Metzgar Court Northwest,residential,True,False,19.025,"LINESTRING (-85.689861 43.060305, -85.6900061 43.0603059, -85.6900951 43.0603033)",,
721882748,Alpine Avenue Northwest,trunk,True,False,59.686,"LINESTRING (-85.689861 43.060305, -85.6898562 43.0603958, -85.6898569 43.0608417)",M 37,55 mph
721882747,6 Mile Road,tertiary,False,False,20.69,"LINESTRING (-85.6898132 43.0581379, -85.6900678 43.0581341)",,
17842246,6 Mile Road,tertiary,False,True,327.857,"LINESTRING (-85.6898132 43.0581379, -85.6893122 43.0581385, -85.6891833 43.0581386, -85.6891804 43.0581386, -85.6890612 43.0581387, -85.6887255 43.0581393, -85.6886957 43.0581394, -85.688034 43.0581453, -85.6878772 43.0581467, -85.6872423 43.0581534, -85.686746 43.058156, -85.686136 43.0581598, -85.685869 43.058162, -85.685778 43.058162)",,
721882748,Alpine Avenue Northwest,trunk,True,False,241.00199999999998,"LINESTRING (-85.6898132 43.0581379, -85.6898288 43.0588447, -85.6898364 43.0591913, -85.6898481 43.0597807, -85.6898527 43.0600155, -85.689861 43.060305)",M 37,55 mph
