osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,access,tunnel,bridge
864905964,True,Pear Street,residential,False,48.556,"LINESTRING (-76.8852924 40.2674263, -76.885757 40.2672312, -76.8857938 40.2672158)",,,,,
9060995,True,Grand Street,residential,False,80.918,"LINESTRING (-76.8857521 40.2680639, -76.8857125 40.268009, -76.8852924 40.2674263)",,,,,
9068574,False,Plum Street,residential,False,73.237,"LINESTRING (-76.8857521 40.2680639, -76.885786 40.2681102, -76.885985 40.2683824, -76.8861488 40.2686134, -76.8861683 40.2686409)",,,,,
764852744,True,Boas Street,residential,False,48.569,"LINESTRING (-76.8857521 40.2680639, -76.8861733 40.267887, -76.8862536 40.2678533)",,,,,
9061107,False,North 6th Street,residential,True,28.85,"LINESTRING (-76.8845478 40.2677401, -76.8844479 40.2674921)",,,,,
9066622,True,Pear Street,residential,False,52.413,"LINESTRING (-76.8845478 40.2677401, -76.8849247 40.2675812, -76.8850884 40.267512)",,,,,
89574710,False,Cumberland Court,residential,False,32.974000000000004,"LINESTRING (-76.8856347 40.2698529, -76.8856913 40.2698293, -76.8857292 40.2698134, -76.8857491 40.2698051, -76.8857723 40.2697954, -76.8859756 40.2697105)",,,,,
486683283,False,North 6th Street,secondary,False,93.48799999999999,"LINESTRING (-76.8856347 40.2698529, -76.8859472 40.2702325, -76.8861058 40.2705001, -76.8861654 40.2705878)",2,25 mph,,,
486683283,False,North 6th Street,secondary,True,96.457,"LINESTRING (-76.8856347 40.2698529, -76.8855552 40.2697581, -76.8854285 40.269607, -76.885022 40.2691222)",2,25 mph,,,
486683283,False,North 6th Street,secondary,True,93.488,"LINESTRING (-76.8861654 40.2705878, -76.8861058 40.2705001, -76.8859472 40.2702325, -76.8856347 40.2698529)",2,25 mph,,,
184308447,False,North Street,tertiary,False,32.515,"LINESTRING (-76.8889892 40.2637087, -76.888651 40.2638462)",,,,,
9069106,False,Buttonwood Street,residential,True,67.316,"LINESTRING (-76.8889892 40.2637087, -76.8889474 40.2636493, -76.8886334 40.2632029, -76.888614 40.2631753)",,,,,
184308447,False,North Street,tertiary,True,44.879999999999995,"LINESTRING (-76.8889892 40.2637087, -76.8893707 40.2635536, -76.8893827 40.2635487, -76.889456 40.2635189)",,,,,
184308447,False,North Street,tertiary,True,32.515,"LINESTRING (-76.888651 40.2638462, -76.8889892 40.2637087)",,,,,
9067701,False,Cedar Street,residential,True,67.244,"LINESTRING (-76.888651 40.2638462, -76.8886093 40.263787, -76.8882951 40.2633413, -76.8882756 40.2633136)",,,,,
184308447,False,North Street,tertiary,False,41.051,"LINESTRING (-76.888651 40.2638462, -76.8885844 40.2638732, -76.8883178 40.2639811, -76.8882236 40.2640192)",,,,,
184308447,False,North Street,tertiary,False,84.439,"LINESTRING (-76.8882236 40.2640192, -76.8881194 40.2640618, -76.8878071 40.2641894, -76.8873459 40.2643771)",,,,,
184308447,False,North Street,tertiary,True,41.051,"LINESTRING (-76.8882236 40.2640192, -76.8883178 40.2639811, -76.8885844 40.2638732, -76.888651 40.2638462)",,,,,
475123031,True,North 2nd Street,primary,False,88.534,"LINESTRING (-76.8882236 40.2640192, -76.8882594 40.2640686, -76.8884907 40.264388, -76.8886919 40.264666, -76.8887282 40.2647161)",4,25 mph,,,
184308447,False,North Street,tertiary,False,41.39,"LINESTRING (-76.8873459 40.2643771, -76.8869153 40.264552)",,,,,
184308447,False,North Street,tertiary,True,84.439,"LINESTRING (-76.8873459 40.2643771, -76.8878071 40.2641894, -76.8881194 40.2640618, -76.8882236 40.2640192)",,,,,
848862752,False,Church Street,residential,True,66.036,"LINESTRING (-76.8873459 40.2643771, -76.8873001 40.2643136, -76.8869707 40.2638568)",,,,,
25856384,True,Susquehanna Street,residential,False,91.50399999999999,"LINESTRING (-76.8863102 40.2647936, -76.8863369 40.2648416, -76.88641 40.264973, -76.8865308 40.2651634, -76.8867939 40.2655283)",,,,,
184308447,False,North Street,tertiary,False,62.476,"LINESTRING (-76.8863102 40.2647936, -76.8857825 40.2650119, -76.8856629 40.2650614)",,,,,
184308447,False,North Street,tertiary,True,42.854,"LINESTRING (-76.8863102 40.2647936, -76.8865425 40.2647025, -76.8867583 40.2646158)",,,,,
9066342,False,North 3rd Street,secondary,False,91.845,"LINESTRING (-76.8856629 40.2650614, -76.8857262 40.2651872, -76.8858903 40.2654236, -76.8861508 40.2657978)",2,25 mph,,,
9066342,False,North 3rd Street,secondary,True,67.182,"LINESTRING (-76.8856629 40.2650614, -76.8855928 40.26496, -76.8852993 40.2645247)",2,25 mph,,,
184308447,False,North Street,tertiary,True,62.476,"LINESTRING (-76.8856629 40.2650614, -76.8857825 40.2650119, -76.8863102 40.2647936)",,,,,
9064704,False,Commonwealth Avenue,tertiary,True,85.094,"LINESTRING (-76.8828207 40.2662835, -76.8827677 40.266207, -76.8824528 40.2657524, -76.8823521 40.2656069)",,25 mph,,,
267446292,True,North Street,residential,False,280.199,"LINESTRING (-76.8828207 40.2662835, -76.882957 40.266227, -76.8834718 40.2660133, -76.8840557 40.265771, -76.8840834 40.2657595, -76.8841055 40.2657505, -76.8841797 40.2657202, -76.8846612 40.2655327, -76.8854507 40.2652253, -76.8855642 40.2651797, -76.8856303 40.2651551, -76.8856629 40.2650614)",1,15 mph,,,
906108424,False,Commonwealth Avenue,tertiary,False,149.829,"LINESTRING (-76.8828207 40.2662835, -76.8828662 40.2663492, -76.8832483 40.2669008, -76.8833004 40.266976, -76.8835293 40.2673018, -76.883575 40.2673667, -76.8835946 40.2673946, -76.8836399 40.2674768)",,,,,
9066622,True,Pear Street,residential,False,19.758,"LINESTRING (-76.8850884 40.267512, -76.8852924 40.2674263)",,,,,
9061561,False,Rose Street,residential,False,81.905,"LINESTRING (-76.8850884 40.267512, -76.8852824 40.2678194, -76.8854084 40.2681346, -76.8854336 40.2681976)",,,,,
764852744,True,Boas Street,residential,False,30.843,"LINESTRING (-76.8854336 40.2681976, -76.8857521 40.2680639)",,,,,
9061561,False,Rose Street,residential,True,81.905,"LINESTRING (-76.8854336 40.2681976, -76.8854084 40.2681346, -76.8852824 40.2678194, -76.8850884 40.267512)",,,,,
9064704,False,Commonwealth Avenue,tertiary,False,165.772,"LINESTRING (-76.8807508 40.2633341, -76.8808249 40.2634033, -76.881174 40.2639058, -76.8813977 40.2642292, -76.8814449 40.2642973, -76.8815943 40.264513, -76.8816837 40.2646421)",,25 mph,,,
486683284,True,Walnut Street,primary,False,76.845,"LINESTRING (-76.8807508 40.2633341, -76.880805 40.2632757, -76.8812265 40.2628304, -76.8812793 40.2627729)",3,25 mph,,,
9066405,False,Capitol Street,residential,False,80.913,"LINESTRING (-76.8857938 40.2672158, -76.8862536 40.2678533)",,,,,
9066405,False,Capitol Street,residential,True,45.757,"LINESTRING (-76.8857938 40.2672158, -76.8855909 40.2669342, -76.885534 40.2668552)",,,,,
9062363,False,Church Street,residential,False,72.297,"LINESTRING (-76.8865613 40.2632866, -76.8866174 40.2633669, -76.8869707 40.2638568)",,,,,
9070140,True,State Street,tertiary,False,38.994,"LINESTRING (-76.8865613 40.2632866, -76.8868305 40.2631736, -76.8868501 40.2631654, -76.8869665 40.2631213)",,,,,
