osmid,highway,oneway,reversed,length,name,geometry,ref,lanes
9164314,residential,False,False,31.042,,"LINESTRING (-84.2754764 33.7035462, -84.2758118 33.7035551)",,
9164314,residential,False,True,16.14,,"LINESTRING (-84.2754764 33.7035462, -84.2753021 33.7035397)",,
"[9164312, 9164313]",residential,False,"[False, True]",439.692,Corsair Drive,"LINESTRING (-84.2754764 33.7035462, -84.2755103 33.7029013, -84.2755301 33.702376, -84.2755478 33.7018496, -84.275865 33.7018546, -84.2759024 33.7019176, -84.2759088 33.702295, -84.2759505 33.7023826, -84.2764603 33.7026385, -84.2765129 33.7027293, -84.2765565 33.7030004, -84.276612 33.7033947, -84.2766779 33.7035704)",,
9164313,residential,False,False,67.383,Corsair Drive,"LINESTRING (-84.2770017 33.7049751, -84.276992 33.7048161, -84.2769427 33.7047655, -84.276936 33.7043839)",,
629329019,secondary,False,False,118.395,Flat Shoals Road,"LINESTRING (-84.2770017 33.7049751, -84.2765227 33.7049809, -84.2762933 33.7049772, -84.2757529 33.7049685, -84.275722 33.704968)",,
9164313,residential,False,False,103.315,Corsair Drive,"LINESTRING (-84.276936 33.7043839, -84.2769009 33.7037013, -84.2768633 33.7036253, -84.2766779 33.7035704)",,
9164313,residential,False,True,67.383,Corsair Drive,"LINESTRING (-84.276936 33.7043839, -84.2769427 33.7047655, -84.276992 33.7048161, -84.2770017 33.7049751)",,
9164314,residential,False,True,80.137,,"LINESTRING (-84.2766779 33.7035704, -84.2758118 33.7035551)",,
"[9164312, 9164313]",residential,False,"[False, True]",439.692,Corsair Drive,"LINESTRING (-84.2766779 33.7035704, -84.276612 33.7033947, -84.2765565 33.7030004, -84.2765129 33.7027293, -84.2764603 33.7026385, -84.2759505 33.7023826, -84.2759088 33.702295, -84.2759024 33.7019176, -84.275865 33.7018546, -84.2755478 33.7018496, -84.2755301 33.702376, -84.2755103 33.7029013, -84.2754764 33.7035462)",,
9164313,residential,False,True,103.315,Corsair Drive,"LINESTRING (-84.2766779 33.7035704, -84.2768633 33.7036253, -84.2769009 33.7037013, -84.276936 33.7043839)",,
9164314,residential,False,False,16.14,,"LINESTRING (-84.2753021 33.7035397, -84.2754764 33.7035462)",,
9164314,residential,False,False,80.137,,"LINESTRING (-84.2758118 33.7035551, -84.2766779 33.7035704)",,
9164314,residential,False,True,31.042,,"LINESTRING (-84.2758118 33.7035551, -84.2754764 33.7035462)",,
9165474,residential,False,False,114.465,,"LINESTRING (-84.2758118 33.7035551, -84.275828 33.7028477, -84.276214 33.7028697)",,
9165474,residential,False,True,114.465,,"LINESTRING (-84.276214 33.7028697, -84.275828 33.7028477, -84.2758118 33.7035551)",,
9166913,tertiary,False,False,473.6400000000001,Rainbow Drive,"LINESTRING (-84.271855 33.709811, -84.271475 33.7098037, -84.271263 33.7097996, -84.2710216 33.709795, -84.2708172 33.709791, -84.2706753 33.7097883, -84.2699507 33.7097743, -84.269518 33.709766, -84.2690809 33.7097609, -84.2688341 33.709758, -84.268633 33.7097556, -84.2684065 33.709753, -84.268283 33.7097515, -84.2680144 33.7097484, -84.2676065 33.7097401, -84.2670786 33.7097293, -84.2667356 33.7097254)",,
540662350,secondary,False,False,316.128,Candler Road,"LINESTRING (-84.271855 33.709811, -84.2719441 33.7093354, -84.2719862 33.7091112, -84.2720098 33.7089854, -84.2720422 33.7088121, -84.2720565 33.7087359, -84.272085 33.7085838, -84.272094 33.708536, -84.272128 33.708086, -84.2721257 33.7079247, -84.272122 33.707667, -84.2721108 33.7075697, -84.27207 33.707215, -84.2720287 33.706989)",GA 155,
630391531,secondary,False,True,183.606,Candler Road,"LINESTRING (-84.271855 33.709811, -84.2717243 33.7103579, -84.2716597 33.7106282, -84.2716432 33.7107374, -84.2716094 33.7109618, -84.2716088 33.7110502, -84.2715982 33.7114435)",GA 155,
"[146297887, 1057194487]",residential,True,False,117.689,,"LINESTRING (-84.271855 33.709811, -84.2719588 33.7098787, -84.2722396 33.709938, -84.272962 33.7100907, -84.2730639 33.7100684)",,"['1', '2']"
9167350,residential,False,False,415.87299999999993,South Rainbow Drive,"LINESTRING (-84.2720287 33.706989, -84.2716888 33.7071871, -84.2716239 33.7072156, -84.271416 33.707307, -84.2713712 33.7073203, -84.271181 33.707377, -84.2709172 33.7074203, -84.270907 33.707422, -84.269976 33.707418, -84.269502 33.707399, -84.2693256 33.7074044, -84.269178 33.707409, -84.2691184 33.7074132, -84.268995 33.707422, -84.2686514 33.7074721, -84.2683884 33.7075104, -84.2683419 33.7075172, -84.267685 33.707613)",,
80428417,secondary,False,False,225.45500000000004,Candler Road,"LINESTRING (-84.2720287 33.706989, -84.2719507 33.7066984, -84.2719388 33.7066538, -84.2719042 33.706525, -84.2718549 33.7063816, -84.2717559 33.7060934, -84.2717456 33.7060635, -84.2715919 33.7056866, -84.2715142 33.7054961, -84.2714141 33.7052508, -84.2713315 33.7050482)",GA 155,
"[80428418, 1042691635]",residential,True,False,92.432,,"LINESTRING (-84.2720287 33.706989, -84.2721815 33.7070316, -84.2725242 33.7070171, -84.2729003 33.7070011, -84.2729947 33.7069417)",,"['1', '2']"
540662350,secondary,False,True,316.128,Candler Road,"LINESTRING (-84.2720287 33.706989, -84.27207 33.707215, -84.2721108 33.7075697, -84.272122 33.707667, -84.2721257 33.7079247, -84.272128 33.708086, -84.272094 33.708536, -84.272085 33.7085838, -84.2720565 33.7087359, -84.2720422 33.7088121, -84.2720098 33.7089854, -84.2719862 33.7091112, -84.2719441 33.7093354, -84.271855 33.709811)",GA 155,
9167350,residential,False,False,89.62,South Rainbow Drive,"LINESTRING (-84.267685 33.707613, -84.26687 33.707798, -84.2667529 33.7078321)",,
