osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,access,junction,ref
172166072,2,Rue Maubec,secondary,30,False,True,94.142,"LINESTRING (-1.4679328 43.4972882, -1.4678906 43.4973731, -1.4678724 43.4974098, -1.4676824 43.4978757, -1.4676345 43.4980027, -1.4676192 43.4980422, -1.4675961 43.4980986)",,,,,
719918887,,Rue Maubec,secondary,30,True,False,131.005,"LINESTRING (-1.4679328 43.4972882, -1.4679743 43.4972228, -1.4680508 43.4971374, -1.4681768 43.4970217, -1.4682573 43.4969614, -1.4683874 43.4969049, -1.469248 43.4966819)",3,,,,
45453482,,Rue Tombeloli,residential,30,False,False,44.225,"LINESTRING (-1.469248 43.4966819, -1.4692335 43.4966567, -1.4692196 43.4966325, -1.4691475 43.49649, -1.4691283 43.4964491, -1.4690643 43.4963073)",,,,,
"[1120111185, 719918887]",,Rue Maubec,secondary,30,True,False,58.307,"LINESTRING (-1.469248 43.4966819, -1.4694185 43.4966184, -1.4694884 43.4965887, -1.4697892 43.4964527, -1.4698733 43.4964195)",3,,,,
46760477,,Rue Bourgneuf,residential,30,True,False,13.841000000000001,"LINESTRING (-1.4736418 43.4925386, -1.4735967 43.4924795, -1.4735863 43.4924658, -1.4735619 43.4924285)",,,,,
"[786321714, 203347947]",2,Place du Réduit,secondary,30,False,False,30.347,"LINESTRING (-1.4736418 43.4925386, -1.4734451 43.4926339, -1.4734145 43.4926508, -1.473334 43.4926953)",,,,,
"[33891808, 33891809, 812628543]",2,"['Place du Réduit', 'Pont Mayou']",secondary,30,False,True,69.658,"LINESTRING (-1.4736418 43.4925386, -1.4737159 43.4925017, -1.4737503 43.4924831, -1.4738028 43.4924583, -1.4739342 43.4923917, -1.4741106 43.4923041, -1.4741649 43.4922822, -1.4742279 43.4922657, -1.4742929 43.4922574, -1.474353 43.4922662, -1.4743893 43.4922733)",,yes,,,
"[33891808, 33891809, 812628543]",2,"['Place du Réduit', 'Pont Mayou']",secondary,30,False,False,69.658,"LINESTRING (-1.4743893 43.4922733, -1.474353 43.4922662, -1.4742929 43.4922574, -1.4742279 43.4922657, -1.4741649 43.4922822, -1.4741106 43.4923041, -1.4739342 43.4923917, -1.4738028 43.4924583, -1.4737503 43.4924831, -1.4737159 43.4925017, -1.4736418 43.4925386)",,yes,,,
"[49695416, 591646211]",,Quai Amiral Dubourdieu,residential,30,True,False,148.509,"LINESTRING (-1.4743893 43.4922733, -1.4743821 43.4921796, -1.4743727 43.4921499, -1.474352 43.492111, -1.4743131 43.4919884, -1.4743211 43.49195, -1.4745598 43.4915243, -1.4747635 43.4910515, -1.4747741 43.4910021)",,,,,
"[57015136, 169454701]",2,"['Place de la Liberté', 'Rue Bernède']",secondary,30,False,True,162.768,"LINESTRING (-1.4743893 43.4922733, -1.474476 43.4923153, -1.4745456 43.4923582, -1.4746345 43.492452, -1.4747627 43.4926057, -1.4748334 43.4926772, -1.4749105 43.4927629, -1.4750013 43.492846, -1.4754172 43.493146, -1.475514 43.4932187, -1.4756176 43.493292, -1.4756501 43.493315, -1.4757168 43.4933622)",,,,,
"[812944456, 1265283139, 203100023]",,Allées Paulmy,busway,30,False,True,90.581,"LINESTRING (-1.4784615 43.495047, -1.4784832 43.494929, -1.478543 43.4948586, -1.4786529 43.4947293, -1.4787064 43.4946663, -1.4788945 43.4944556, -1.4789904 43.4943388)",,,no,,
408918200,1,,secondary,30,True,False,40.123000000000005,"LINESTRING (-1.4784615 43.495047, -1.4784134 43.4949266, -1.4783732 43.4948653, -1.4783121 43.4948146, -1.4782864 43.4947975, -1.4782103 43.4947468)",,,,,
586086187,2,Allées Paulmy,secondary,30,True,False,43.596,"LINESTRING (-1.4784615 43.495047, -1.4785598 43.4949937, -1.4786455 43.4949008, -1.4787192 43.4948174, -1.4787915 43.4947416)",,,,,
"[344604936, 33892685, 234860399]",,Pont Marengo,residential,30,True,False,64.91,"LINESTRING (-1.4747741 43.4910021, -1.4746497 43.4910072, -1.4745868 43.4910089, -1.4740384 43.4910078, -1.4739744 43.4909897)",,yes,,,
23776407,,Rue Marengo,residential,30,True,False,80.35199999999999,"LINESTRING (-1.4739744 43.4909897, -1.4738431 43.4909749, -1.472986 43.4909007)",,,,,
49695420,,Quai des Corsaires,residential,30,False,False,18.977,"LINESTRING (-1.4739744 43.4909897, -1.4739342 43.4910597, -1.4739086 43.4911527)",,,,,
309698473,,Place de la République,residential,30,False,True,22.652,"LINESTRING (-1.4694797 43.4958868, -1.4696347 43.4959094, -1.469755 43.495927)",,,,,
45018241,,Place Sainte-Ursule,unclassified,30,True,False,33.918,"LINESTRING (-1.4717465 43.495683, -1.4717046 43.4957032, -1.4716775 43.4957319, -1.471662 43.4957718, -1.4716248 43.4959622)",,,,,
1188967776,1,Giratoire de la Nautique,secondary,30,True,False,9.062999999999999,"LINESTRING (-1.4675332 43.4903761, -1.4675327 43.4903965, -1.4675376 43.4904165, -1.4675478 43.4904355, -1.4675629 43.4904527)",,,,roundabout,
39729515,3,Allées Boufflers,secondary,30,False,False,129.051,"LINESTRING (-1.4700255 43.4918454, -1.4706597 43.4921727, -1.4708738 43.4922808, -1.4713338 43.4925133)",,,,,
39729515,3,Allées Boufflers,secondary,30,False,True,66.472,"LINESTRING (-1.4700255 43.4918454, -1.4695021 43.4915791, -1.4694085 43.49153, -1.469353 43.4915)",,,,,
39729515,3,Allées Boufflers,secondary,30,False,True,129.051,"LINESTRING (-1.4713338 43.4925133, -1.4708738 43.4922808, -1.4706597 43.4921727, -1.4700255 43.4918454)",,,,,
