osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
21388154,Avenue E,residential,False,False,106.781,"LINESTRING (-102.8304533 33.1868015, -102.8304525 33.1872724, -102.8304528 33.1877618)",,,
21388154,Avenue E,residential,False,True,105.713,"LINESTRING (-102.8304533 33.1868015, -102.830453 33.1863134, -102.8304538 33.1858508)",,,
21387822,12th Street,residential,False,True,104.821,"LINESTRING (-102.8315797 33.1867979, -102.8304533 33.1868015)",,,
21388126,Avenue D,residential,False,False,106.67,"LINESTRING (-102.8315797 33.1867979, -102.831579 33.1872739, -102.8315816 33.1877572)",,,
21388126,Avenue D,residential,False,True,105.265,"LINESTRING (-102.8315797 33.1867979, -102.8315866 33.1863155, -102.8316218 33.1858522)",,,
117987580,Cowboy Way,primary,False,False,127.244,"LINESTRING (-102.8223964 33.1862648, -102.8235875 33.1868268)",4,US 82;US 380,55 mph
117987580,Cowboy Way,primary,False,True,45.378,"LINESTRING (-102.8223964 33.1862648, -102.8219756 33.1860586)",4,US 82;US 380,55 mph
21380486,Avenue L,residential,False,True,51.039,"LINESTRING (-102.8223964 33.1862648, -102.8224812 33.1861275, -102.8224874 33.1858231)",,,
21388154,Avenue E,residential,False,False,11.32,"LINESTRING (-102.8304508 33.1915232, -102.8304507 33.191625)",,,
"[21387416, 21388126]","['Avenue D', '7th Street']",residential,False,True,198.125,"LINESTRING (-102.8304508 33.1915232, -102.8315667 33.1915146, -102.8315641 33.1911142, -102.8315623 33.1906667)",,,
21388154,Avenue E,residential,False,True,95.583,"LINESTRING (-102.8304508 33.1915232, -102.8304505 33.1911128, -102.8304513 33.1906636)",,,
117987580,Cowboy Way,primary,False,False,33.102,"LINESTRING (-102.8255473 33.1877859, -102.825849 33.1879436)",4,US 82;US 380,55 mph
21387679,11th Street,residential,False,True,73.825,"LINESTRING (-102.8255473 33.1877859, -102.8253017 33.1877884, -102.824754 33.1877905)",,,
117987580,Cowboy Way,primary,False,True,87.865,"LINESTRING (-102.8255473 33.1877859, -102.825466 33.1877485, -102.8247553 33.1873561)",4,US 82;US 380,55 mph
1229551029,9th Street,residential,False,False,257.591,"LINESTRING (-102.8253227 33.1896579, -102.8225546 33.1896729)",,,
