osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,tunnel,junction
7954915,D 127,Rue de Paris,tertiary,50,False,False,173.451,"LINESTRING (3.9079609 47.4926589, 3.9079369 47.4923769, 3.9078724 47.4918372, 3.9078659 47.491783, 3.9078623 47.4917525, 3.9078465 47.4916206, 3.907845 47.4915783, 3.9078281 47.4911021)",,,,
118335992,D 606c,Rue Carnot,secondary,50,False,False,106.12299999999999,"LINESTRING (3.9079609 47.4926589, 3.9081707 47.4925022, 3.9082346 47.4924673, 3.9090505 47.4922123, 3.9091582 47.4921787)",2,,,
38540983,D 127A,Rue de Lyon,tertiary,,False,False,136.174,"LINESTRING (3.9121243 47.4912135, 3.9120658 47.4911188, 3.912045 47.4911031, 3.9120289 47.4910953, 3.9118785 47.4910225, 3.9116725 47.4909228, 3.9113553 47.4907693, 3.9108504 47.4905494, 3.9106989 47.4904834)",,,,
118336006,D 606c,Rue de Lyon,secondary,50,False,False,50.95399999999999,"LINESTRING (3.9121243 47.4912135, 3.9122502 47.4912343, 3.9123436 47.4912497, 3.9124664 47.49127, 3.9127853 47.4913157)",2,,,
665287452,D 606c,Rue Carnot,secondary,50,False,True,129.685,"LINESTRING (3.9121243 47.4912135, 3.9120119 47.4912529, 3.9119519 47.4912739, 3.9118766 47.4913003, 3.9116733 47.4913715, 3.9113618 47.4914755, 3.9105814 47.4917362)",2,,,
1237568312,D 944,Route de Lormes,secondary,50,False,True,52.64,"LINESTRING (3.9121243 47.4912135, 3.9122319 47.4910936, 3.9122633 47.491063, 3.9124551 47.4908513, 3.912492 47.4908106)",2,,,
"[118277377, 173087618]",D 127A,Place Vauban,tertiary,50,False,"[False, True]",89.281,"LINESTRING (3.9094233 47.4899117, 3.9093152 47.4898637, 3.908913 47.4897147, 3.9086595 47.4896079, 3.9083909 47.4895154)",1,,,
1237568808,D 127A,Rue de Lyon,tertiary,,False,True,43.963,"LINESTRING (3.9094233 47.4899117, 3.909508 47.4899493, 3.9098168 47.4900864, 3.9099123 47.4901288)",,,,
118335992,D 606c,Rue Carnot,secondary,50,False,False,7.317,"LINESTRING (3.9091582 47.4921787, 3.9092466 47.4921511)",2,,,
118335992,D 606c,Rue Carnot,secondary,50,False,True,106.12299999999999,"LINESTRING (3.9091582 47.4921787, 3.9090505 47.4922123, 3.9082346 47.4924673, 3.9081707 47.4925022, 3.9079609 47.4926589)",2,,,
