osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge,access,tunnel,junction
"[8217412, 1022981143]",True,2,trunk_link,False,196.169,"LINESTRING (-1.5120228 52.4123072, -1.5122392 52.4122147, -1.5129335 52.4120132, -1.5143125 52.4116828, -1.5143706 52.411664, -1.5144113 52.4116508, -1.5144566 52.4116319, -1.5145035 52.4116101, -1.5145571 52.4115826, -1.5146191 52.4115501)",,,,,,,
"[25290728, 4075641, 151541434, 25290726]",True,2,trunk,False,378.034,"LINESTRING (-1.5120228 52.4123072, -1.512924 52.4121029, -1.5136404 52.4119217, -1.5148348 52.4116027, -1.515331 52.4114452, -1.5160245 52.4112021, -1.5162747 52.4110955, -1.5169461 52.4107597)",A4053,"['Ringway St Nicholas', 'Ringway Hill Cross']",40 mph,yes,,,
88223165,True,4,trunk,False,89.38199999999999,"LINESTRING (-1.5075753 52.4120516, -1.5081741 52.4124121, -1.5083661 52.4125204, -1.5085215 52.412611)",A4053,Ringway Swanswell,40 mph,,,,
24022015,False,2,tertiary,False,55.25,"LINESTRING (-1.5083187 52.4102425, -1.5083007 52.4102052, -1.5082664 52.4101781, -1.508215 52.4101505, -1.5081054 52.4101, -1.5077012 52.4099323)",,Fairfax Street,20 mph,,,,
"[152505501, 152505502, 152505503]",False,,unclassified,True,38.497,"LINESTRING (-1.5083187 52.4102425, -1.5084064 52.4102316, -1.5085313 52.4102299, -1.5086736 52.4102363, -1.5088326 52.4102253, -1.5088817 52.4102183)",,Hales Street,20 mph,,no,,
"[204874240, 1246416788, 8003295]",False,,tertiary,False,122.674,"LINESTRING (-1.5083187 52.4102425, -1.5083225 52.4102863, -1.5083099 52.4103142, -1.5082875 52.4103464, -1.508271 52.4103653, -1.5081993 52.4104248, -1.508089 52.4105129, -1.5077689 52.4107831, -1.5076961 52.4108412, -1.5076046 52.4109144, -1.5073032 52.4111397)",,Hales Street,20 mph,,,,
24022015,False,2,tertiary,True,55.25,"LINESTRING (-1.5077012 52.4099323, -1.5081054 52.4101, -1.508215 52.4101505, -1.5082664 52.4101781, -1.5083007 52.4102052, -1.5083187 52.4102425)",,Fairfax Street,20 mph,,,,
"[25373289, 292425748, 292425750]",True,2,tertiary,False,111.127,"LINESTRING (-1.5077012 52.4099323, -1.5075114 52.4098903, -1.5072313 52.4098414, -1.5069936 52.409812, -1.5063828 52.4097327, -1.5061099 52.4097002)",,Fairfax Street,20 mph,,,building_passage,
148452834,True,2,tertiary,False,172.85200000000003,"LINESTRING (-1.5036236 52.4093468, -1.5038267 52.4093411, -1.5047108 52.4094495, -1.5051014 52.4095073, -1.5055954 52.4095717, -1.5061199 52.4096394)",,Fairfax Street,20 mph,,,,
"[148452833, 167697247]",False,"['3', '2']",secondary,True,117.61699999999999,"LINESTRING (-1.5036236 52.4093468, -1.503475 52.4095216, -1.503346 52.40981, -1.503346 52.4099073, -1.5033577 52.410008, -1.503334 52.4102322, -1.5032996 52.4103696)",B4544,Cox Street,20 mph,,,,
