osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,bridge,junction
"[428023450, 366238187]",True,"['4', '3']",WA 202,131st Avenue Northeast,primary,False,87.524,35 mph,"LINESTRING (-122.1648975 47.7569925, -122.1647258 47.7570559, -122.1645055 47.7572401, -122.1644009 47.7573391, -122.1642593 47.7575276, -122.1642402 47.7576131)",,
"[1031613978, 428023454]",False,,WA 202,131st Avenue Northeast,primary,False,67.642,,"LINESTRING (-122.1648975 47.7569925, -122.165021 47.7568901, -122.1651363 47.7567884, -122.1652625 47.7566446, -122.1653667 47.756477)",,
"[428023448, 896871938, 1103954267]",True,"['4', '3']",WA 202,131st Avenue Northeast,primary,False,99.205,,"LINESTRING (-122.1653667 47.756477, -122.1654408 47.7564341, -122.1655082 47.7562683, -122.16555 47.7561486, -122.1655563 47.7559857, -122.165532 47.7557518, -122.1655172 47.755618)",,
"[1031613978, 428023454]",False,,WA 202,131st Avenue Northeast,primary,True,67.64200000000001,,"LINESTRING (-122.1653667 47.756477, -122.1652625 47.7566446, -122.1651363 47.7567884, -122.165021 47.7568901, -122.1648975 47.7569925)",,
617271589,False,,,Northeast 177th Place,tertiary,True,9.965,,"LINESTRING (-122.1653851 47.75563, -122.1655172 47.755618)",,
"[617271584, 617271587, 617271588]",False,4,,Northeast 177th Place,tertiary,False,160.822,35 mph,"LINESTRING (-122.1653851 47.75563, -122.1651786 47.7556553, -122.16485 47.755693, -122.164726 47.7557142, -122.1645429 47.7557538, -122.1638804 47.755931, -122.1633471 47.7560751)",,
"[896871937, 896871939]",True,3,WA 202,131st Avenue Northeast,primary,False,96.278,,"LINESTRING (-122.1653851 47.75563, -122.1654099 47.7557643, -122.1654276 47.75601, -122.1654084 47.7561467, -122.1653686 47.7562724, -122.1653146 47.7564183, -122.1653667 47.756477)",,
"[784781729, 784781730, 428018452, 161389094]",False,5,,131st Avenue Northeast,secondary,False,463.02700000000004,,"LINESTRING (-122.1653342 47.7545084, -122.165336 47.7543824, -122.1653444 47.7540084, -122.165347 47.7538786, -122.1653704 47.7535199, -122.1653726 47.7534482, -122.1653883 47.7527195, -122.1653354 47.7525161, -122.1652913 47.7524001, -122.1652471 47.7523035, -122.1652247 47.7522574, -122.1651431 47.7521401, -122.164918 47.751911, -122.1646585 47.7517202, -122.1642181 47.7514643, -122.1638017 47.7512179, -122.1637255 47.751171, -122.1636807 47.7511433, -122.1634427 47.7510272, -122.1633268 47.7509679, -122.1632422 47.7509344)",,
"[428020113, 428020118, 428020121, 428020124, 428020125]",False,"['4', '5']",,Northeast 175th Street,secondary,False,156.726,25 mph,"LINESTRING (-122.1653342 47.7545084, -122.165091 47.7545012, -122.16461 47.7544891, -122.16442 47.754484, -122.16435 47.754484, -122.1637975 47.754484, -122.1637395 47.754484, -122.1633877 47.754484, -122.1633773 47.754484, -122.1632385 47.7544814)",,
"[737940912, 366238186, 737940911]",False,"['5', '6']",WA 202,131st Avenue Northeast,primary,True,59.034000000000006,,"LINESTRING (-122.1653342 47.7545084, -122.165337 47.7546488, -122.1653406 47.754824, -122.1653616 47.7550162, -122.1653641 47.7550387)",,
649935500,True,2,,,motorway_link,False,13.077,,"LINESTRING (-122.1638011 47.7588358, -122.1639748 47.7588218)",,
"[428023456, 428023458, 4842756, 4842757, 122709673, 428023455]",False,"['4', '5']",WA 202,"['132nd Avenue Northeast', '131st Avenue Northeast']",primary,True,140.04999999999998,35 mph,"LINESTRING (-122.1638011 47.7588358, -122.1638443 47.7586606, -122.1639748 47.7582687, -122.1640179 47.7581392, -122.1640608 47.7580198, -122.1641113 47.7578797, -122.1641378 47.7578065, -122.1642402 47.7576131)",yes,
"[428023456, 428023458, 4842756, 4842757, 122709673, 428023455]",False,"['4', '5']",WA 202,"['132nd Avenue Northeast', '131st Avenue Northeast']",primary,False,140.05,35 mph,"LINESTRING (-122.1642402 47.7576131, -122.1641378 47.7578065, -122.1641113 47.7578797, -122.1640608 47.7580198, -122.1640179 47.7581392, -122.1639748 47.7582687, -122.1638443 47.7586606, -122.1638011 47.7588358)",yes,
"[1031613977, 1031613979]",True,"['1', '2']",WA 202,131st Avenue Northeast,primary,False,63.99,35 mph,"LINESTRING (-122.1642402 47.7576131, -122.1643856 47.7575346, -122.1644485 47.7574504, -122.1644762 47.7574133, -122.1645183 47.7573669, -122.1645709 47.7573174, -122.1647624 47.7571654)",,
"[259096584, 428018453]",False,5,,140th Avenue Northeast,secondary,True,329.5970000000001,25 mph,"LINESTRING (-122.1527064 47.7514999, -122.1527112 47.7516518, -122.152721 47.7519477, -122.1527282 47.7521707, -122.1527289 47.752212, -122.1527313 47.752366, -122.1527364 47.7526879, -122.1527368 47.7527128, -122.1527396 47.7528854, -122.1527434 47.7531274, -122.1527493 47.753498, -122.1527506 47.7538427, -122.1527558 47.7539489, -122.1527576 47.754015, -122.15278 47.7543266, -122.15279 47.7544632)",,
"[428018457, 637490748]",False,5,,Northeast 171st Street,secondary,True,349.815,,"LINESTRING (-122.1527064 47.7514999, -122.1529393 47.7514862, -122.1534329 47.7514572, -122.1534665 47.7514552, -122.153574 47.75144, -122.1538745 47.7513977, -122.154048 47.7513484, -122.1542599 47.7512707, -122.155217 47.750897, -122.1553247 47.750855, -122.1553894 47.7508333, -122.1556203 47.7507558, -122.155899 47.7506996, -122.1561761 47.7506804, -122.1567949 47.7506774, -122.1571143 47.7506792)",,
"[428020113, 428020118, 428020121, 428020124, 428020125]",False,"['4', '5']",,Northeast 175th Street,secondary,True,156.72600000000003,25 mph,"LINESTRING (-122.1632385 47.7544814, -122.1633773 47.754484, -122.1633877 47.754484, -122.1637395 47.754484, -122.1637975 47.754484, -122.16435 47.754484, -122.16442 47.754484, -122.16461 47.7544891, -122.165091 47.7545012, -122.1653342 47.7545084)",,
"[428020122, 428020126]",False,"['4', '3']",,Northeast 175th Street,secondary,False,94.11200000000001,25 mph,"LINESTRING (-122.1632385 47.7544814, -122.16286 47.754484, -122.16277 47.754484, -122.1627523 47.754484, -122.162711 47.754484, -122.1623936 47.754484, -122.1622629 47.754484, -122.16219 47.754484, -122.1621188 47.7544827, -122.1619797 47.7544801)",,
"[428023457, 428023459, 428023460, 4842789, 578715685, 428023465, 13866893, 259096503]",False,"['3', '2']",,"['132nd Avenue Northeast', 'Woodinville Snohomish Road']",secondary,True,748.187,25 mph,"LINESTRING (-122.1632385 47.7544814, -122.163238 47.7545696, -122.1632385 47.7547551, -122.1632374 47.7548134, -122.1632385 47.7548484, -122.1632385 47.7549014, -122.1632385 47.7549919, -122.1632385 47.7550154, -122.1632385 47.7552405, -122.1632343 47.755358, -122.1632269 47.7554907, -122.1632183 47.755547, -122.1631935 47.7556005, -122.163166 47.755629, -122.1630797 47.7556842, -122.1629561 47.7557399, -122.1622868 47.7559045, -122.1619711 47.7559995, -122.1617584 47.7560638, -122.1607101 47.7563871, -122.1600686 47.7566098, -122.1597673 47.7567219, -122.1594671 47.7568462, -122.1589843 47.7570698, -122.1589144 47.757105, -122.1586094 47.7572583, -122.1584077 47.7573601, -122.1583318 47.7574032, -122.158285 47.75743, -122.1580751 47.7575494, -122.1575279 47.7578992, -122.156793 47.7584384, -122.1567714 47.7584571, -122.1567532 47.7584728, -122.156681 47.7585349, -122.156524 47.7586696, -122.156441 47.7587413)",,
"[259096584, 428018453]",False,5,,140th Avenue Northeast,secondary,False,329.59700000000004,25 mph,"LINESTRING (-122.15279 47.7544632, -122.15278 47.7543266, -122.1527576 47.754015, -122.1527558 47.7539489, -122.1527506 47.7538427, -122.1527493 47.753498, -122.1527434 47.7531274, -122.1527396 47.7528854, -122.1527368 47.7527128, -122.1527364 47.7526879, -122.1527313 47.752366, -122.1527289 47.752212, -122.1527282 47.7521707, -122.152721 47.7519477, -122.1527112 47.7516518, -122.1527064 47.7514999)",,
"[122720507, 428020123, 785046147, 428341747]",False,"['4', '5']",,Northeast 175th Street,secondary,True,96.442,25 mph,"LINESTRING (-122.15279 47.7544632, -122.152988 47.7544632, -122.1531653 47.7544632, -122.15341 47.7544634, -122.1534754 47.7544636, -122.1534979 47.7544639, -122.1535926 47.754465, -122.1537971 47.7544673, -122.1539597 47.7544691, -122.15408 47.75447)",,
"[428341742, 428025007, 428341746, 428025012, 428025014, 620661176]",False,5,,140th Avenue Northeast,secondary,True,226.643,25 mph,"LINESTRING (-122.15279 47.7544632, -122.1527931 47.7546433, -122.1527957 47.7547, -122.1528023 47.7549763, -122.152804 47.7550475, -122.152805 47.755091, -122.1528058 47.7551231, -122.1528069 47.7551701, -122.1528089 47.7552103, -122.152833 47.755685, -122.1528399 47.7558209, -122.1528489 47.7559974, -122.152851 47.7560293, -122.1528543 47.7561114, -122.1528597 47.7562294, -122.152873 47.7564128, -122.15288 47.7565004)",,
4842790,False,3,,Northeast Mill Place,tertiary,False,54.096999999999994,25 mph,"LINESTRING (-122.15288 47.7565004, -122.153018 47.7565203, -122.1532409 47.7565522, -122.1534803 47.7566139, -122.1534937 47.7566173, -122.1535687 47.7566426)",,
"[428341742, 428025007, 428341746, 428025012, 428025014, 620661176]",False,5,,140th Avenue Northeast,secondary,False,226.643,25 mph,"LINESTRING (-122.15288 47.7565004, -122.152873 47.7564128, -122.1528597 47.7562294, -122.1528543 47.7561114, -122.152851 47.7560293, -122.1528489 47.7559974, -122.1528399 47.7558209, -122.152833 47.755685, -122.1528089 47.7552103, -122.1528069 47.7551701, -122.1528058 47.7551231, -122.152805 47.755091, -122.152804 47.7550475, -122.1528023 47.7549763, -122.1527957 47.7547, -122.1527931 47.7546433, -122.15279 47.7544632)",,
"[428341745, 428025013]",False,"['4', '5']",,140th Avenue Northeast,secondary,False,78.364,25 mph,"LINESTRING (-122.15288 47.7565004, -122.152882 47.7566048, -122.1528836 47.7566285, -122.1529 47.757205)",,
6348052,False,3,,Garden Way Northeast,tertiary,True,151.75699999999998,25 mph,"LINESTRING (-122.1546579 47.7572728, -122.154497 47.7573545, -122.1543694 47.7574201, -122.1539388 47.7576687, -122.1536914 47.7577796, -122.153595 47.7578045, -122.1534791 47.757835, -122.1532891 47.7578482, -122.1530404 47.7578507, -122.152905 47.757852)",,
238489827,False,4,,Northeast 178th Place,tertiary,False,42.922,25 mph,"LINESTRING (-122.1546579 47.7572728, -122.154766 47.7573676, -122.1550106 47.7575774)",,
238489828,False,,,Garden Way Northeast,tertiary,False,337.78000000000003,25 mph,"LINESTRING (-122.1546579 47.7572728, -122.154784 47.7571915, -122.1550492 47.7570219, -122.1550922 47.7569943, -122.1552392 47.7568858, -122.1553073 47.756814, -122.15537 47.7567478, -122.1554819 47.7565615, -122.155507 47.7565005, -122.1555382 47.7564312, -122.155564 47.7562762, -122.155543 47.7560852, -122.1554783 47.7559009, -122.1553865 47.755714, -122.155349 47.7556374, -122.1552775 47.7554702, -122.1552267 47.7552463, -122.1552198 47.7551428, -122.1552096 47.7549883, -122.155193 47.7545796, -122.15519 47.7544743)",,
703503151,False,3,,Northeast Mill Place,tertiary,True,60.134,25 mph,"LINESTRING (-122.1546579 47.7572728, -122.154509 47.7571769, -122.1543545 47.7570765, -122.1540783 47.7568978)",,
"[428023457, 428023459, 428023460, 4842789, 578715685, 428023465, 13866893, 259096503]",False,"['3', '2']",,"['132nd Avenue Northeast', 'Woodinville Snohomish Road']",secondary,False,748.1869999999999,25 mph,"LINESTRING (-122.156441 47.7587413, -122.156524 47.7586696, -122.156681 47.7585349, -122.1567532 47.7584728, -122.1567714 47.7584571, -122.156793 47.7584384, -122.1575279 47.7578992, -122.1580751 47.7575494, -122.158285 47.75743, -122.1583318 47.7574032, -122.1584077 47.7573601, -122.1586094 47.7572583, -122.1589144 47.757105, -122.1589843 47.7570698, -122.1594671 47.7568462, -122.1597673 47.7567219, -122.1600686 47.7566098, -122.1607101 47.7563871, -122.1617584 47.7560638, -122.1619711 47.7559995, -122.1622868 47.7559045, -122.1629561 47.7557399, -122.1630797 47.7556842, -122.163166 47.755629, -122.1631935 47.7556005, -122.1632183 47.755547, -122.1632269 47.7554907, -122.1632343 47.755358, -122.1632385 47.7552405, -122.1632385 47.7550154, -122.1632385 47.7549919, -122.1632385 47.7549014, -122.1632385 47.7548484, -122.1632374 47.7548134, -122.1632385 47.7547551, -122.163238 47.7545696, -122.1632385 47.7544814)",,
578715684,False,4,,Northeast 178th Place,tertiary,False,43.066,25 mph,"LINESTRING (-122.156441 47.7587413, -122.156532 47.7587922, -122.1566072 47.7588341, -122.156664 47.758866, -122.1567427 47.758908, -122.156888 47.7589856)",,
703503156,False,3,,Northeast 178th Place,tertiary,True,131.419,25 mph,"LINESTRING (-122.156441 47.7587413, -122.156348 47.7586793, -122.1561671 47.7585587, -122.1556072 47.758069, -122.155526 47.7580004, -122.155317 47.7578347)",,
6348052,False,3,,Garden Way Northeast,tertiary,False,151.75700000000003,25 mph,"LINESTRING (-122.152905 47.757852, -122.1530404 47.7578507, -122.1532891 47.7578482, -122.1534791 47.757835, -122.153595 47.7578045, -122.1536914 47.7577796, -122.1539388 47.7576687, -122.1543694 47.7574201, -122.154497 47.7573545, -122.1546579 47.7572728)",,
"[428025009, 428025004, 428025005]",False,"['4', '5']",,140th Avenue Northeast,secondary,True,78.06,25 mph,"LINESTRING (-122.152905 47.757852, -122.1529071 47.7581459, -122.1529089 47.7583961, -122.15291 47.758551, -122.15291 47.758554)",,
"[622462914, 428025006, 428341743]",False,5,,140th Avenue Northeast,secondary,"[False, True]",71.94400000000002,25 mph,"LINESTRING (-122.152905 47.757852, -122.1529047 47.7578134, -122.1529021 47.7574782, -122.1529006 47.7572867, -122.1529 47.757205)",,
6414587,False,,,134th Avenue Northeast,residential,False,254.26600000000002,,"LINESTRING (-122.1607737 47.7567838, -122.1607919 47.7573235, -122.1608116 47.7579265, -122.1608134 47.7580082, -122.1608189 47.7581575, -122.1608356 47.7584454, -122.1608399 47.7586035, -122.1608455 47.75892, -122.1608514 47.7590698)",,
"[647210434, 6429947]",False,,,Northeast 177th Place,tertiary,False,382.981,35 mph,"LINESTRING (-122.1607737 47.7567838, -122.1602069 47.7569918, -122.1598705 47.7571363, -122.15927 47.7573999, -122.1592296 47.7574212, -122.1586835 47.7577089, -122.1583679 47.7579156, -122.1579897 47.7581626, -122.1576879 47.7583609, -122.1575596 47.7584612, -122.156888 47.7589856)",,
"[617271585, 617271586, 617271583]",False,3,,Northeast 177th Place,tertiary,True,207.91000000000003,35 mph,"LINESTRING (-122.1607737 47.7567838, -122.1612276 47.7566518, -122.1616703 47.7565231, -122.1620075 47.7564315, -122.1622226 47.7563734, -122.1624763 47.7563052, -122.1633471 47.7560751)",,
26129049,False,2,,Northeast 173rd Street,residential,False,132.191,,"LINESTRING (-122.1614682 47.7524967, -122.16128 47.752497, -122.1606836 47.752497, -122.1600914 47.752497, -122.1597 47.752497)",,
"[773156010, 637490749]",False,,,133rd Avenue Northeast,residential,False,229.192,,"LINESTRING (-122.1614682 47.7524967, -122.161469 47.7525615, -122.1614742 47.7527558, -122.1614876 47.7529618, -122.1615083 47.753038, -122.1615331 47.7531087, -122.1616124 47.7532245, -122.1616947 47.7533153, -122.1617227 47.7533453, -122.1618479 47.7534644, -122.1618926 47.7535216, -122.1619245 47.7535809, -122.1619529 47.7536478, -122.1619651 47.753697, -122.1619776 47.7537814, -122.161981 47.7539017, -122.1619794 47.754364, -122.1619797 47.7544801)",,
637490749,False,,,133rd Avenue Northeast,residential,True,83.74799999999999,,"LINESTRING (-122.1614682 47.7524967, -122.1614665 47.7524124, -122.1614662 47.7523833, -122.1614686 47.7520392, -122.1614759 47.7517436)",,
578715684,False,4,,Northeast 178th Place,tertiary,True,43.066,25 mph,"LINESTRING (-122.156888 47.7589856, -122.1567427 47.758908, -122.156664 47.758866, -122.1566072 47.7588341, -122.156532 47.7587922, -122.156441 47.7587413)",,
"[647210434, 6429947]",False,,,Northeast 177th Place,tertiary,True,382.981,35 mph,"LINESTRING (-122.156888 47.7589856, -122.1575596 47.7584612, -122.1576879 47.7583609, -122.1579897 47.7581626, -122.1583679 47.7579156, -122.1586835 47.7577089, -122.1592296 47.7574212, -122.15927 47.7573999, -122.1598705 47.7571363, -122.1602069 47.7569918, -122.1607737 47.7567838)",,
428020112,False,3,,Northeast 175th Street,secondary,False,214.963,25 mph,"LINESTRING (-122.1619797 47.7544801, -122.1617811 47.7544795, -122.1616946 47.7544792, -122.1615465 47.7544787, -122.1611017 47.7544774, -122.1608338 47.7544766, -122.1606935 47.7544762, -122.1603154 47.7544765, -122.1601 47.7544743, -122.1598976 47.7544743, -122.1597682 47.7544743, -122.1596365 47.7544743, -122.1594751 47.7544743, -122.1593075 47.7544743, -122.1591043 47.7544743)",,
"[428020122, 428020126]",False,"['4', '3']",,Northeast 175th Street,secondary,True,94.11200000000001,25 mph,"LINESTRING (-122.1619797 47.7544801, -122.1621188 47.7544827, -122.16219 47.754484, -122.1622629 47.754484, -122.1623936 47.754484, -122.162711 47.754484, -122.1627523 47.754484, -122.16277 47.754484, -122.16286 47.754484, -122.1632385 47.7544814)",,
"[773156010, 637490749]",False,,,133rd Avenue Northeast,residential,True,229.19199999999998,,"LINESTRING (-122.1619797 47.7544801, -122.1619794 47.754364, -122.161981 47.7539017, -122.1619776 47.7537814, -122.1619651 47.753697, -122.1619529 47.7536478, -122.1619245 47.7535809, -122.1618926 47.7535216, -122.1618479 47.7534644, -122.1617227 47.7533453, -122.1616947 47.7533153, -122.1616124 47.7532245, -122.1615331 47.7531087, -122.1615083 47.753038, -122.1614876 47.7529618, -122.1614742 47.7527558, -122.161469 47.7525615, -122.1614682 47.7524967)",,
6401465,False,2,,135th Avenue Northeast,residential,False,219.867,,"LINESTRING (-122.1591043 47.7544743, -122.1591047 47.754382, -122.1591043 47.754287, -122.1591043 47.753978, -122.1591043 47.7538295, -122.1591043 47.7538105, -122.1591031 47.7536364, -122.1591027 47.7535742, -122.1591023 47.7534654, -122.1591019 47.7533376, -122.1591013 47.7531789, -122.1591014 47.7530712, -122.159103 47.7527487, -122.1591047 47.752497)",,
428020112,False,3,,Northeast 175th Street,secondary,True,214.96300000000005,25 mph,"LINESTRING (-122.1591043 47.7544743, -122.1593075 47.7544743, -122.1594751 47.7544743, -122.1596365 47.7544743, -122.1597682 47.7544743, -122.1598976 47.7544743, -122.1601 47.7544743, -122.1603154 47.7544765, -122.1606935 47.7544762, -122.1608338 47.7544766, -122.1611017 47.7544774, -122.1615465 47.7544787, -122.1616946 47.7544792, -122.1617811 47.7544795, -122.1619797 47.7544801)",,
"[428020128, 428020129, 428020114, 428020115, 428341748, 428020119]",False,3,,Northeast 175th Street,secondary,False,292.62600000000003,25 mph,"LINESTRING (-122.1591043 47.7544743, -122.1589064 47.7544739, -122.1586879 47.7544734, -122.1586599 47.7544733, -122.1586055 47.7544732, -122.1585701 47.7544733, -122.1581716 47.7544743, -122.1579392 47.7544726, -122.1576218 47.7544734, -122.1572504 47.7544743, -122.157069 47.7544749, -122.1567836 47.7544759, -122.1566026 47.7544765, -122.1562365 47.7544777, -122.1560181 47.754477, -122.1556608 47.7544758, -122.1553681 47.7544744, -122.15519 47.7544743)",,
