osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,ref,bridge,width
"[549665153, 549665132]",True,Silver Street,tertiary,30 mph,False,27.797000000000004,1,"LINESTRING (-0.0807294 51.652265, -0.0807222 51.652355, -0.0806884 51.6524669, -0.0806432 51.6525034)",,,
778943864,True,Southbury Road,primary,30 mph,False,13.867999999999999,3,"LINESTRING (-0.0807294 51.652265, -0.0806085 51.6522842, -0.0805358 51.6522984)",A110,,
298940053,True,,primary_link,30 mph,False,50.282000000000004,,"LINESTRING (-0.0796659 51.6507703, -0.0797515 51.6507242, -0.0798971 51.6506992, -0.0799835 51.6506747, -0.080039 51.650651, -0.0800934 51.6506278, -0.0801378 51.6506024, -0.0801901 51.6505581, -0.0802258 51.6505088)",,,
502942731,True,Genotin Road,primary,30 mph,False,45.092,2,"LINESTRING (-0.0796659 51.6507703, -0.0801345 51.6507189, -0.0803118 51.6507114)",,,
"[660135684, 972666219, 74440561, 146467313, 22761621, 22761626]",False,Windmill Hill,primary,30 mph,False,109.57899999999998,"['3', '2']","LINESTRING (-0.0882497 51.6534812, -0.0880231 51.6533504, -0.0880145 51.6533454, -0.087907 51.6532764, -0.0875318 51.6530759, -0.0874376 51.6530157, -0.0872282 51.652883, -0.0872054 51.6528671, -0.0870994 51.6528027)",A110,yes,
8010901,False,Silver Street,tertiary,30 mph,False,76.049,2,"LINESTRING (-0.0806103 51.6544784, -0.0806139 51.6542818, -0.0806139 51.6541464, -0.080595 51.6538739, -0.0805902 51.6537948)",,,
209275813,True,Silver Street,unclassified,,False,78.16100000000002,,"LINESTRING (-0.0806103 51.6544784, -0.0806755 51.6544872, -0.0807399 51.6545256, -0.0807962 51.6546006, -0.0808128 51.6546901, -0.0808074 51.6547262, -0.0807948 51.65481, -0.0807482 51.6549046, -0.0806997 51.6549727, -0.0806469 51.6550368, -0.0805738 51.6550868)",,,
478182060,False,Baker Street,tertiary,,True,67.72899999999998,2,"LINESTRING (-0.0806103 51.6544784, -0.0806048 51.654796, -0.0806032 51.6548273, -0.0805887 51.6549823, -0.0805738 51.6550868)",,,
"[1427316, 502942727]",True,Cecil Road,primary,30 mph,False,71.201,1,"LINESTRING (-0.0819264 51.6506441, -0.0821717 51.6506321, -0.0826867 51.6506212, -0.0829548 51.6505981)",,,
"[633762083, 729106735, 729106736, 849066868, 2778968, 729105019]",True,Sydney Road,residential,,False,245.80900000000003,,"LINESTRING (-0.0819264 51.6506441, -0.0819216 51.6505874, -0.0818492 51.6501067, -0.081845 51.6500729, -0.0818317 51.6499829, -0.0817929 51.6497481, -0.0815943 51.6485472, -0.08158 51.6485216, -0.0815691 51.6485001, -0.0815612 51.6484796, -0.0815467 51.6484654, -0.081531 51.6484527)",,,
641955365,True,Church Street,primary,30 mph,False,63.07,2,"LINESTRING (-0.0865904 51.6524963, -0.0865381 51.6524681, -0.0863432 51.6523629, -0.0862292 51.6523281, -0.0860177 51.6523018, -0.0858416 51.6522866, -0.0857764 51.6522801)",,,
8125404,False,Waddington Close,residential,,True,38.655,,"LINESTRING (-0.073995 51.6487272, -0.0745303 51.6486246)",,,
2953934,False,Burleigh Road,tertiary,,True,204.043,,"LINESTRING (-0.073995 51.6487272, -0.0745014 51.64979, -0.0744924 51.6505167)",,,
1226204370,False,Eaton Road,tertiary,,False,30.984,,"LINESTRING (-0.0744924 51.6505167, -0.0749362 51.6505594)",,,
2953934,False,Burleigh Road,tertiary,,False,204.043,,"LINESTRING (-0.0744924 51.6505167, -0.0745014 51.64979, -0.073995 51.6487272)",,,
8125403,False,Beresford Gardens,residential,,True,60.08,,"LINESTRING (-0.0749362 51.6505594, -0.0758062 51.6505359)",,,
1226204370,False,Eaton Road,tertiary,,True,30.984,,"LINESTRING (-0.0749362 51.6505594, -0.0744924 51.6505167)",,,
607189509,False,Eaton Road,tertiary,,False,84.075,,"LINESTRING (-0.0749362 51.6505594, -0.0749518 51.6510878, -0.0749775 51.651222, -0.075052 51.6513021)",,,
1043662255,True,Cecil Road,primary,30 mph,False,52.979,2,"LINESTRING (-0.0859031 51.6514137, -0.0861685 51.651463, -0.0865583 51.651512, -0.086649 51.6515252)",,,
1427316,True,Cecil Road,primary,30 mph,False,111.68599999999999,,"LINESTRING (-0.0803118 51.6507114, -0.0804843 51.6507038, -0.0814003 51.6506551, -0.0817412 51.6506515, -0.0819264 51.6506441)",,,
"[1072363420, 1072363421, 1427319]",True,London Road,primary,,False,175.924,2,"LINESTRING (-0.0803118 51.6507114, -0.0803192 51.6507893, -0.0804904 51.6513402, -0.0805309 51.6514442, -0.0805616 51.6515248, -0.0806903 51.6518327, -0.0807256 51.6519351, -0.0807399 51.652037, -0.0807403 51.6520947, -0.0807381 51.6521294, -0.0807361 51.6521601, -0.0807294 51.652265)",,,
"[580681336, 726986766, 580681335]",False,London Road,primary,,False,220.38299999999998,"['3', '2']","LINESTRING (-0.0798664 51.6485398, -0.0799143 51.6488741, -0.0799253 51.6489676, -0.079968 51.6492051, -0.0800057 51.6494183, -0.0800151 51.6494712, -0.0800768 51.6498077, -0.0801361 51.6500897, -0.0801425 51.6501126, -0.0801465 51.6501322, -0.0801755 51.6502498, -0.0802109 51.6504277, -0.0802258 51.6505088)",A105,,
549665146,False,Southbury Road,primary,30 mph,False,22.777,3,"LINESTRING (-0.0763452 51.6524099, -0.0762861 51.6524046, -0.0762189 51.6524012, -0.0761068 51.6523889, -0.0760221 51.6523716)",A110,,
1259029151,True,Southbury Road,primary,30 mph,False,9.388,1,"LINESTRING (-0.0763452 51.6524099, -0.0763883 51.6523741, -0.0764523 51.6523725)",A110,,
2831763,False,Peartree Road,residential,,False,71.03800000000001,,"LINESTRING (-0.0762596 51.6536063, -0.0761478 51.6536021, -0.0756349 51.6536208, -0.0753939 51.6536377, -0.0752367 51.6536604)",,,
478182051,False,Willow Road,tertiary,,False,82.57600000000001,2,"LINESTRING (-0.0762596 51.6536063, -0.0762064 51.6539799, -0.0761984 51.654161, -0.0761998 51.6543474)",,,
"[43242394, 478182051]",False,Willow Road,tertiary,,True,106.107,"['3', '2']","LINESTRING (-0.0762596 51.6536063, -0.0762975 51.6534132, -0.0763906 51.6529061, -0.0764366 51.6526584)",,,
549665141,False,St Andrew's Road,residential,,False,22.484,,"LINESTRING (-0.0792355 51.6523704, -0.0792431 51.6524756, -0.0792502 51.6525724)",,,
"[778943861, 778943863]",False,Southbury Road,primary,30 mph,False,25.442,2,"LINESTRING (-0.0792355 51.6523704, -0.0792679 51.6523681, -0.0793583 51.6523633, -0.0796027 51.6523493)",A110,,
"[778943859, 778943863]",False,Southbury Road,primary,30 mph,True,147.793,"['3', '2']","LINESTRING (-0.0792355 51.6523704, -0.0787847 51.6523922, -0.0784503 51.6524045, -0.0780497 51.6524214, -0.0779073 51.6524243, -0.0774619 51.6524375, -0.0774365 51.6524371, -0.0770967 51.6524374)",A110,,
8010902,False,Churchbury Lane,residential,,False,27.93,,"LINESTRING (-0.0793693 51.6538442, -0.0789672 51.6538735)",,,
