osmid,oneway,lanes,highway,reversed,length,maxspeed,geometry,ref,name,bridge,junction
"[25560157, 25559045, 25616231]",True,1,motorway_link,False,192.568,50,"LINESTRING (-8.9370824 52.8579629, -8.9371922 52.8582239, -8.9372809 52.858339, -8.9373705 52.8583743, -8.9375258 52.8583932, -8.9380582 52.858374, -8.9382533 52.8584081, -8.9384939 52.8585004, -8.938593 52.8586126, -8.9386337 52.8587347, -8.9386471 52.8588412, -8.9386564 52.8589729, -8.9386769 52.8590225, -8.9386947 52.8590358)",,,,
25559046,True,2,motorway,False,96.071,120,"LINESTRING (-8.9370824 52.8579629, -8.9371669 52.8584843, -8.9372077 52.8588235)",M18,Ennis Bypass,,
"[208681012, 25560156, 25616229, 25616230]",False,2,secondary,False,292.26399999999995,50,"LINESTRING (-8.9384292 52.8592076, -8.9382908 52.8592445, -8.9381563 52.8592743, -8.9377883 52.8593242, -8.9366458 52.8594403, -8.9361441 52.8595013, -8.9358666 52.8595467, -8.9356866 52.8595761, -8.9356106 52.8595937, -8.9351963 52.8596895, -8.9350689 52.8597288, -8.9347308 52.8598332, -8.9343209 52.8599946)",R352,,yes,
25560158,True,1,secondary,False,20.604,50,"LINESTRING (-8.9384292 52.8592076, -8.938411 52.859161, -8.9384269 52.8591066, -8.9384703 52.8590667, -8.9385171 52.859047)",,Tulla Road West Roundabout,,roundabout
20042276,True,1,secondary,False,24.85,50,"LINESTRING (-8.9343209 52.8599946, -8.9341917 52.8601217, -8.9341319 52.8601867)",,,,
"[208681012, 25616229, 25616230, 25560156]",False,2,secondary,True,292.26399999999995,50,"LINESTRING (-8.9343209 52.8599946, -8.9347308 52.8598332, -8.9350689 52.8597288, -8.9351963 52.8596895, -8.9356106 52.8595937, -8.9356866 52.8595761, -8.9358666 52.8595467, -8.9361441 52.8595013, -8.9366458 52.8594403, -8.9377883 52.8593242, -8.9381563 52.8592743, -8.9382908 52.8592445, -8.9384292 52.8592076)",R352,,yes,
20042279,True,1,secondary,False,23.73,50,"LINESTRING (-8.9338739 52.860281, -8.9335243 52.8602495)",,,,
20042261,True,,secondary,False,14.094999999999999,50,"LINESTRING (-8.9338739 52.860281, -8.9338195 52.8602529, -8.9337891 52.8602155, -8.9337851 52.8601737)",,East Clare Roundabout,,roundabout
20042261,True,,secondary,False,20.775000000000002,50,"LINESTRING (-8.9337851 52.8601737, -8.9338087 52.860134, -8.9338622 52.8601007, -8.9339402 52.860084, -8.9340195 52.8600903)",,East Clare Roundabout,,roundabout
20042261,True,,secondary,False,13.821000000000002,50,"LINESTRING (-8.9340195 52.8600903, -8.9340805 52.8601141, -8.9341181 52.8601476, -8.9341319 52.8601867)",,East Clare Roundabout,,roundabout
20042277,True,1,secondary,False,23.451999999999998,50,"LINESTRING (-8.9340195 52.8600903, -8.9341351 52.8600786, -8.9343209 52.8599946)",,,,
20042261,True,,secondary,False,10.884999999999998,50,"LINESTRING (-8.9341319 52.8601867, -8.9341147 52.8602343, -8.934092 52.8602558, -8.9340637 52.8602722)",,East Clare Roundabout,,roundabout
20042281,True,1,secondary,False,19.432,50,"LINESTRING (-8.9335243 52.8602495, -8.9337851 52.8601737)",,,,
215248940,True,2,motorway,False,135.468,120,"LINESTRING (-8.9375727 52.8615023, -8.9372499 52.8602997)",M18,Ennis Bypass,,
25560164,True,1,motorway_link,False,65.03299999999999,,"LINESTRING (-8.9375727 52.8615023, -8.9374755 52.8613355, -8.9374516 52.8612795, -8.9374278 52.8612379, -8.9373763 52.8611757, -8.9372989 52.8611336, -8.9371957 52.8611087, -8.9371287 52.8610931, -8.937024 52.8610897)",,,,
25560158,True,1,secondary,False,15.813,50,"LINESTRING (-8.9386947 52.8590358, -8.9387607 52.8590594, -8.9388037 52.8590906, -8.938832 52.8591432)",,Tulla Road West Roundabout,,roundabout
25560158,True,1,secondary,False,20.007,50,"LINESTRING (-8.938832 52.8591432, -8.9388196 52.8592001, -8.9387723 52.8592449, -8.9386953 52.8592749, -8.9386743 52.859281)",,Tulla Road West Roundabout,,roundabout
"[25616232, 415664717]",False,2,secondary,False,275.90200000000004,50,"LINESTRING (-8.938832 52.8591432, -8.9396776 52.8590449, -8.9400266 52.8589955, -8.9403721 52.8589013, -8.9407253 52.8587985, -8.9409264 52.8587288, -8.9410968 52.8586697, -8.9411307 52.8586573, -8.941866 52.8583949, -8.9423324 52.8582282, -8.9425641 52.8581645)",R352,Tulla Road,,
25560158,True,1,secondary,False,19.642,50,"LINESTRING (-8.9386743 52.859281, -8.9385458 52.8592743, -8.9384902 52.8592551, -8.9384292 52.8592076)",,Tulla Road West Roundabout,,roundabout
"[208681014, 52201775]",False,,residential,False,160.836,,"LINESTRING (-8.9386743 52.859281, -8.938707 52.859415, -8.938664 52.8595109, -8.9385287 52.8595421, -8.9380337 52.8595632, -8.937889 52.8596185, -8.9378245 52.8596969, -8.9378158 52.8597605, -8.9378192 52.8598039, -8.9378722 52.8598494, -8.9379441 52.8598786, -8.9380338 52.8599009, -8.9381247 52.8599075, -8.9382285 52.8598825, -8.938406 52.8598193, -8.9385857 52.8597888)",,,,
25560158,True,1,secondary,False,12.408999999999999,50,"LINESTRING (-8.9385171 52.859047, -8.938536 52.859039, -8.9386226 52.859028, -8.9386947 52.8590358)",,Tulla Road West Roundabout,,roundabout
