osmid,ref,name,highway,oneway,reversed,length,access,geometry
24118521,CR C89,Glen Avenue,tertiary,False,False,134.022,,"LINESTRING (-73.641161 40.847977, -73.6426964 40.8476549)"
24118521,CR C89,Glen Avenue,tertiary,False,True,135.432,,"LINESTRING (-73.641161 40.847977, -73.63961 40.848304)"
24119577,,Carpenter Avenue,residential,False,False,126.256,,"LINESTRING (-73.641161 40.847977, -73.6407587 40.8468831)"
24119577,,Carpenter Avenue,residential,False,True,145.632,,"LINESTRING (-73.641161 40.847977, -73.641624 40.849239)"
24118521,CR C89,Glen Avenue,tertiary,False,False,60.791,,"LINESTRING (-73.6426964 40.8476549, -73.643394 40.847512)"
24118521,CR C89,Glen Avenue,tertiary,False,True,134.022,,"LINESTRING (-73.6426964 40.8476549, -73.641161 40.847977)"
24122191,,Main Avenue,residential,False,False,24.046,yes,"LINESTRING (-73.6426964 40.8476549, -73.6427572 40.8478662)"
24122191,,Main Avenue,residential,False,True,45.907,yes,"LINESTRING (-73.6426964 40.8476549, -73.6425803 40.8472515)"
24118521,CR C89,Glen Avenue,tertiary,False,False,137.423,,"LINESTRING (-73.643394 40.847512, -73.6449702 40.8471868)"
24118521,CR C89,Glen Avenue,tertiary,False,True,60.791,,"LINESTRING (-73.643394 40.847512, -73.6426964 40.8476549)"
24118521,CR C89,Glen Avenue,tertiary,False,False,73.103,,"LINESTRING (-73.6449702 40.8471868, -73.645806 40.8470066)"
24118521,CR C89,Glen Avenue,tertiary,False,True,137.423,,"LINESTRING (-73.6449702 40.8471868, -73.643394 40.847512)"
730975485,,Roslyn Avenue,residential,False,False,46.865,,"LINESTRING (-73.6449702 40.8471868, -73.644824 40.8467801)"
24119586,,16th Avenue,residential,True,False,185.122,,"LINESTRING (-73.6449702 40.8471868, -73.645078 40.847226, -73.64526 40.847241, -73.647154 40.847336)"
730975485,,Roslyn Avenue,residential,False,True,47.22,,"LINESTRING (-73.6449702 40.8471868, -73.645007 40.847295, -73.644975 40.847607)"
24118521,CR C89,Glen Avenue,tertiary,False,False,41.81,,"LINESTRING (-73.645806 40.8470066, -73.6462857 40.8469081)"
24118521,CR C89,Glen Avenue,tertiary,False,True,73.103,,"LINESTRING (-73.645806 40.8470066, -73.6449702 40.8471868)"
