osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry,lanes,ref
19535234,False,Pharr Avenue,residential,25 mph,designated,False,88.722,"LINESTRING (-88.5909444 35.1712463, -88.5916805 35.1717703)",,
19542964,False,North 2nd Street,residential,,,True,87.533,"LINESTRING (-88.5909444 35.1712463, -88.5915877 35.1706605)",,
"[19535234, 19539827]",False,"['Pharr Avenue', 'North Front Street']",residential,25 mph,designated,True,170.53,"LINESTRING (-88.5909444 35.1712463, -88.5903302 35.1707869, -88.5902859 35.1707266, -88.5902781 35.1706853, -88.590324 35.1706236, -88.5908907 35.1701413)",,
19535234,False,Pharr Avenue,residential,25 mph,designated,False,87.737,"LINESTRING (-88.5916805 35.1717703, -88.5923713 35.1723214)",,
19535234,False,Pharr Avenue,residential,25 mph,designated,True,88.722,"LINESTRING (-88.5916805 35.1717703, -88.5909444 35.1712463)",,
19544014,False,North 3rd Street,residential,,,True,83.511,"LINESTRING (-88.5916805 35.1717703, -88.5923203 35.1712313)",,
19535234,False,Pharr Avenue,residential,25 mph,designated,False,109.986,"LINESTRING (-88.5923713 35.1723214, -88.5932888 35.1729663)",,
19535234,False,Pharr Avenue,residential,25 mph,designated,True,87.737,"LINESTRING (-88.5923713 35.1723214, -88.5916805 35.1717703)",,
19544402,False,North 4th Street,residential,,,True,86.118,"LINESTRING (-88.5923713 35.1723214, -88.5929885 35.1717338)",,
19544402,False,North 4th Street,residential,,,False,171.87099999999998,"LINESTRING (-88.5923713 35.1723214, -88.5919623 35.1727178, -88.5919279 35.1727821, -88.5919904 35.1728692, -88.5922824 35.17307, -88.5926301 35.1733277, -88.5927768 35.1734342)",,
19535234,False,Pharr Avenue,residential,25 mph,designated,False,172.58,"LINESTRING (-88.5932888 35.1729663, -88.5946856 35.1740176)",,
19535234,False,Pharr Avenue,residential,25 mph,designated,True,109.986,"LINESTRING (-88.5932888 35.1729663, -88.5923713 35.1723214)",,
19542165,False,North 5th Street,residential,,,False,69.804,"LINESTRING (-88.5932888 35.1729663, -88.5927768 35.1734342)",,
19542165,False,North 5th Street,residential,,,True,82.913,"LINESTRING (-88.5932888 35.1729663, -88.5939078 35.1724186)",,
19535234,False,Pharr Avenue,residential,25 mph,designated,True,172.58,"LINESTRING (-88.5946856 35.1740176, -88.5932888 35.1729663)",,
19540267,False,North 6th Street,residential,25 mph,designated,True,84.599,"LINESTRING (-88.5946856 35.1740176, -88.5953058 35.1734503)",,
19535262,False,South 6th Street,residential,,,False,79.78,"LINESTRING (-88.5978199 35.1711408, -88.5972535 35.1716889)",,
19541661,False,Shirley Drive,residential,,,True,142.781,"LINESTRING (-88.5978199 35.1711408, -88.596651 35.170283)",,
19535262,False,South 6th Street,residential,,,False,80.063,"LINESTRING (-88.5972535 35.1716889, -88.5966574 35.172219)",,
19535262,False,South 6th Street,residential,,,True,79.78,"LINESTRING (-88.5972535 35.1716889, -88.5978199 35.1711408)",,
19541126,False,Cypress Avenue,residential,,,True,170.375,"LINESTRING (-88.5972535 35.1716889, -88.5958586 35.1706654)",,
19535262,False,South 6th Street,residential,,,False,92.357,"LINESTRING (-88.5966574 35.172219, -88.5959847 35.1728415)",,
19535262,False,South 6th Street,residential,,,True,80.063,"LINESTRING (-88.5966574 35.172219, -88.5972535 35.1716889)",,
19545749,False,Houston Avenue,residential,,,False,119.659,"LINESTRING (-88.5966574 35.172219, -88.5976358 35.172939)",,
