osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,tunnel,bridge,access,width,junction
8416391,Avenue du Maréchal Foch,residential,30,False,False,92.238,"LINESTRING (2.2141997 48.8468994, 2.2140039 48.8469474, 2.2135837 48.8470516, 2.2130199 48.8471915)",,,,,,,
22024572,Rue Alexandre Coutureau,living_street,20,False,True,73.952,"LINESTRING (2.2141997 48.8468994, 2.2143155 48.8468268, 2.2149539 48.8464568)",,,,,,,
752986370,Boulevard de la République,primary,50,False,True,171.404,"LINESTRING (2.2141997 48.8468994, 2.2141578 48.8467369, 2.2140683 48.8464847, 2.2139517 48.846245, 2.2138407 48.8460746, 2.2135741 48.8457103, 2.2134973 48.8456456, 2.2133157 48.8454926)",D 985,,,,,,
"[901525154, 316730984, 984828465, 984828466, 21740949]","['Rue Gounod', 'Rue Dailly']",primary,50,False,False,296.962,"LINESTRING (2.2151165 48.8431541, 2.2163697 48.843352, 2.2167135 48.8434234, 2.2168323 48.8434479, 2.2169492 48.8434778, 2.2172528 48.8435492, 2.2173248 48.8435952, 2.2173813 48.8436516, 2.2174085 48.843689, 2.2174185 48.8437265, 2.2174202 48.843777, 2.217388 48.8441871, 2.2173837 48.8442646, 2.2173873 48.8443383, 2.217413 48.844514, 2.2174226 48.8445876, 2.2174472 48.8447192)",D 907,"['3', '2']",,,,,
984828465,Rue Gounod,primary,50,False,True,87.548,"LINESTRING (2.2151165 48.8431541, 2.2150236 48.843141, 2.2148941 48.8431228, 2.2139358 48.8430287)",D 907,2,,,,,
132284631,Rue Dailly,primary,50,False,False,38.239000000000004,"LINESTRING (2.2175973 48.8453504, 2.2176838 48.8455422, 2.2177776 48.8456721)",D 907,,,,,,
132285579,Rue Dailly,primary,50,True,False,72.55499999999999,"LINESTRING (2.2175973 48.8453504, 2.2174829 48.8451517, 2.217424 48.8449066, 2.2174129 48.8448604, 2.2174056 48.8448215, 2.2174472 48.8447192)",D 907,1,,,,,
"[21771081, 297020437]",Rue Dailly,primary,50,True,False,76.965,"LINESTRING (2.2177776 48.8456721, 2.2180649 48.845798, 2.2184728 48.8458504, 2.2185228 48.8458568, 2.2187542 48.8458989)",D 907,"['3', '2']",,,,,
132284631,Rue Dailly,primary,50,False,True,38.239000000000004,"LINESTRING (2.2177776 48.8456721, 2.2176838 48.8455422, 2.2175973 48.8453504)",D 907,,,,,,
10860865,Avenue du Palais,primary_link,,True,False,137.01100000000002,"LINESTRING (2.221169 48.8414274, 2.2208538 48.8411764, 2.2206841 48.8410161, 2.2200666 48.8404325)",,3,,,,,
"[22063097, 72859508]",Quai Alphonse Le Gallo,primary_link,50,True,False,91.096,"LINESTRING (2.2243327 48.8397959, 2.2244974 48.840024, 2.2246893 48.8402809, 2.2249038 48.8405232)",,2,,,,,
"[386258680, 22062778, 386406797]","['Quai du Quatre Septembre', 'Quai Alphonse Le Gallo']",primary,50,True,False,346.241,"LINESTRING (2.2243327 48.8397959, 2.2244233 48.8400333, 2.2245869 48.8403083, 2.2251017 48.840917, 2.2253348 48.8414037, 2.2256667 48.8421843, 2.2258066 48.8427328)",D 1,2,yes,,,,
225322980,Avenue du Maréchal de Lattre de Tassigny,primary,50,True,False,14.985,"LINESTRING (2.2246795 48.8411956, 2.2248675 48.8411422)",D 907,2,,,,,
225322985,Quai du Quatre Septembre,primary_link,50,True,False,42.968,"LINESTRING (2.2246795 48.8411956, 2.2249483 48.8411879, 2.2252653 48.8411707)",,2,,,,,
22063097,Quai Alphonse Le Gallo,primary_link,50,True,False,52.341,"LINESTRING (2.2249038 48.8405232, 2.2252726 48.8409265)",,2,,,,,
"[178878629, 26757407]",Pont de Saint-Cloud,primary,50,True,False,154.834,"LINESTRING (2.2225781 48.8413545, 2.223333 48.8412869, 2.2238825 48.8412578, 2.2246795 48.8411956)",D 907,"['4', '3']",,yes,,,
"[21656084, 151091941, 151091958]",Quai Carnot,unclassified,,True,False,365.70099999999996,"LINESTRING (2.2217426 48.8403252, 2.2218869 48.8403724, 2.221997 48.8404395, 2.2220545 48.8405478, 2.2222057 48.8410732, 2.2224422 48.8417557, 2.2225564 48.8420608, 2.2227267 48.8425555, 2.2227776 48.8427764, 2.2228278 48.8430051, 2.2228437 48.8430412, 2.223022 48.8434455)",D 7,1,yes,,no,,
"[21657040, 21557116, 1132162917]",,primary_link,50,True,False,143.311,"LINESTRING (2.2217426 48.8403252, 2.2218287 48.8404518, 2.2218619 48.840529, 2.2219893 48.8410154, 2.2220347 48.8411636, 2.2220758 48.8412101, 2.2221042 48.8412278, 2.2221156 48.8412354, 2.2221326 48.8412462, 2.222149 48.8412551, 2.2222484 48.8412997, 2.2223423 48.8413266, 2.2224717 48.8413514, 2.2225781 48.8413545)",D 907,2,,,,,
21655767,Place Georges Clemenceau,primary,50,True,False,16.585,"LINESTRING (2.22191 48.8416245, 2.221709 48.8416934)",D 907,4,,,,,
178878626,Place Georges Clemenceau,primary_link,,True,False,28.439,"LINESTRING (2.22191 48.8416245, 2.2215665 48.8415049)",D 7,2,,,,,
