osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,ref
21147149,2,residential,30 mph,False,False,57.935,,"LINESTRING (-100.3178803 32.0897192, -100.3173581 32.0899944)",
21161271,2,residential,30 mph,False,False,108.195,North Alto Avenue,"LINESTRING (-100.3178803 32.0897192, -100.3184762 32.090551)",
21161271,2,residential,30 mph,False,True,110.823,North Alto Avenue,"LINESTRING (-100.3178803 32.0897192, -100.3172446 32.0888806)",
21161348,2,residential,30 mph,False,True,108.27,Colorado Street,"LINESTRING (-100.3178803 32.0897192, -100.3188501 32.0891967)",
21147149,2,residential,30 mph,False,True,57.935,,"LINESTRING (-100.3173581 32.0899944, -100.3178803 32.0897192)",
21158501,2,residential,30 mph,False,True,109.969,Radford Street,"LINESTRING (-100.3163566 32.0892324, -100.3151897 32.0892061)",
21158547,2,residential,30 mph,False,False,104.34,West Avenue,"LINESTRING (-100.3163566 32.0892324, -100.3163764 32.0901706)",
21161515,2,residential,30 mph,False,True,93.804,Brazos Street,"LINESTRING (-100.3163566 32.0892324, -100.3165775 32.0892124, -100.3172446 32.0888806)",
21157640,2,residential,30 mph,False,False,108.017,,"LINESTRING (-100.3236829 32.086538, -100.3227269 32.0870743)",
21161709,2,residential,30 mph,False,True,106.424,Plano Avenue,"LINESTRING (-100.3236829 32.086538, -100.3230594 32.0857399)",
21157640,2,residential,30 mph,False,True,108.017,,"LINESTRING (-100.3227269 32.0870743, -100.3236829 32.086538)",
21158398,2,residential,30 mph,False,False,110.847,West Railroad Avenue,"LINESTRING (-100.3227269 32.0870743, -100.3220902 32.086236)",
21158398,2,residential,30 mph,False,False,114.077,West Railroad Avenue,"LINESTRING (-100.3220902 32.086236, -100.3214619 32.085359)",
21158398,2,residential,30 mph,False,True,110.847,West Railroad Avenue,"LINESTRING (-100.3220902 32.086236, -100.3227269 32.0870743)",
21161518,2,residential,30 mph,False,False,106.679,Brazos Street,"LINESTRING (-100.3220902 32.086236, -100.3230594 32.0857399)",
21158398,2,residential,30 mph,False,True,114.077,West Railroad Avenue,"LINESTRING (-100.3214619 32.085359, -100.3220902 32.086236)",
21159006,,secondary,,False,False,108.601,Main Street,"LINESTRING (-100.3214619 32.085359, -100.3204961 32.0858922)",FM 1170
21159006,,secondary,,False,True,104.271,Main Street,"LINESTRING (-100.3214619 32.085359, -100.3224 32.0848614)",FM 1170
21158398,2,residential,30 mph,False,False,115.481,West Railroad Avenue,"LINESTRING (-100.3214619 32.085359, -100.321123 32.0849108, -100.3207998 32.084485)",
21158398,2,residential,30 mph,False,False,107.94,West Railroad Avenue,"LINESTRING (-100.3207998 32.084485, -100.3202209 32.0836473)",
21161737,2,residential,30 mph,False,True,104.456,Nueces Street,"LINESTRING (-100.3207998 32.084485, -100.3217544 32.0840072)",
21158398,2,residential,30 mph,False,True,115.481,West Railroad Avenue,"LINESTRING (-100.3207998 32.084485, -100.321123 32.0849108, -100.3214619 32.085359)",
21161737,2,residential,30 mph,False,False,107.50200000000001,Nueces Street,"LINESTRING (-100.3207998 32.084485, -100.3204437 32.0847041, -100.3198507 32.0850208)",
21158398,2,residential,30 mph,False,True,107.94,West Railroad Avenue,"LINESTRING (-100.3202209 32.0836473, -100.3207998 32.084485)",
21161636,2,residential,30 mph,False,True,100.0,Guadalupe Street,"LINESTRING (-100.3202209 32.0836473, -100.3211161 32.0831641)",
21158501,2,residential,30 mph,False,False,79.301,Radford Street,"LINESTRING (-100.314348 32.0891963, -100.3151897 32.0892061)",
21159006,,secondary,,False,False,40.808,Main Street,"LINESTRING (-100.314348 32.0891963, -100.3140057 32.0894212)",FM 1170
