osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,junction
12657325,2,Richard Street,residential,20 mph,False,False,105.676,,"LINESTRING (-90.0559 29.916322, -90.055267 29.915546)",,
12657325,2,Richard Street,residential,20 mph,False,True,103.205,,"LINESTRING (-90.0559 29.916322, -90.056503 29.917089)",,
12659000,2,8th Street,residential,20 mph,False,False,82.912,,"LINESTRING (-90.0559 29.916322, -90.056602 29.915891)",,
12659000,2,8th Street,residential,20 mph,False,True,95.234,,"LINESTRING (-90.0559 29.916322, -90.055084 29.916805)",,
12651797,2,Evergreen Drive,residential,20 mph,False,False,79.359,,"LINESTRING (-90.055084 29.916805, -90.055549 29.917394)",,
12651797,2,Evergreen Drive,residential,20 mph,False,True,23.662,,"LINESTRING (-90.055084 29.916805, -90.054946 29.916629)",,
12659000,2,8th Street,residential,20 mph,False,False,95.234,,"LINESTRING (-90.055084 29.916805, -90.0559 29.916322)",,
183526239,3,Westbank Expressway,secondary,,True,False,49.361000000000004,LA 23,"LINESTRING (-90.05352 29.910955, -90.0532529 29.911118, -90.053207 29.911146, -90.0531 29.911209)",,
183526299,,,secondary_link,,True,False,109.43799999999999,,"LINESTRING (-90.05352 29.910955, -90.0534432 29.9111087, -90.0534315 29.9112252, -90.0534899 29.911421, -90.0535795 29.9115239, -90.0536944 29.9115729, -90.0538541 29.9116067, -90.0539869 29.9116055)",,
12665114,2,11th Street,residential,20 mph,False,False,82.723,,"LINESTRING (-90.054862 29.913528, -90.055572 29.91311)",,
12665114,2,11th Street,residential,20 mph,False,True,18.408,,"LINESTRING (-90.054862 29.913528, -90.054704 29.913621)",,
751792813,,Governor Hall Street,residential,,False,True,105.099,,"LINESTRING (-90.054862 29.913528, -90.055496 29.914297)",,
183526239,3,Westbank Expressway,secondary,,True,False,147.978,LA 23,"LINESTRING (-90.052749 29.911436, -90.052398 29.911657, -90.0523664 29.9116793, -90.0522209 29.9117821, -90.0519836 29.9119496, -90.051544 29.91226)",,
"[12651376, 24052630]",,,motorway_link,,True,False,399.779,,"LINESTRING (-90.0522956 29.9123392, -90.0552513 29.910807, -90.0558755 29.9105251)",yes,
52870613,,Lafayette Street,secondary,,False,True,104.535,LA 18,"LINESTRING (-90.057296 29.910932, -90.057891 29.911718)",,
12662449,,12th Street,residential,,False,True,156.007,,"LINESTRING (-90.057296 29.910932, -90.0566939 29.9112772, -90.0564792 29.9114003, -90.0564114 29.9114392, -90.055946 29.911706)",,
12651797,2,Evergreen Drive,residential,20 mph,False,False,68.23400000000001,,"LINESTRING (-90.051544 29.91226, -90.0515975 29.9123265, -90.051651 29.912393, -90.051956 29.912759)",,
183526239,3,Westbank Expressway,secondary,,True,False,51.698,LA 23,"LINESTRING (-90.051544 29.91226, -90.051292 29.912418, -90.051109 29.912532)",,
12663815,2,Holly Drive,residential,20 mph,False,True,108.213,,"LINESTRING (-90.052619 29.916851, -90.05326 29.91765)",,
12664150,2,Huber Street,residential,20 mph,False,False,97.959,,"LINESTRING (-90.052619 29.916851, -90.053459 29.916355)",,
