osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,maxspeed,bridge
24113864,Cedar Drive,residential,False,False,15.167,,"LINESTRING (-73.472018 40.7264764, -73.4719858 40.7263422)",,,
1033609724,Hempstead Turnpike,primary,True,False,28.193,NY 24,"LINESTRING (-73.472018 40.7264764, -73.4721323 40.7264579, -73.4723452 40.7264235)",,,
24113864,Cedar Drive,residential,False,True,15.167,,"LINESTRING (-73.4719858 40.7263422, -73.472018 40.7264764)",,,
24119421,Cedar Drive,residential,False,False,27.230999999999998,,"LINESTRING (-73.4719858 40.7263422, -73.4719725 40.7262854, -73.4719292 40.7261011)",,,
139306105,Hempstead Turnpike,primary,True,False,78.048,NY 24,"LINESTRING (-73.4719858 40.7263422, -73.4717645 40.7263952, -73.4714162 40.7264678, -73.4710972 40.7265399)",3,40 mph,
1100811452,Seaford-Oyster Bay Expressway,motorway,True,False,211.208,NY 135,"LINESTRING (-73.4751991 40.7239518, -73.4750167 40.7258462)",3,,
24114172,,motorway_link,True,False,315.70599999999996,,"LINESTRING (-73.4751991 40.7239518, -73.4750542 40.724399, -73.474978 40.724523, -73.474844 40.724643, -73.474699 40.724739, -73.474119 40.725049, -73.473902 40.725185, -73.473789 40.7253, -73.4736487 40.7255129, -73.4735897 40.725647, -73.4735575 40.7257527, -73.4735415 40.7258706, -73.47352 40.7259641, -73.473461 40.7260333, -73.4733955 40.7260798, -73.4733752 40.7260942, -73.4731659 40.7261593)",1,,
139306105,Hempstead Turnpike,primary,True,False,101.577,NY 24,"LINESTRING (-73.4731659 40.7261593, -73.4729085 40.7261877, -73.472592 40.7262325, -73.4723023 40.7262812, -73.472074 40.7263252, -73.4719858 40.7263422)",3,40 mph,
24136258,Hempstead Turnpike,primary,True,False,75.247,NY 24,"LINESTRING (-73.4755638 40.7259072, -73.4746787 40.7259967)",,,
139306105,Hempstead Turnpike,primary,True,False,128.756,NY 24,"LINESTRING (-73.4746787 40.7259967, -73.4731659 40.7261593)",3,40 mph,
24114962,,motorway_link,True,False,281.98999999999995,,"LINESTRING (-73.4746787 40.7259967, -73.4743086 40.725956, -73.4741315 40.7259072, -73.4739974 40.72583, -73.4738901 40.7257324, -73.4738365 40.7256186, -73.473831 40.725481, -73.47386 40.725383, -73.473919 40.725301, -73.474024 40.725211, -73.474162 40.725148, -73.474277 40.725124, -73.474436 40.725114, -73.4745714 40.7251267, -73.474727 40.7251836, -73.4748289 40.7252649, -73.4748987 40.7253706, -73.4749416 40.7254844, -73.4750167 40.7258462)",1,,
87238809,Seaford-Oyster Bay Expressway,motorway,True,False,49.542,NY 135,"LINESTRING (-73.4750167 40.7258462, -73.4749805 40.7262909)",4,,yes
139306129,Hempstead Turnpike,primary,True,False,145.999,NY 24,"LINESTRING (-73.4754565 40.7260658, -73.4771759 40.7259043)",,,
