osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,name,lanes,bridge
59509028,True,MN 33,trunk,35 mph,False,70.614,"LINESTRING (-92.4630248 46.717237, -92.4629251 46.7174315, -92.4627257 46.7177444, -92.4626746 46.7178245)",,,
170129358,True,,trunk_link,,False,96.225,"LINESTRING (-92.4630248 46.717237, -92.4628577 46.7173623, -92.4626981 46.7174627, -92.4625747 46.7175232, -92.4624617 46.7175657, -92.4623294 46.7176033, -92.4621794 46.7176351, -92.4619699 46.7176743)",,,
18022471,False,,residential,,False,314.53999999999996,"LINESTRING (-92.4631723 46.7179936, -92.4629879 46.7183344, -92.4629437 46.7185733, -92.4630066 46.7187689, -92.4632053 46.7189611, -92.4635019 46.7190726, -92.4636203 46.7191172, -92.4643627 46.719169, -92.4649516 46.7192841, -92.4656691 46.7194883)",Pinehurst Park Drive,,
879892944,False,,tertiary,,False,29.737000000000002,"LINESTRING (-92.4631723 46.7179936, -92.4629129 46.7179043, -92.4628237 46.7178736)",Carlton Avenue,,
18026310,False,,residential,,False,56.571,"LINESTRING (-92.4656691 46.7194883, -92.4649629 46.7196446)",Park Avenue,,
18026310,False,,residential,,True,72.296,"LINESTRING (-92.4656691 46.7194883, -92.4665688 46.7192827)",Park Avenue,,
18022471,False,,residential,,True,314.53999999999996,"LINESTRING (-92.4656691 46.7194883, -92.4649516 46.7192841, -92.4643627 46.719169, -92.4636203 46.7191172, -92.4635019 46.7190726, -92.4632053 46.7189611, -92.4630066 46.7187689, -92.4629437 46.7185733, -92.4629879 46.7183344, -92.4631723 46.7179936)",Pinehurst Park Drive,,
306883148,False,,tertiary,,False,88.987,"LINESTRING (-92.4633873 46.7224097, -92.4622736 46.7226496)",Avenue C,2,
306883148,False,,tertiary,,True,69.694,"LINESTRING (-92.4633873 46.7224097, -92.4642676 46.7222404)",Avenue C,2,
18023626,False,,residential,,False,73.47,"LINESTRING (-92.4633873 46.7224097, -92.4633915 46.7227048, -92.4633968 46.7230704)",Vine Street,2,
18023627,False,,residential,,False,84.654,"LINESTRING (-92.4633968 46.7230704, -92.4622869 46.7230965)",Vine Street,2,
18023626,False,,residential,,True,73.47,"LINESTRING (-92.4633968 46.7230704, -92.4633915 46.7227048, -92.4633873 46.7224097)",Vine Street,2,
18025968,False,,residential,,True,93.55,"LINESTRING (-92.4633968 46.7230704, -92.4639951 46.7230527, -92.4645068 46.7230375, -92.4646107 46.7230018)",Avenue B,2,
18023627,False,,residential,,True,84.654,"LINESTRING (-92.4622869 46.7230965, -92.4633968 46.7230704)",Vine Street,2,
306883150,False,,tertiary,,False,32.028,"LINESTRING (-92.4622869 46.7230965, -92.4622936 46.7233845)",Broadway Street,2,
306883150,False,,tertiary,,True,49.703,"LINESTRING (-92.4622869 46.7230965, -92.4622736 46.7226496)",Broadway Street,2,
18024229,False,,residential,,False,86.699,"LINESTRING (-92.4675585 46.7215333, -92.46788 46.7222812)",Chestnut Street,,
18024229,False,,residential,,True,81.461,"LINESTRING (-92.4675585 46.7215333, -92.46724 46.720834)",Chestnut Street,,
18025975,False,,residential,,False,129.023,"LINESTRING (-92.4675585 46.7215333, -92.4659449 46.7218836)",Avenue C,2,
879892944,False,,tertiary,,False,108.926,"LINESTRING (-92.4590259 46.7176717, -92.4575973 46.7176893)",Carlton Avenue,,
879892944,False,,tertiary,,True,31.866,"LINESTRING (-92.4590259 46.7176717, -92.4594439 46.7176712)",Carlton Avenue,,
879892944,False,,tertiary,,False,31.866,"LINESTRING (-92.4594439 46.7176712, -92.4590259 46.7176717)",Carlton Avenue,,
879892944,False,,tertiary,,True,65.021,"LINESTRING (-92.4594439 46.7176712, -92.4602965 46.7176557)",Carlton Avenue,,
18024165,False,,residential,,False,104.276,"LINESTRING (-92.4594439 46.7176712, -92.4594418 46.7177832, -92.4594267 46.7186089)",4th Street,2,
18024165,False,,residential,,False,110.457,"LINESTRING (-92.4594267 46.7186089, -92.4594104 46.7196022)",4th Street,2,
18026025,False,,residential,,False,63.967,"LINESTRING (-92.4594267 46.7186089, -92.4602652 46.7185872)",Avenue G,,
18024165,False,,residential,,True,104.276,"LINESTRING (-92.4594267 46.7186089, -92.4594418 46.7177832, -92.4594439 46.7176712)",4th Street,2,
"[18026025, 18026220]",False,,residential,,"[False, True]",181.257,"LINESTRING (-92.4594267 46.7186089, -92.4585221 46.7186089, -92.4584862 46.7196185)","['Avenue G', '5th Street']",,
18024165,False,,residential,,True,110.457,"LINESTRING (-92.4594104 46.7196022, -92.4594267 46.7186089)",4th Street,2,
18025990,False,,residential,,True,70.477,"LINESTRING (-92.4594104 46.7196022, -92.4584862 46.7196185)",Avenue F,,
18024165,False,,residential,,False,231.461,"LINESTRING (-92.4594104 46.7196022, -92.4593784 46.7212893, -92.4593709 46.7216836)",4th Street,2,
18024165,False,,residential,,True,18.061,"LINESTRING (-92.459375 46.721846, -92.4593709 46.7216836)",4th Street,2,
218668416,True,CR 45,tertiary,,False,68.887,"LINESTRING (-92.459375 46.721846, -92.4602786 46.7218371)",Cloquet Avenue,2,
18024229,False,,residential,,False,173.171,"LINESTRING (-92.4665487 46.7177254, -92.4665688 46.7192827)",Chestnut Street,,
18026377,False,,residential,,False,101.771,"LINESTRING (-92.4665487 46.7177254, -92.4678835 46.7177402)",Carlton Avenue West,,
18024229,False,,residential,,False,80.329,"LINESTRING (-92.4665688 46.7192827, -92.4668689 46.7199752)",Chestnut Street,,
