osmid,highway,oneway,reversed,length,name,geometry,maxspeed,access,tunnel
12709279,residential,False,False,106.271,,"LINESTRING (-94.206746 36.3755282, -94.205559 36.3755236)",,,
"[947036328, 12742474, 12746758]",residential,False,"[False, True]",520.5,"['Northeast C Street', 'Northeast B Street', 'Northeast 5th Street']","LINESTRING (-94.206746 36.3755282, -94.2067152 36.376083, -94.2066283 36.3772727, -94.2066124 36.3774772, -94.2064413 36.3774744, -94.2058556 36.3774649, -94.2056636 36.3774381, -94.2055688 36.377378, -94.2055106 36.377273, -94.20554 36.377001, -94.205559 36.3755236)",,,
947036328,residential,False,True,53.22,Northeast B Street,"LINESTRING (-94.206746 36.3755282, -94.2067507 36.3750496)",,,
12709279,residential,False,True,106.271,,"LINESTRING (-94.205559 36.3755236, -94.206746 36.3755282)",,,
"[947036328, 12742474, 12746758]",residential,False,"[False, True]",520.5,"['Northeast C Street', 'Northeast B Street', 'Northeast 5th Street']","LINESTRING (-94.205559 36.3755236, -94.20554 36.377001, -94.2055106 36.377273, -94.2055688 36.377378, -94.2056636 36.3774381, -94.2058556 36.3774649, -94.2064413 36.3774744, -94.2066124 36.3774772, -94.2066283 36.3772727, -94.2067152 36.376083, -94.206746 36.3755282)",,,
12742474,residential,False,True,55.006,Northeast C Street,"LINESTRING (-94.205559 36.3755236, -94.2055887 36.3750295)",,,
12709279,residential,False,False,42.027,,"LINESTRING (-94.205559 36.3755236, -94.2052826 36.3755356, -94.2050909 36.3755205)",,,
12724371,tertiary,False,True,51.724,Southeast 2nd Street,"LINESTRING (-94.2062862 36.3714434, -94.2068639 36.3714415)",,,
832354486,residential,False,False,150.327,Southeast 2nd Street,"LINESTRING (-94.2062862 36.3714434, -94.2050328 36.3714609, -94.2047175 36.3714636, -94.2046074 36.3714643)",,,
1006580130,residential,False,False,113.708,Southeast B Street,"LINESTRING (-94.2062862 36.3714434, -94.2062861 36.371381, -94.2063031 36.3704209)",,,
1006580130,residential,False,False,95.946,Southeast B Street,"LINESTRING (-94.2063031 36.3704209, -94.2063753 36.36956)",,,
1006580130,residential,False,True,113.708,Southeast B Street,"LINESTRING (-94.2063031 36.3704209, -94.2062861 36.371381, -94.2062862 36.3714434)",,,
12713611,residential,False,False,128.986,Southeast B Street,"LINESTRING (-94.2063753 36.36956, -94.206435 36.368401)",,,
12722841,residential,False,True,112.973,Southeast 3rd Street,"LINESTRING (-94.2063753 36.36956, -94.207637 36.369571)",25 mph,,
1006580130,residential,False,True,95.946,Southeast B Street,"LINESTRING (-94.2063753 36.36956, -94.2063031 36.3704209)",,,
