osmid,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,width
"[394892689, 394891522]",B865,Millburn Roundabout,secondary,30 mph,roundabout,True,False,16.477,"LINESTRING (-4.2004231 57.4823208, -4.2005158 57.482265, -4.2006376 57.4822319)",,
130093529,B865,,secondary,30 mph,,True,False,56.239,"LINESTRING (-4.2003837 57.4824783, -4.2002111 57.4824384, -4.200077 57.4824153, -4.1998066 57.482385, -4.1994766 57.4823511)",2,
394891523,B865,Millburn Roundabout,secondary,30 mph,roundabout,True,False,18.045,"LINESTRING (-4.2003837 57.4824783, -4.2003722 57.4824012, -4.2004231 57.4823208)",,
"[33911298, 33911299, 8142949]",,Harbour Road,tertiary,30 mph,,False,True,288.634,"LINESTRING (-4.2007219 57.482624, -4.200712 57.4827266, -4.200694 57.4827665, -4.2005905 57.4829295, -4.2005314 57.4830299, -4.2004275 57.4831536, -4.2003233 57.4832638, -4.2002944 57.4833278, -4.2002815 57.4833944, -4.2002824 57.4834888, -4.2003076 57.4835692, -4.2003882 57.4836817, -4.2005147 57.4838209, -4.2006944 57.4839838, -4.200942 57.4841474, -4.2011491 57.4842536, -4.2013859 57.4843526, -4.2016321 57.4844343, -4.2018263 57.4844833, -4.20211 57.4845514, -4.2024281 57.4845993)",2,
145566959,B865,Millburn Roundabout,secondary,30 mph,roundabout,True,False,27.522000000000002,"LINESTRING (-4.2007219 57.482624, -4.2005866 57.482606, -4.2004798 57.4825661, -4.200411 57.4825156, -4.2003837 57.4824783)",,
394891522,B865,Millburn Roundabout,secondary,30 mph,roundabout,True,False,14.154,"LINESTRING (-4.2009209 57.4822483, -4.2010046 57.4822818, -4.2010806 57.4823401)",,
145566959,B865,Millburn Roundabout,secondary,30 mph,roundabout,True,False,17.347,"LINESTRING (-4.2009906 57.4825734, -4.2008544 57.482615, -4.2007219 57.482624)",,
44168085,B9006,Old Perth Road,secondary,30 mph,,True,False,19.583,"LINESTRING (-4.2006376 57.4822319, -4.2007329 57.4820634)",,
394891522,B865,Millburn Roundabout,secondary,30 mph,roundabout,True,False,17.363,"LINESTRING (-4.2006376 57.4822319, -4.2007666 57.4822242, -4.2009209 57.4822483)",,
4475925,,,secondary_link,30 mph,,False,True,10.48,"LINESTRING (-4.211348 57.4822047, -4.2113219 57.4821115)",,
102222053,B865,Millburn Road,secondary,30 mph,,True,False,256.898,"LINESTRING (-4.211348 57.4822047, -4.2104207 57.4822742, -4.2094015 57.4823507, -4.2070871 57.4825064)",2,
4475925,,,secondary_link,30 mph,,False,False,10.48,"LINESTRING (-4.2113219 57.4821115, -4.211348 57.4822047)",,
4475926,,Victoria Drive,unclassified,30 mph,,False,True,289.26200000000006,"LINESTRING (-4.2113219 57.4821115, -4.2112813 57.4820613, -4.2111295 57.4818737, -4.2110088 57.4816759, -4.210908 57.4814118, -4.211034 57.4810258, -4.2113111 57.4806669, -4.2114279 57.4806095, -4.2117933 57.4804566, -4.212502 57.4801575, -4.2129562 57.4800534)",2,
8142949,,Harbour Road,tertiary,30 mph,,False,False,209.67399999999998,"LINESTRING (-4.2100319 57.4846441, -4.2094227 57.4846441, -4.2090767 57.4846442, -4.2087886 57.4846442, -4.2082049 57.4846442, -4.207662 57.4846443, -4.2066826 57.4846444, -4.2065239 57.4846444)",2,
8142949,,Harbour Road,tertiary,30 mph,,False,True,100.963,"LINESTRING (-4.2100319 57.4846441, -4.2101228 57.4846442, -4.2105456 57.4846446, -4.2108397 57.4846449, -4.2111302 57.4846453, -4.2117211 57.4846459)",2,
"[33911298, 33911299, 8142949]",,Harbour Road,tertiary,30 mph,,False,False,288.634,"LINESTRING (-4.2024281 57.4845993, -4.20211 57.4845514, -4.2018263 57.4844833, -4.2016321 57.4844343, -4.2013859 57.4843526, -4.2011491 57.4842536, -4.200942 57.4841474, -4.2006944 57.4839838, -4.2005147 57.4838209, -4.2003882 57.4836817, -4.2003076 57.4835692, -4.2002824 57.4834888, -4.2002815 57.4833944, -4.2002944 57.4833278, -4.2003233 57.4832638, -4.2004275 57.4831536, -4.2005314 57.4830299, -4.2005905 57.4829295, -4.200694 57.4827665, -4.200712 57.4827266, -4.2007219 57.482624)",2,
8142949,,Harbour Road,tertiary,30 mph,,False,True,245.07700000000003,"LINESTRING (-4.2024281 57.4845993, -4.2027371 57.4846253, -4.2030694 57.4846366, -4.2039347 57.4846335, -4.2043223 57.4846351, -4.2048772 57.4846375, -4.2058009 57.4846414, -4.2065239 57.4846444)",2,
26796341,,,unclassified,30 mph,,False,False,85.303,"LINESTRING (-4.2024281 57.4845993, -4.2025729 57.4844116, -4.2029749 57.4838907)",2,7.3
25842700,,Crown Drive,residential,30 mph,,False,True,78.609,"LINESTRING (-4.2135373 57.4796616, -4.2146325 57.4800529)",2,
