osmid,oneway,lanes,highway,reversed,length,ref,name,geometry,bridge,maxspeed
39576650,True,1,motorway_link,False,13.881,,,"LINESTRING (-88.0446563 44.6354138, -88.0447056 44.6355336)",,
384433203,True,,tertiary,False,19.157,CTH B,Sunset Beach Road,"LINESTRING (-88.0446563 44.6354138, -88.0445812 44.6354227, -88.0444202 44.6354514)",,
243753602,False,,residential,False,168.319,,Riverside Drive,"LINESTRING (-88.040967 44.630752, -88.039728 44.6315205, -88.039486 44.6315851, -88.0393486 44.6315946, -88.039262 44.6316006)",,
269136095,False,,tertiary,False,190.80399999999997,CTH B,Sunset Beach Road,"LINESTRING (-88.040341 44.6363482, -88.0395683 44.6363882, -88.0379359 44.6364726)",,
269136095,False,,tertiary,True,250.87300000000002,CTH B,Sunset Beach Road,"LINESTRING (-88.040341 44.6363482, -88.041106 44.6362629, -88.041752 44.6361515, -88.0420388 44.6360822, -88.0423077 44.6360172, -88.042528 44.6359639, -88.0433874 44.6357467)",,
"[21438385, 243294621, 243294622]",False,,tertiary,False,284.606,CTH J,County Road J,"LINESTRING (-88.03437 44.6335232, -88.0343528 44.6335696, -88.034308 44.6336909, -88.03431 44.6345761, -88.034314 44.6351125, -88.034311 44.636077)",yes,
92189171,False,,tertiary,True,205.85,CTH J,Riverside Drive,"LINESTRING (-88.03437 44.6335232, -88.0345699 44.6333959, -88.0351141 44.6332477, -88.0358389 44.6330503, -88.036749 44.6328025)",,
"[21438385, 243294621, 243294622]",False,,tertiary,True,284.60600000000005,CTH J,County Road J,"LINESTRING (-88.034311 44.636077, -88.034314 44.6351125, -88.03431 44.6345761, -88.034308 44.6336909, -88.0343528 44.6335696, -88.03437 44.6335232)",yes,
269136095,False,,tertiary,True,292.505,CTH B,Sunset Beach Road,"LINESTRING (-88.034311 44.636077, -88.035356 44.636306, -88.0358493 44.636381, -88.036152 44.636427, -88.036708 44.6364778, -88.0372709 44.6364921, -88.0376744 44.6364803, -88.0379359 44.6364726)",,
21439363,False,2,tertiary,False,448.355,CTH J,Lakeview Drive,"LINESTRING (-88.039187 44.6275688, -88.0392493 44.6309172, -88.039262 44.6316006)",,35 mph
21439363,False,2,tertiary,True,448.355,CTH J,Lakeview Drive,"LINESTRING (-88.039262 44.6316006, -88.0392493 44.6309172, -88.039187 44.6275688)",,35 mph
92189171,False,,tertiary,False,258.03,CTH J,Riverside Drive,"LINESTRING (-88.039262 44.6316006, -88.0392507 44.6316833, -88.0392245 44.6318753, -88.039068 44.6320738, -88.0388011 44.6322387, -88.036749 44.6328025)",,
243753602,False,,residential,True,168.319,,Riverside Drive,"LINESTRING (-88.039262 44.6316006, -88.0393486 44.6315946, -88.039486 44.6315851, -88.039728 44.6315205, -88.040967 44.630752)",,
21440629,False,,residential,False,109.44099999999999,,Haley Court,"LINESTRING (-88.0367164 44.6312326, -88.0360476 44.6312442, -88.0358437 44.6312464, -88.0355365 44.6312547, -88.0354688 44.6312814, -88.0353593 44.6313247)",,
21444251,False,2,residential,False,174.584,,Maple Grove,"LINESTRING (-88.0367164 44.6312326, -88.03672 44.6313738, -88.0367323 44.6319787, -88.036749 44.6328025)",,25 mph
269136095,False,,tertiary,False,250.87300000000002,CTH B,Sunset Beach Road,"LINESTRING (-88.0433874 44.6357467, -88.042528 44.6359639, -88.0423077 44.6360172, -88.0420388 44.6360822, -88.041752 44.6361515, -88.041106 44.6362629, -88.040341 44.6363482)",,
384433196,True,,tertiary,False,107.105,CTH B,Sunset Beach Road,"LINESTRING (-88.0433874 44.6357467, -88.0436255 44.6357277, -88.044353 44.6355991, -88.044623 44.635549, -88.0447056 44.6355336)",,
269136095,False,,tertiary,False,292.505,CTH B,Sunset Beach Road,"LINESTRING (-88.0379359 44.6364726, -88.0376744 44.6364803, -88.0372709 44.6364921, -88.036708 44.6364778, -88.036152 44.636427, -88.0358493 44.636381, -88.035356 44.636306, -88.034311 44.636077)",,
269136095,False,,tertiary,True,190.80399999999997,CTH B,Sunset Beach Road,"LINESTRING (-88.0379359 44.6364726, -88.0395683 44.6363882, -88.040341 44.6363482)",,
