osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge,junction,ref
17326917,3,South Stanton Street,tertiary,False,True,101.302,"LINESTRING (-106.485344 31.756743, -106.4856186 31.7576236)",,,
17313927,,East 1st Avenue,residential,False,False,100.808,"LINESTRING (-106.485344 31.756743, -106.4848384 31.7568538, -106.484351 31.7569652, -106.484313 31.756974)",,,
17326917,3,South Stanton Street,tertiary,False,False,97.839,"LINESTRING (-106.485344 31.756743, -106.4851062 31.7559831, -106.4850779 31.7558927)",,,
17313927,,East 1st Avenue,residential,False,False,100.949,"LINESTRING (-106.484313 31.756974, -106.483282 31.75721)",,,
17313927,,East 1st Avenue,residential,False,True,100.808,"LINESTRING (-106.484313 31.756974, -106.484351 31.7569652, -106.4848384 31.7568538, -106.485344 31.756743)",,,
17338838,,South Kansas Street,secondary,True,False,96.184,"LINESTRING (-106.484313 31.756974, -106.4840849 31.7562289, -106.4840567 31.7561369)",,,
17313927,,East 1st Avenue,residential,False,True,100.949,"LINESTRING (-106.483282 31.75721, -106.484313 31.756974)",,,
703512637,,South Campbell Street,secondary,True,False,104.348,"LINESTRING (-106.483282 31.75721, -106.4835652 31.758117)",,,
"[105569770, 703445786, 703445788]",,Durango Street,tertiary,False,"[False, True]",228.511,"LINESTRING (-106.4934883 31.7585242, -106.4934656 31.7584236, -106.4934523 31.7583627, -106.4932632 31.7575332, -106.4930383 31.7565051)",yes,,
703512636,,East San Antonio Avenue,tertiary,False,True,62.315,"LINESTRING (-106.483106 31.759167, -106.483391 31.759102, -106.48374 31.759014)",,,
333638047,,East San Antonio Avenue,tertiary,False,True,108.518,"LINESTRING (-106.48374 31.759014, -106.484329 31.758856, -106.484841 31.758739)",,,
703512636,,East San Antonio Avenue,tertiary,False,False,62.315,"LINESTRING (-106.48374 31.759014, -106.483391 31.759102, -106.483106 31.759167)",,,
17338838,,South Kansas Street,secondary,True,False,100.975,"LINESTRING (-106.484841 31.758739, -106.484834 31.758673, -106.484762 31.758398, -106.4846981 31.7581945, -106.4846441 31.7580226, -106.4845924 31.7578568)",,,
333638047,,East San Antonio Avenue,tertiary,False,False,108.518,"LINESTRING (-106.484841 31.758739, -106.484329 31.758856, -106.48374 31.759014)",,,
