osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed
39606271,Temple Street,primary,True,False,121.06099999999999,"LINESTRING (-72.9238178 41.3109924, -72.9238624 41.3109352, -72.9241595 41.3105224, -72.9244777 41.310083, -72.9245129 41.3100371)",3,,
658342131,Grove Street,primary,True,False,64.407,"LINESTRING (-72.9238178 41.3109924, -72.9238872 41.311023, -72.9244114 41.3112409, -72.9244915 41.3112742)",2,,
658342131,Grove Street,primary,True,False,104.01100000000001,"LINESTRING (-72.9244915 41.3112742, -72.9249562 41.3114707, -72.9254085 41.3116608, -72.9255798 41.3117288)",2,,
657760119,Church Street,primary,True,False,123.947,"LINESTRING (-72.927436 41.3038345, -72.9273835 41.3039058, -72.9267619 41.304732, -72.9267068 41.3048053)",,,
37051824,Church Street,primary,True,False,69.096,"LINESTRING (-72.9267068 41.3048053, -72.9266582 41.3048711, -72.9263058 41.3053488)",,,
45090429,Crown Street,tertiary,True,False,114.864,"LINESTRING (-72.9267068 41.3048053, -72.9268118 41.3048548, -72.9278349 41.3052695, -72.9279129 41.3053011)",2,,
37051824,Church Street,primary,True,False,91.29400000000001,"LINESTRING (-72.9263058 41.3053488, -72.9258285 41.3059893, -72.9257719 41.3060652)",,,
17213444,Elm Street,primary,True,False,143.24799999999996,"LINESTRING (-72.9241585 41.3082498, -72.9240718 41.3082144, -72.9234814 41.3079635, -72.9233841 41.3079229, -72.9232166 41.3078531, -72.9228998 41.3077209, -72.9227295 41.3076502, -72.9226611 41.3076218)",3,,
132400907,Church Street,primary,True,False,157.743,"LINESTRING (-72.9241585 41.3082498, -72.9241025 41.3083251, -72.9238831 41.3086206, -72.9237753 41.3087659, -72.923759 41.3087878, -72.9236576 41.3089244, -72.9235199 41.3091098, -72.9234207 41.3092436, -72.923278 41.309451, -72.9232467 41.309492)",3,,
292256996,Church Street,primary,True,False,122.25500000000001,"LINESTRING (-72.9232467 41.309492, -72.9232157 41.3095328, -72.9230854 41.3097146, -72.9229092 41.3099749, -72.9227017 41.3102767, -72.9226233 41.3103973, -72.9225803 41.3104706)",3,,
292257004,Wall Street,residential,True,False,145.39399999999998,"LINESTRING (-72.9232467 41.309492, -72.9231447 41.3094478, -72.9226551 41.3092373, -72.9224975 41.30917, -72.9223538 41.3091086, -72.9223108 41.3090902, -72.9218683 41.3088969, -72.9218341 41.3088822, -72.9217373 41.3088407)",,,
306461339,George Street,secondary,True,False,114.00099999999999,"LINESTRING (-72.9286183 41.3043466, -72.9285561 41.3043201, -72.9275612 41.3038868, -72.927436 41.3038345)",3,,
17212629,Olive Street,tertiary,False,False,32.019,"LINESTRING (-72.9192126 41.3073834, -72.9192329 41.3073077, -72.9192944 41.3071021)",,,
39275905,Grand Avenue,secondary,False,False,51.89,"LINESTRING (-72.9192126 41.3073834, -72.9193017 41.3073643, -72.9194761 41.3073273, -72.9198144 41.3072681)",,,
17212629,Olive Street,tertiary,False,True,29.919,"LINESTRING (-72.9193748 41.3068399, -72.9192944 41.3071021)",,,
17212629,Olive Street,tertiary,False,False,109.436,"LINESTRING (-72.9193748 41.3068399, -72.9194224 41.306688, -72.9196681 41.3058807)",,,
17212629,Olive Street,tertiary,False,False,81.913,"LINESTRING (-72.9196681 41.3058807, -72.9196826 41.3058343, -72.919877 41.3052093, -72.9198925 41.3051636)",,,
17212629,Olive Street,tertiary,False,True,109.436,"LINESTRING (-72.9196681 41.3058807, -72.9194224 41.306688, -72.9193748 41.3068399)",,,
17212629,Olive Street,tertiary,False,True,81.913,"LINESTRING (-72.9198925 41.3051636, -72.919877 41.3052093, -72.9196826 41.3058343, -72.9196681 41.3058807)",,,
37052757,Court Street,residential,False,True,91.708,"LINESTRING (-72.9198925 41.3051636, -72.9199696 41.3051895, -72.920547 41.3053556, -72.9208792 41.305451, -72.9209161 41.3054616)",,,
132400953,Olive Street,tertiary,False,False,141.396,"LINESTRING (-72.9198925 41.3051636, -72.9199089 41.3051073, -72.9199626 41.3049277, -72.9200078 41.3047861, -72.9200491 41.3046567, -72.9201099 41.3044693, -72.9202466 41.3040125, -72.9202713 41.3039243)",,,
293638415,Grand Avenue,primary,False,True,16.368,"LINESTRING (-72.9212071 41.3070432, -72.9210122 41.3070585)",,,
37114310,State Street,primary,True,False,148.33599999999998,"LINESTRING (-72.9212071 41.3070432, -72.9212833 41.3069394, -72.9216027 41.3064735, -72.9216939 41.306341, -72.9217945 41.3061909, -72.9219326 41.306, -72.9220061 41.3059086, -72.9220476 41.3058693)",,,
17228302,Orange Street,secondary,True,False,148.85500000000002,"LINESTRING (-72.9226611 41.3076218, -72.9227177 41.3075466, -72.9229788 41.3071977, -72.9230512 41.307101, -72.9232502 41.3068351, -72.9235347 41.306455)",1,,
37051825,Orange Street,secondary,False,False,155.97699999999998,"LINESTRING (-72.9226611 41.3076218, -72.9226125 41.3076844, -72.9222268 41.3081805, -72.9221774 41.308244, -72.9221617 41.3082642, -72.9220752 41.3083866, -72.9220324 41.3084467, -72.9219561 41.3085501, -72.9217736 41.3087933, -72.9217373 41.3088407)",2,,
248116150,Elm Street,primary,True,False,138.483,"LINESTRING (-72.9226611 41.3076218, -72.9225964 41.3075953, -72.9222849 41.3074645, -72.9222493 41.3074496, -72.9220571 41.3073692, -72.9219654 41.3073308, -72.9218424 41.3072793, -72.9218148 41.3072678, -72.9213072 41.3070431, -72.9212071 41.3070432)",3,,
249270973,Elm Street,primary,True,False,120.92,"LINESTRING (-72.9254212 41.3087812, -72.9253441 41.3087514, -72.9252426 41.3087121, -72.9247633 41.3085077, -72.9242728 41.3082932, -72.9241585 41.3082498)",4,,
"[657760073, 658527085]",Temple Street,primary,True,False,277.11,"LINESTRING (-72.9254212 41.3087812, -72.9254966 41.3086648, -72.9262156 41.3076708, -72.9263228 41.3075296, -72.9269991 41.3065892)",3,,
37051823,College Street,primary,False,False,278.507,"LINESTRING (-72.9270594 41.3094811, -72.9271395 41.309367, -72.9278557 41.3083849, -72.9286209 41.3073633, -72.9286695 41.307288)",2,,
132400922,Elm Street,primary,True,False,157.415,"LINESTRING (-72.9270594 41.3094811, -72.926972 41.3094436, -72.9254891 41.3088108, -72.9254212 41.3087812)",3,,
292256999,College Street,primary,False,True,159.60399999999998,"LINESTRING (-72.9270594 41.3094811, -72.9269985 41.3095624, -72.9265602 41.3101617, -72.9261888 41.3106571, -72.9261649 41.3106893, -72.9261314 41.3107358)",2,,
25593473,Elm Street,primary,True,False,159.24599999999998,"LINESTRING (-72.9287269 41.3101752, -72.9271542 41.3095257, -72.9270594 41.3094811)",3,,
"[216999484, 17217727]",Artizan Street,residential,True,False,204.90499999999997,"LINESTRING (-72.9209161 41.3054616, -72.9207365 41.3058272, -72.9205659 41.3061975, -72.920324 41.3066709, -72.9202316 41.3068518, -72.9201994 41.3069101, -72.9201785 41.3069635, -72.9201691 41.3070065, -72.9201699 41.3070423, -72.9201758 41.3070797, -72.9201828 41.3071097, -72.9202109 41.3072014)",,yes,
37052757,Court Street,residential,False,False,91.708,"LINESTRING (-72.9209161 41.3054616, -72.9208792 41.305451, -72.920547 41.3053556, -72.9199696 41.3051895, -72.9198925 41.3051636)",,,
"[132400914, 37052757, 618785366]",Court Street,residential,False,True,92.335,"LINESTRING (-72.9209161 41.3054616, -72.92104 41.3054991, -72.9211445 41.3055307, -72.9215813 41.3056837, -72.9218514 41.3057859, -72.921917 41.3058129)",,yes,
293638417,State Street,primary,True,False,151.617,"LINESTRING (-72.920332 41.3082378, -72.9207664 41.3076444, -72.9210198 41.3072982, -72.9210809 41.307215, -72.9212071 41.3070432)",,,
293638421,Wall Street,residential,True,False,135.177,"LINESTRING (-72.920332 41.3082378, -72.920416 41.3082728, -72.9206998 41.3083956, -72.9216295 41.3087965, -72.9216697 41.3088131, -72.9217373 41.3088407)",,,
1013412359,Court Street,tertiary,False,False,12.583,"LINESTRING (-72.9220476 41.3058693, -72.921917 41.3058129)",,,
132400966,State Street,primary,True,False,132.572,"LINESTRING (-72.9220476 41.3058693, -72.9220865 41.3058317, -72.9224356 41.3053467, -72.9225342 41.3052102, -72.9226141 41.3050997, -72.9227585 41.3048999, -72.9228131 41.3048256)",,,
17218447,Center Street,residential,True,False,140.966,"LINESTRING (-72.924816 41.3047533, -72.9248699 41.3047761, -72.9255317 41.3050426, -72.9263058 41.3053488)",,,
843339991,Orange Street,secondary,True,False,76.04100000000001,"LINESTRING (-72.924816 41.3047533, -72.9252167 41.3042178, -72.9252306 41.3041995, -72.9252626 41.3041574)",1,,
