osmid,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,tunnel,lanes,ref
16228786,North 9th Street,residential,False,False,3.683,"LINESTRING (-85.7648267 38.2575303, -85.76482 38.257563)",,,,,
16241558,Roy Wilkins Avenue,residential,False,False,156.533,"LINESTRING (-85.7648267 38.2575303, -85.7648425 38.2574397, -85.7649899 38.2565834, -85.7650513 38.2562471, -85.765029 38.256136)",,,,,
16228786,North 9th Street,residential,False,True,3.683,"LINESTRING (-85.76482 38.257563, -85.7648267 38.2575303)",,,,,
"[94731044, 16212590]",,motorway_link,True,False,150.227,"LINESTRING (-85.76482 38.257563, -85.7648488 38.2575863, -85.7648804 38.2576147, -85.7649152 38.257653, -85.7649516 38.2576983, -85.7649946 38.2577552, -85.7650189 38.2578396, -85.7650194 38.257915, -85.7650013 38.2580058, -85.7649698 38.2580901, -85.7649167 38.2581721, -85.7648619 38.2582318, -85.7647663 38.2582985, -85.7646867 38.2583471, -85.764584 38.2583805, -85.7644053 38.2584055, -85.764154 38.2584013)",yes,,,,
"[16228786, 525865543]","['West Washington Street', 'North 9th Street']",residential,False,"[False, True]",218.453,"LINESTRING (-85.76482 38.257563, -85.7648073 38.257625, -85.764681 38.258187, -85.764672 38.258204, -85.764655 38.258216, -85.764629 38.258229, -85.764605 38.25823, -85.763118 38.258087, -85.76303 38.258057)",,,,,
180202689,West River Road,residential,True,False,152.28799999999998,"LINESTRING (-85.7562008 38.2587255, -85.7557993 38.2587177, -85.7555777 38.2587082, -85.7554151 38.2586906, -85.755261 38.258647, -85.755114 38.258591, -85.7550379 38.2585719, -85.754963 38.258553, -85.75482 38.258532, -85.754615 38.258508, -85.7544979 38.2585193)",,35 mph,,,
"[265871312, 222835540, 222835541]",North 4th Street,residential,False,True,168.688,"LINESTRING (-85.7562008 38.2587255, -85.7562196 38.2585712, -85.7562311 38.2585217, -85.7562707 38.2582882, -85.7563937 38.2576485, -85.7564794 38.2572246)",,,yes,,
222586768,South 2nd Street,primary,False,True,88.026,"LINESTRING (-85.7538043 38.2534858, -85.7538259 38.2533678, -85.7539336 38.2527781, -85.7539475 38.2527022)",,25 mph,,2,KY 1020
"[331768290, 533355563]",West Jefferson Street,secondary,True,False,137.243,"LINESTRING (-85.7538043 38.2534858, -85.7539498 38.2534959, -85.7543471 38.2535404, -85.7547881 38.2535897, -85.7550337 38.2536171, -85.7552929 38.2536461, -85.7553612 38.2536539)",,25 mph,,,
437419793,South 4th Street,tertiary,False,False,86.12200000000001,"LINESTRING (-85.7570316 38.2538379, -85.7570498 38.2537326, -85.7571531 38.2531334, -85.757164 38.2530704)",,25 mph,,,
"[437419794, 533147730]",West Jefferson Street,secondary,True,False,144.61599999999999,"LINESTRING (-85.7570316 38.2538379, -85.7570997 38.2538453, -85.7572009 38.2538564, -85.7576001 38.2539, -85.7581642 38.2539616, -85.7582582 38.2539718, -85.7585988 38.254008, -85.758672 38.254017)",,25 mph,,,
437419795,South 4th Street,tertiary,False,True,156.27599999999998,"LINESTRING (-85.7570316 38.2538379, -85.757016 38.2539308, -85.7569343 38.2544014, -85.7569064 38.2545631, -85.7568081 38.2551331, -85.7567913 38.2552306)",,25 mph,,,
"[527757264, 524078730]",South 5th Street,tertiary,True,False,156.07500000000002,"LINESTRING (-85.758672 38.254017, -85.7586547 38.2541162, -85.7586513 38.254136, -85.758544 38.254709, -85.7585403 38.2547274, -85.7584497 38.2552572, -85.7584418 38.2553091, -85.758424 38.255407)",,,,,
533147730,West Jefferson Street,secondary,True,False,145.404,"LINESTRING (-85.758672 38.254017, -85.7587737 38.2540276, -85.7589727 38.2540497, -85.7595644 38.2541155, -85.7602483 38.2541916, -85.760321 38.254199)",,25 mph,,,
"[522414510, 533356071]",West Jefferson Street,secondary,True,False,145.89200000000002,"LINESTRING (-85.760321 38.254199, -85.7604303 38.254211, -85.7607766 38.2542486, -85.7618934 38.25437, -85.761976 38.254379)",,25 mph,,,
522414527,South 6th Street,tertiary,True,False,86.652,"LINESTRING (-85.760321 38.254199, -85.760335 38.2541083, -85.7604336 38.2535943, -85.7604498 38.2535064, -85.760465 38.253428)",,,,2,
533356071,West Jefferson Street,secondary,True,False,146.474,"LINESTRING (-85.761976 38.254379, -85.7620869 38.2543911, -85.7627509 38.2544657, -85.7628248 38.254474, -85.7632091 38.254517, -85.7632679 38.2545235, -85.7634318 38.2545419, -85.7635611 38.2545564, -85.7636367 38.2545648)",,25 mph,,,
823882520,South 7th Street,tertiary,True,False,81.144,"LINESTRING (-85.761976 38.254379, -85.761957 38.2544874, -85.7619087 38.2547652, -85.76185 38.255102)",,,,,
16233513,South 8th Street,tertiary,True,False,126.78200000000001,"LINESTRING (-85.7636367 38.2545648, -85.7636536 38.2544683, -85.763688 38.2542723, -85.763759 38.2538681, -85.7638164 38.253541, -85.7638349 38.2534353)",,,,,
"[533356065, 533356071]",West Jefferson Street,secondary,True,False,119.527,"LINESTRING (-85.7636367 38.2545648, -85.7637408 38.2545754, -85.7642237 38.2546248, -85.7642857 38.2546311, -85.7644116 38.2546444, -85.7648176 38.2546946, -85.764871 38.2547015, -85.7649116 38.2547054, -85.7649919 38.2547156)",,25 mph,,,
273201903,Roy Wilkins Avenue,primary,True,False,100.087,"LINESTRING (-85.7649919 38.2547156, -85.7649887 38.2549052, -85.7649917 38.2550308, -85.7649994 38.2551394, -85.765017 38.2552384, -85.7650564 38.2554255, -85.7651077 38.2556076)",,,,2,
522040140,South 5th Street,tertiary,True,False,155.856,"LINESTRING (-85.758424 38.255407, -85.7584052 38.2555057, -85.7582003 38.2565643, -85.7581752 38.2566952, -85.7581564 38.2567928)",,,,,
"[521548672, 522040142]",West Market Street,primary,True,False,143.907,"LINESTRING (-85.758424 38.255407, -85.7583555 38.2553998, -85.7580532 38.2553671, -85.7568775 38.2552393, -85.7567913 38.2552306)",,25 mph,,4,US 31W;US 60
"[524016035, 525910173]",West Liberty Street,secondary,True,False,144.53,"LINESTRING (-85.758804 38.253246, -85.7587342 38.2532385, -85.7586133 38.2532255, -85.7583382 38.2531966, -85.7582589 38.2531875, -85.7581836 38.2531794, -85.7580283 38.2531627, -85.7572718 38.2530816, -85.7572316 38.2530774, -85.757164 38.2530704)",,,,,
"[524016040, 527757264]",South 5th Street,tertiary,True,False,86.50399999999999,"LINESTRING (-85.758804 38.253246, -85.7587915 38.2533201, -85.7587512 38.2535581, -85.7586962 38.2538715, -85.758688 38.2539211, -85.758672 38.254017)",,,,,
"[16220233, 16225769]","['Cathedral Way', 'Cathedral School Court']",residential,False,"[False, True]",182.11,"LINESTRING (-85.758983 38.2522081, -85.758045 38.252099, -85.758198 38.251214)",,,,,
527536977,South 5th Street,tertiary,True,False,116.465,"LINESTRING (-85.758983 38.2522081, -85.7589639 38.252319, -85.7589142 38.2526072, -85.7588176 38.2531781, -85.758804 38.253246)",,,,,
