osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,tunnel,width,access
453613356,True,1,A458,Mardol Quay,primary,20 mph,False,24.826,"LINESTRING (-2.7569007 52.7097072, -2.7570651 52.7097125, -2.7572628 52.7097427)",,,,,
4318193,True,1,A458,Bridge Street,primary,20 mph,False,14.587,"LINESTRING (-2.7576398 52.7097062, -2.7577308 52.7097139, -2.7577447 52.7097166, -2.7578197 52.7097654)",,,,,
453613357,False,2,,Bridge Street,tertiary,20 mph,True,19.688000000000002,"LINESTRING (-2.7576398 52.7097062, -2.7577277 52.7096476, -2.7577729 52.7096059, -2.7577931 52.7095595)",,,,,
"[921739277, 223419847]",False,2,A458,Mardol Quay,primary,20 mph,True,25.753,"LINESTRING (-2.7576398 52.7097062, -2.757563 52.7097137, -2.7575254 52.7097193, -2.757467 52.7097279, -2.7572628 52.7097427)",,,,,
"[1047826497, 1047826498, 453613359, 458977204, 918283448, 4086522, 23650010]",False,2,A458,"['Welsh Bridge', 'Frankwell']",primary,"['20 mph', '30 mph']",False,133.291,"LINESTRING (-2.757842 52.7098229, -2.7578608 52.7098584, -2.7578679 52.7098743, -2.7578712 52.7098791, -2.7582985 52.7104945, -2.7583655 52.7105574, -2.7584248 52.7106202, -2.7584664 52.7106641, -2.758605 52.7107804, -2.7586234 52.7107949, -2.7586736 52.7108297, -2.7587512 52.7108765)",yes,,,,
356126353,True,1,,Mardol Quay,primary,20 mph,False,40.318,"LINESTRING (-2.757842 52.7098229, -2.7577383 52.7098077, -2.757655 52.7098007, -2.757601 52.7097962, -2.7574201 52.7097834, -2.7572628 52.7097427)",,,,,
"[22794792, 981835805, 981835806]",False,2,,Victoria Quay,unclassified,20 mph,False,135.292,"LINESTRING (-2.757842 52.7098229, -2.7579131 52.7097877, -2.7579779 52.7097834, -2.7582018 52.7097685, -2.7582236 52.709767, -2.7584763 52.7097236, -2.7587105 52.7096796, -2.7590524 52.7096171, -2.7591723 52.7096101, -2.7593613 52.7095736, -2.7596307 52.7095196, -2.7597424 52.7094721)",,,,,
23049865,False,2,,Frankwell,unclassified,30 mph,False,55.786,"LINESTRING (-2.7587512 52.7108765, -2.7585236 52.7108988, -2.758456 52.7109071, -2.7583925 52.7109162, -2.7579465 52.7109922)",,,,,
251246200,False,,A458,Frankwell,primary,30 mph,False,125.57599999999998,"LINESTRING (-2.7587512 52.7108765, -2.7587727 52.7108759, -2.7588829 52.7108729, -2.7590122 52.7108689, -2.7591083 52.7108672, -2.7592783 52.710871, -2.7594124 52.7108888, -2.7595376 52.7109245, -2.7596118 52.7109624, -2.7597149 52.7110416, -2.7598085 52.7111271, -2.7598156 52.711134, -2.7599943 52.7113094, -2.7601236 52.7114384, -2.7601422 52.7114487)",,,,,
"[1047826497, 1047826498, 453613359, 458977204, 918283448, 4086522, 23650010]",False,2,A458,"['Welsh Bridge', 'Frankwell']",primary,"['20 mph', '30 mph']",True,133.291,"LINESTRING (-2.7587512 52.7108765, -2.7586736 52.7108297, -2.7586234 52.7107949, -2.758605 52.7107804, -2.7584664 52.7106641, -2.7584248 52.7106202, -2.7583655 52.7105574, -2.7582985 52.7104945, -2.7578712 52.7098791, -2.7578679 52.7098743, -2.7578608 52.7098584, -2.757842 52.7098229)",yes,,,,
32786219,True,,,Copthorne Road,secondary,,False,21.441000000000003,"LINESTRING (-2.7611195 52.7111887, -2.7610827 52.7112472, -2.7610721 52.7112996, -2.7610762 52.711335, -2.7611025 52.7113738)",,,,,
653845528,True,,A458,Frankwell,primary,30 mph,False,35.226,"LINESTRING (-2.7611534 52.7117573, -2.7610674 52.71178, -2.7610048 52.711793, -2.7608914 52.7118183, -2.7608052 52.7118267, -2.7607255 52.7118224, -2.7606545 52.7118082)",,circular,,,
653845528,True,,A458,Frankwell,primary,30 mph,False,21.285,"LINESTRING (-2.7606545 52.7118082, -2.7605846 52.7117848, -2.7605261 52.7117546, -2.7605149 52.7117488, -2.7605072 52.7117418, -2.7604349 52.7116759)",,circular,,,
4318191,True,,A458,Frankwell,primary,30 mph,False,25.427999999999997,"LINESTRING (-2.7611025 52.7113738, -2.761164 52.7114307, -2.7612031 52.7114829, -2.7612136 52.7115004, -2.7612324 52.7115318, -2.7612615 52.71158)",,circular,,,
653845525,True,,A458,Frankwell,primary,30 mph,False,21.444,"LINESTRING (-2.7612615 52.71158, -2.7612466 52.7116398, -2.7612254 52.7116848, -2.7612022 52.7117205, -2.7611534 52.7117573)",,circular,,,
23487177,False,,,School Gardens,unclassified,20 mph,False,72.25200000000001,"LINESTRING (-2.751105 52.70975, -2.7512412 52.7099773, -2.7512449 52.7100211, -2.7511402 52.7102127, -2.7510552 52.7103006, -2.751032 52.7103227, -2.7510037 52.710343, -2.7509955 52.7103488)",,,,,
23693176,True,2,,Castle Street,tertiary,20 mph,False,43.461,"LINESTRING (-2.751105 52.70975, -2.7513115 52.7096321, -2.7513288 52.7096213, -2.7514634 52.7095414, -2.7515692 52.7094786)",,,,,
23855521,True,1,A458,Smithfield Road,primary,30 mph,False,23.424,"LINESTRING (-2.750932 52.7115949, -2.7510654 52.71159, -2.7511098 52.7116015, -2.7512015 52.7116335, -2.7512511 52.7116539)",,,,,
457237754,False,3,A458,Smithfield Road,primary,30 mph,True,31.951,"LINESTRING (-2.750932 52.7115949, -2.7508072 52.7115729, -2.7507442 52.7115608, -2.7506729 52.711554, -2.7506119 52.7115441, -2.7504745 52.7115203)",,gyratory,,,
1150323531,True,1,A528,Chester Street,primary,30 mph,False,19.216,"LINESTRING (-2.750932 52.7115949, -2.7509301 52.7116807, -2.7509233 52.7117397, -2.75092 52.7117675)",,gyratory,,,
