osmid,oneway,highway,reversed,length,lanes,ref,name,geometry,maxspeed
11668380,True,residential,False,43.024,,,,"LINESTRING (-79.8401422 40.5254115, -79.8402885 40.5250409)",
11948802,False,primary,True,40.576,2,Yellow Belt,Hulton Road,"LINESTRING (-79.8401422 40.5254115, -79.840601 40.5255189)",
11948802,False,primary,False,147.912,2,Yellow Belt,Hulton Road,"LINESTRING (-79.8401422 40.5254115, -79.8399253 40.5253608, -79.8384728 40.5250125)",
"[11827224, 11826727]",False,residential,"[False, True]",186.94400000000002,,,"['Porte Street', '4th Street']","LINESTRING (-79.8404201 40.5247075, -79.8395827 40.5244989, -79.8399453 40.5235258)",
11826727,False,residential,True,48.391000000000005,,,Porte Street,"LINESTRING (-79.8404201 40.5247075, -79.840718 40.5247782, -79.8409666 40.5248372)",
11685187,False,residential,False,97.352,,,,"LINESTRING (-79.8424004 40.5206872, -79.8419725 40.5206431, -79.8412591 40.5205697)",
475723236,False,secondary,False,133.034,,,Allegheny River Boulevard,"LINESTRING (-79.8424004 40.5206872, -79.8423739 40.5208998, -79.8423381 40.5212197, -79.8422961 40.5215495, -79.8422412 40.5218773)",
475723236,False,secondary,True,186.545,,,Allegheny River Boulevard,"LINESTRING (-79.8424004 40.5206872, -79.8424513 40.5202697, -79.8424658 40.5201504, -79.8425953 40.519086, -79.8426038 40.5190167)",
11725081,False,residential,False,116.871,,,Isabella Street,"LINESTRING (-79.8412591 40.5205697, -79.8410791 40.5216118)",
11685187,False,residential,True,97.352,,,,"LINESTRING (-79.8412591 40.5205697, -79.8419725 40.5206431, -79.8424004 40.5206872)",
765614006,False,residential,False,23.61,,,Isabella Street,"LINESTRING (-79.8412591 40.5205697, -79.8412876 40.5204449, -79.8412993 40.5203597)",
11692342,False,residential,False,91.454,,,1st Street,"LINESTRING (-79.8474934 40.5178766, -79.8474149 40.5186969)",
11833994,False,residential,False,134.281,,,Delaware Avenue,"LINESTRING (-79.8474934 40.5178766, -79.8471505 40.5178532, -79.8467332 40.5178248, -79.8459112 40.5177688)",
11692342,False,residential,True,91.454,,,1st Street,"LINESTRING (-79.8474149 40.5186969, -79.8474934 40.5178766)",
11694046,False,residential,False,257.506,,,6th Street,"LINESTRING (-79.8378626 40.5186854, -79.8375528 40.5209892)",
11736768,False,residential,False,117.249,,,Maryland Avenue,"LINESTRING (-79.8378626 40.5186854, -79.8372569 40.518647, -79.8371404 40.5186386, -79.8364808 40.5185936)",
11736768,False,residential,True,116.128,,,Maryland Avenue,"LINESTRING (-79.8378626 40.5186854, -79.8385624 40.5187322, -79.839232 40.5187687)",
11694046,False,residential,False,215.707,,,6th Street,"LINESTRING (-79.8375528 40.5209892, -79.8373087 40.5229202)",
11694046,False,residential,True,257.506,,,6th Street,"LINESTRING (-79.8375528 40.5209892, -79.8378626 40.5186854)",
11947227,False,residential,True,119.524,,,Pennsylvania Avenue,"LINESTRING (-79.8375528 40.5209892, -79.8382572 40.5210228, -79.8389414 40.5211619)",
11694046,False,residential,True,215.707,,,6th Street,"LINESTRING (-79.8373087 40.5229202, -79.8375528 40.5209892)",
663687591,False,residential,False,54.43,,,Virginia Avenue,"LINESTRING (-79.8373087 40.5229202, -79.836693 40.5227768)",
"[11959272, 11694046]",False,residential,"[False, True]",216.937,,,"['6th Street', 'Edgewood Avenue']","LINESTRING (-79.8373087 40.5229202, -79.8370533 40.5236017, -79.837704 40.523757, -79.8386126 40.5239739)",
11726605,False,residential,True,124.62,,,Virginia Avenue,"LINESTRING (-79.8373087 40.5229202, -79.837986 40.52308, -79.8387166 40.5232529)",
220363837,False,residential,False,89.922,,,Delaware Avenue,"LINESTRING (-79.8427739 40.5175368, -79.842211 40.5174937, -79.841715 40.5174596)",
475723236,False,secondary,False,165.186,,,Allegheny River Boulevard,"LINESTRING (-79.8427739 40.5175368, -79.8427642 40.5176208, -79.8426998 40.518181, -79.8426889 40.5182759, -79.8426669 40.5184671, -79.842612 40.5189453, -79.8426038 40.5190167)",
