osmid,lanes,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,width,ref,tunnel
4628076,4,Cathedral Street,tertiary,20 mph,False,False,71.763,,"LINESTRING (-4.2494156 55.8631594, -4.2482811 55.8630536)",,,
"[4542288, 4778497, 1221515962, 4787501]","['1', '2']",Cathedral Street,tertiary,20 mph,True,False,155.549,yes,"LINESTRING (-4.2494156 55.8631594, -4.2499588 55.8631987, -4.2503018 55.8632258, -4.2515199 55.8633279, -4.2518822 55.8633611)",,,
"[185136472, 185136473, 45074530, 4497320]",3,North Hanover Street,unclassified,20 mph,False,False,181.61899999999997,yes,"LINESTRING (-4.2494156 55.8631594, -4.249701 55.8624123, -4.249769 55.8622334, -4.2498982 55.8618892, -4.2500261 55.8615624)",,,
"[1206881131, 1221515963, 1221515964]",4,North Hanover Street,unclassified,20 mph,False,True,156.75,,"LINESTRING (-4.2494156 55.8631594, -4.2493063 55.8634643, -4.2492378 55.8636552, -4.2491885 55.8637831, -4.2490716 55.8640866, -4.2488939 55.8645383)",,,
4397805,3,George Square,unclassified,20 mph,True,False,73.567,,"LINESTRING (-4.2500261 55.8615624, -4.2488715 55.8614287)",,,
"[4497320, 185136473, 45074530, 185136472]",3,North Hanover Street,unclassified,20 mph,False,True,181.619,yes,"LINESTRING (-4.2500261 55.8615624, -4.2498982 55.8618892, -4.249769 55.8622334, -4.249701 55.8624123, -4.2494156 55.8631594)",,,
4521153,3,George Street,unclassified,20 mph,True,False,93.54599999999999,,"LINESTRING (-4.2488715 55.8614287, -4.2482561 55.8613444, -4.2481326 55.8613297, -4.2474099 55.8612421)",,,
4683300,2,North Frederick Street,unclassified,20 mph,True,False,101.1,,"LINESTRING (-4.2488715 55.8614287, -4.2486345 55.8620871, -4.2485506 55.8623199)",,,
4628076,4,Cathedral Street,tertiary,20 mph,False,True,71.763,,"LINESTRING (-4.2482811 55.8630536, -4.2494156 55.8631594)",,,
23605443,2,North Frederick Street,unclassified,,False,False,37.865,,"LINESTRING (-4.2482811 55.8630536, -4.2481593 55.8633872)",5.5,,
"[1221515961, 196934179]",4,Cathedral Street,tertiary,20 mph,False,False,200.37699999999998,,"LINESTRING (-4.2482811 55.8630536, -4.2476393 55.8629909, -4.2475234 55.8629811, -4.2472225 55.8629619, -4.2468149 55.8629366, -4.2467815 55.8629359, -4.2465829 55.8629343, -4.2459694 55.8629501, -4.2451539 55.8629713, -4.245087 55.8629736)",,,
