osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,bridge,ref
27085370,True,1,motorway_link,False,54.072,"LINESTRING (-119.035657 34.2180297, -119.0357441 34.217942, -119.0358193 34.2177592, -119.0358842 34.2176867, -119.0359723 34.2176347)",,,,
186246447,False,,primary,False,38.21,"LINESTRING (-119.035657 34.2180297, -119.035547 34.2180175, -119.0354103 34.2179956, -119.0352498 34.2179628)",East Daily Drive,,,
209414686,False,,secondary,True,102.525,"LINESTRING (-119.035657 34.2180297, -119.0359844 34.2180488, -119.0361465 34.2180421, -119.0362994 34.2180223, -119.0367574 34.2179359)",East Daily Drive,,,
10731729,False,,residential,True,56.759,"LINESTRING (-119.0347287 34.2183532, -119.035346 34.218353)",Lomita Street,,,
10741617,False,,residential,True,84.28899999999999,"LINESTRING (-119.0369896 34.2150745, -119.0371488 34.215086, -119.0376955 34.2151452, -119.0378201 34.2151585, -119.0378993 34.215167)",Chapel Drive,,,
10728321,False,,residential,False,90.737,"LINESTRING (-119.0435374 34.2143857, -119.042558 34.214286)",Grandview Drive,,,
10733573,False,,residential,True,144.85,"LINESTRING (-119.0435374 34.2143857, -119.0433316 34.2156772)",Oak Street,,,
10728321,False,,residential,True,90.737,"LINESTRING (-119.042558 34.214286, -119.0435374 34.2143857)",Grandview Drive,,,
10738454,False,,residential,True,143.37,"LINESTRING (-119.042558 34.214286, -119.0423418 34.2155629)",Fir Street,,,
10728321,False,,residential,False,231.33999999999997,"LINESTRING (-119.042558 34.214286, -119.0407117 34.2140959, -119.0406353 34.2140827, -119.0405785 34.2140689, -119.0402618 34.2139788, -119.0400824 34.2139483)",Grandview Drive,,,
10728321,False,,residential,False,90.127,"LINESTRING (-119.0400824 34.2139483, -119.0391107 34.2138421)",Grandview Drive,,,
10728321,False,,residential,True,231.34,"LINESTRING (-119.0400824 34.2139483, -119.0402618 34.2139788, -119.0405785 34.2140689, -119.0406353 34.2140827, -119.0407117 34.2140959, -119.042558 34.214286)",Grandview Drive,,,
165567242,False,,residential,False,160.656,"LINESTRING (-119.0400824 34.2139483, -119.0399799 34.2145982, -119.0398576 34.2153811)",Elm Drive,,,
10728321,False,,residential,False,89.271,"LINESTRING (-119.0391107 34.2138421, -119.0381481 34.2137377)",Grandview Drive,,,
10728321,False,,residential,True,90.127,"LINESTRING (-119.0391107 34.2138421, -119.0400824 34.2139483)",Grandview Drive,,,
833678353,False,,residential,True,161.416,"LINESTRING (-119.0391107 34.2138421, -119.0388841 34.2152816)",Palm Drive,,,
10728321,False,,residential,True,89.271,"LINESTRING (-119.0381481 34.2137377, -119.0391107 34.2138421)",Grandview Drive,,,
834734003,False,,residential,True,160.589,"LINESTRING (-119.0381481 34.2137377, -119.0380187 34.2145338, -119.0379239 34.2150634, -119.0378993 34.215167)",South Glenn Drive,,,
10730696,False,,residential,False,76.318,"LINESTRING (-119.034296 34.22036, -119.033466 34.220367)",Dumetz Street,,,
10730696,False,,residential,True,73.099,"LINESTRING (-119.034296 34.22036, -119.035091 34.220354)",Dumetz Street,,,
833678356,False,,residential,False,7.751,"LINESTRING (-119.0396768 34.2165187, -119.0396667 34.2165879)",Elm Drive,,,
"[627900507, 627900508]",True,"['1', '2']",secondary,False,50.572,"LINESTRING (-119.0396768 34.2165187, -119.0395858 34.216509, -119.03926 34.2164771, -119.0392329 34.2164752, -119.0391304 34.2164671)",East Ventura Boulevard,25 mph,,
"[165567242, 833678355, 833678356]",False,,residential,True,127.597,"LINESTRING (-119.0396768 34.2165187, -119.0396884 34.216435, -119.0396917 34.2164174, -119.0397081 34.2163212, -119.0397454 34.2160376, -119.0398576 34.2153811)",Elm Drive,,,
10741617,False,,residential,False,90.197,"LINESTRING (-119.0398576 34.2153811, -119.0395803 34.2153505, -119.039168 34.2153097, -119.0388841 34.2152816)",Chapel Drive,,,
"[165567242, 833678355, 833678356]",False,,residential,False,127.597,"LINESTRING (-119.0398576 34.2153811, -119.0397454 34.2160376, -119.0397081 34.2163212, -119.0396917 34.2164174, -119.0396884 34.216435, -119.0396768 34.2165187)",Elm Drive,,,
165567242,False,,residential,True,160.656,"LINESTRING (-119.0398576 34.2153811, -119.0399799 34.2145982, -119.0400824 34.2139483)",Elm Drive,,,
10731729,False,,residential,False,56.759,"LINESTRING (-119.035346 34.218353, -119.0347287 34.2183532)",Lomita Street,,,
10729567,False,,residential,False,125.75,"LINESTRING (-119.035346 34.218353, -119.035354 34.2187134, -119.0353718 34.2194837)",North Nellora Street,,,
10731729,False,,residential,True,112.065,"LINESTRING (-119.035346 34.218353, -119.0359726 34.2183528, -119.0365648 34.2183525)",Lomita Street,,,
10729567,False,,residential,True,125.75,"LINESTRING (-119.0353718 34.2194837, -119.035354 34.2187134, -119.035346 34.218353)",North Nellora Street,,,
10733895,False,2,residential,False,116.799,"LINESTRING (-119.0353718 34.2194837, -119.0347109 34.2194844, -119.0341015 34.219485)",Barry Street,,,
10733895,False,2,residential,True,110.179,"LINESTRING (-119.0353718 34.2194837, -119.035964 34.2194831, -119.0365701 34.2194825)",Barry Street,,,
"[37048288, 10729642, 876281102, 876281103, 880429373, 37048286]",False,5,secondary,True,142.328,"LINESTRING (-119.0390055 34.2178335, -119.0390074 34.2177312, -119.0390085 34.2177143, -119.0390109 34.2176857, -119.0390203 34.2175716, -119.0390511 34.2172052, -119.0390657 34.2170537, -119.0390813 34.2169043, -119.0391103 34.2166375, -119.0391132 34.2166102, -119.0391191 34.2165572)",Arneill Road,,yes,
1051180456,False,,secondary,False,110.559,"LINESTRING (-119.0390055 34.2178335, -119.0388489 34.2178328, -119.0378031 34.2178283)",East Daily Drive,,,
1051180458,False,,secondary,True,91.42600000000002,"LINESTRING (-119.0390055 34.2178335, -119.0391741 34.217829, -119.039416 34.217821, -119.0397182 34.2177979, -119.0399966 34.2177727)",East Daily Drive,,,
"[627900505, 1189325106, 627900506]",False,"['4', '5']",secondary,True,56.68900000000001,"LINESTRING (-119.0390055 34.2178335, -119.039005 34.2179231, -119.039005 34.2181454, -119.039004 34.2182405, -119.039006 34.2183433)",Arneill Road,35 mph,,
165567240,True,1,secondary,False,39.065,"LINESTRING (-119.0391304 34.2164671, -119.0387088 34.2164237)",East Ventura Boulevard,25 mph,,
