osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,ref,access
"[11104085, 11104086]",unclassified,False,True,168.769,"LINESTRING (-80.4771875 25.4499137, -80.4769305 25.4499204, -80.4765317 25.4499309, -80.4765291 25.4497375, -80.4765223 25.4492386, -80.4765192 25.4490056)",,,,,
1089574087,secondary,False,False,101.848,"LINESTRING (-80.4771875 25.4499137, -80.4771874 25.4499012, -80.4771835 25.4495229, -80.477178 25.4489978)",2,Southwest 177th Avenue,30 mph,,
1089574087,secondary,False,True,92.976,"LINESTRING (-80.4771875 25.4499137, -80.4771862 25.4501603, -80.4771861 25.4501841, -80.4771886 25.4503473, -80.4771947 25.4507498)",2,Southwest 177th Avenue,30 mph,,
"[11104085, 11104086]",unclassified,False,False,168.769,"LINESTRING (-80.4765192 25.4490056, -80.4765223 25.4492386, -80.4765291 25.4497375, -80.4765317 25.4499309, -80.4769305 25.4499204, -80.4771875 25.4499137)",,,,,
11161059,unclassified,False,True,121.114,"LINESTRING (-80.4765192 25.4490056, -80.4765191 25.4488536, -80.476519 25.4484944, -80.4765174 25.4479911, -80.4765172 25.4479164)",,Thelma Terrace,,,
11167060,unclassified,False,True,66.153,"LINESTRING (-80.4765192 25.4490056, -80.4767415 25.449003, -80.477178 25.4489978)",,Elton Court,,,
11157270,residential,False,False,11.685,"LINESTRING (-80.4820451 25.4478505, -80.4820339 25.4477459)",,Southwest 4th Avenue,,,
11117302,residential,False,False,112.286,"LINESTRING (-80.4820451 25.4478505, -80.482046 25.4479297, -80.4820478 25.4481022, -80.4820463 25.4487233, -80.4820462 25.4487577, -80.482046 25.4488603)",,Northwest 4th Avenue,,,
"[190545401, 1061992244]",secondary,True,False,130.701,"LINESTRING (-80.4820451 25.4478505, -80.4830824 25.4478453, -80.4833468 25.447844)","['3', '2']",Southwest 344th Street,30 mph,FL 9336,
11117302,residential,False,True,112.286,"LINESTRING (-80.482046 25.4488603, -80.4820462 25.4487577, -80.4820463 25.4487233, -80.4820478 25.4481022, -80.482046 25.4479297, -80.4820451 25.4478505)",,Northwest 4th Avenue,,,
