osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,ref,access,tunnel,width
1086461669,Hallam Street,residential,20 mph,False,False,123.773,,"LINESTRING (-0.144392 51.5222839, -0.1439357 51.5212076)",,,,
"[114925568, 1140683049, 581022359]",Devonshire Street,unclassified,20 mph,True,False,45.172,2,"LINESTRING (-0.144392 51.5222839, -0.1441604 51.5223221, -0.1439041 51.5223721, -0.1438593 51.5223804, -0.1438334 51.5223847, -0.1437647 51.5223962)",,,,
1086461668,Hallam Street,residential,20 mph,False,True,66.085,,"LINESTRING (-0.144392 51.5222839, -0.1446425 51.5228459, -0.1446473 51.5228566)",,,,
18121248,Great Portland Street,secondary,20 mph,True,False,121.96199999999999,,"LINESTRING (-0.1427242 51.5201085, -0.1426932 51.5200408, -0.1423411 51.5192824, -0.142289 51.5192159, -0.1422415 51.5191, -0.1422712 51.5190607)",B506,,,
147997987,New Cavendish Street,tertiary,20 mph,True,False,48.727000000000004,2,"LINESTRING (-0.1427242 51.5201085, -0.1427987 51.5200966, -0.1434045 51.5199952)",,,,
154340959,Langham Street,residential,20 mph,True,False,48.559,,"LINESTRING (-0.1421844 51.5188997, -0.1415111 51.5190229)",,,,
57007655,Great Portland Street,secondary,20 mph,False,False,72.038,2,"LINESTRING (-0.1421844 51.5188997, -0.1421468 51.5188392, -0.1421205 51.5187873, -0.1419003 51.5182768)",B506,,,
57007655,Great Portland Street,secondary,20 mph,False,True,18.883,2,"LINESTRING (-0.1421844 51.5188997, -0.1422248 51.5189751, -0.1422712 51.5190607)",B506,,,
147997980,Hallam Street,residential,20 mph,False,True,37.839,,"LINESTRING (-0.1434045 51.5199952, -0.1434188 51.5200374, -0.1435524 51.5203227)",,,,
"[147997987, 1184554518, 235991127]",New Cavendish Street,tertiary,20 mph,True,False,93.593,2,"LINESTRING (-0.1434045 51.5199952, -0.1438967 51.5199102, -0.1441044 51.5198743, -0.1444864 51.5198092, -0.1445558 51.5197974, -0.1446055 51.519789, -0.1447085 51.5197714)",,,,
"[4082616, 887715771, 614306543]",University Street,unclassified,20 mph,True,False,110.875,,"LINESTRING (-0.136632 51.5230101, -0.1365231 51.5230594, -0.1356986 51.5233873, -0.1353687 51.5235185, -0.1352867 51.5235517)",,,,
303559648,Tottenham Court Road,primary,20 mph,False,True,87.435,2,"LINESTRING (-0.136632 51.5230101, -0.1366879 51.5230769, -0.1367197 51.5231148, -0.1367425 51.523142, -0.1369167 51.5233482, -0.1371435 51.5236052, -0.1371734 51.5236416, -0.1372248 51.5237045)",,,,
"[996665162, 17929789, 685020269, 674756319]",Tottenham Court Road,primary,20 mph,False,True,98.68399999999998,2,"LINESTRING (-0.136632 51.5230101, -0.1365731 51.5229398, -0.1365467 51.5229082, -0.1365158 51.5228714, -0.1362821 51.5226279, -0.1362215 51.5225637, -0.1362065 51.5225483, -0.1360226 51.5223596, -0.1359942 51.5223312, -0.1359676 51.5223047, -0.1359537 51.5222908, -0.1359084 51.5222456)",,,,
955518107,Goodge Street,primary,20 mph,False,False,2.675,,"LINESTRING (-0.1369442 51.5188864, -0.1369106 51.5188983)",A5204,,,
"[14200879, 1137105200, 1137105201, 1137105203, 1137105204, 1137105205]",Cleveland Street,tertiary,20 mph,True,False,94.12299999999999,1,"LINESTRING (-0.1369442 51.5188864, -0.1370241 51.5189492, -0.1370441 51.5189678, -0.1370484 51.5189717, -0.1370795 51.5189977, -0.1375283 51.519406, -0.1376455 51.5195122, -0.1376694 51.5195339, -0.13769 51.5195552, -0.1377166 51.5195828)",,,,
