osmid,oneway,highway,junction,reversed,length,geometry,name,access,lanes,maxspeed
264043251,True,residential,roundabout,False,101.739,"LINESTRING (-105.0496532 39.9440575, -105.0495978 39.9440814, -105.049554 39.9441167, -105.0495256 39.9441604, -105.0495153 39.9442085, -105.0495218 39.9442508, -105.0495423 39.9442903, -105.0495753 39.9443245, -105.0496323 39.9443568, -105.0496999 39.944373, -105.0497707 39.9443714, -105.0498369 39.9443521, -105.0498913 39.9443173, -105.0499274 39.9442716, -105.0499424 39.9442194, -105.0499347 39.9441663, -105.0499051 39.9441179, -105.0498568 39.9440793, -105.0497948 39.9440548)",,,,
16982568,True,residential,,False,95.02,"LINESTRING (-105.0497948 39.9440548, -105.0497959 39.9437524, -105.049797 39.9434339, -105.0498004 39.9432816, -105.0498022 39.9432003)",Xavier Lane,yes,,
264043251,True,residential,roundabout,False,12.25,"LINESTRING (-105.0497948 39.9440548, -105.0497237 39.9440469, -105.0496532 39.9440575)",,,,
16982284,False,residential,,False,95.628,"LINESTRING (-105.057918 39.94028, -105.057918 39.94114)",Cedar Street,,,
16982284,False,residential,,True,104.19,"LINESTRING (-105.057918 39.94028, -105.057914 39.939343)",Cedar Street,,,
629728781,False,secondary,,True,13.785,"LINESTRING (-105.0529045 39.9431974, -105.0527428 39.9431978)",West 136th Avenue,,4,35 mph
"[629728788, 629728783]",False,secondary,,False,95.85900000000001,"LINESTRING (-105.0529045 39.9431974, -105.0530815 39.9431953, -105.0535767 39.9431964, -105.0540289 39.9431974)",West 136th Avenue,,"['4', '5']",35 mph
634904502,True,primary,,False,259.764,"LINESTRING (-105.0529045 39.9431974, -105.0529045 39.9431364, -105.0529045 39.9430666, -105.0529045 39.9429676, -105.0529045 39.9424078, -105.0529131 39.9408613)",Sheridan Boulevard,,2,40 mph
264042778,False,residential,,True,13.862,"LINESTRING (-105.0527957 39.9445541, -105.0529583 39.9445541)",Meadowbrook Drive,,,
16984215,False,residential,,True,13.779,"LINESTRING (-105.0527422 39.936214, -105.0529038 39.9362125)",East 13th Avenue,,,
45844263,False,residential,,True,301.279,"LINESTRING (-105.0527422 39.936214, -105.0525932 39.936214, -105.0521332 39.9362161, -105.0517255 39.936212, -105.0509235 39.9362027, -105.0497983 39.9361986, -105.0496066 39.9361873, -105.0493222 39.9361246, -105.049227 39.9360978)",Broomfield County Commons Drive,,,
"[634904505, 634935495]",True,primary,,False,264.156,"LINESTRING (-105.0527422 39.936214, -105.0527426 39.9366859, -105.052748 39.9382063, -105.0527494 39.9385896)",Sheridan Boulevard,,"['3', '2']",40 mph
742086784,False,residential,,True,13.643,"LINESTRING (-105.0527494 39.9385896, -105.0529094 39.9385874)",East 14th Avenue,,,
"[634904512, 634904508]",True,primary,,False,252.73600000000002,"LINESTRING (-105.0527494 39.9385896, -105.0527426 39.9405269, -105.0527414 39.9408625)",Sheridan Boulevard,,"['3', '2']",40 mph
