osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,ref
5164098,Maple Street,residential,False,False,83.337,"LINESTRING (-122.9169361 42.3781816, -122.916101 42.3786072)",,,,
5164098,Maple Street,residential,False,True,85.613,"LINESTRING (-122.9169361 42.3781816, -122.9177853 42.3777352)",,,,
5166530,North 4th Street,residential,False,False,116.13,"LINESTRING (-122.9169361 42.3781816, -122.917341 42.3786041, -122.917753 42.379034)",,,,
5166530,North 4th Street,residential,False,True,115.671,"LINESTRING (-122.9169361 42.3781816, -122.9165418 42.3777616, -122.9161336 42.3773268)",,,,
5166639,East Pine Street,secondary,False,True,65.885,"LINESTRING (-122.908125 42.378547, -122.9088866 42.3783611)",5,25 mph,,
"[5158324, 104875015]","['Jewett Drive', 'Manzanita Street']",residential,False,"[False, True]",234.90200000000002,"LINESTRING (-122.908125 42.378547, -122.908433 42.379075, -122.908507 42.379167, -122.908583 42.37923, -122.908655 42.379264, -122.908734 42.379285, -122.908826 42.379299, -122.908919 42.379302, -122.909805 42.379216, -122.909844 42.37921, -122.909939 42.379175, -122.910024 42.379115, -122.910121 42.379032, -122.910209 42.378933)",,10 mph,designated,
5166639,East Pine Street,secondary,False,False,98.398,"LINESTRING (-122.908125 42.378547, -122.9076721 42.3786701, -122.9075068 42.3786991, -122.9073446 42.3787117, -122.907185 42.378718, -122.9069626 42.3787234)",5,25 mph,,
104875015,Manzanita Street,residential,False,False,85.51,"LINESTRING (-122.9161735 42.3760244, -122.9153275 42.3764725)",,,,
5157829,North 3rd Street,residential,False,False,116.983,"LINESTRING (-122.9161735 42.3760244, -122.9165778 42.3764599, -122.916979 42.376892)",,,,
5157829,North 3rd Street,residential,False,True,115.055,"LINESTRING (-122.9161735 42.3760244, -122.9157768 42.3755981, -122.9154605 42.3752634, -122.915376 42.3751738)",,,,
104875015,Manzanita Street,residential,False,True,85.324,"LINESTRING (-122.9161735 42.3760244, -122.9166334 42.3757878, -122.9170259 42.3755859)",,,,
5166981,North 10th Street,secondary,False,True,62.963,"LINESTRING (-122.91259 42.381138, -122.9125484 42.3811029, -122.912085 42.380712)",,,,
5160930,North 6th Street,residential,False,False,115.75,"LINESTRING (-122.9128244 42.3765067, -122.9129107 42.3765971, -122.9129869 42.3766755, -122.9132146 42.3769121, -122.913424 42.3771281, -122.913643 42.377354)",,,,
