osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge
14725923,South Spruce Street,residential,25 mph,False,False,123.187,,,"LINESTRING (-96.1045746 35.9989121, -96.1045455 35.9978045)",
183497308,East Dewey Avenue,primary,30 mph,False,True,141.302,4,US Historic 66,"LINESTRING (-96.1045746 35.9989121, -96.1048609 35.9989013, -96.1049272 35.9988988, -96.1054681 35.9988784, -96.1057699 35.998867, -96.1061436 35.9988529)",
1051086701,East Dewey Avenue,primary,30 mph,False,False,101.76599999999999,4,US Historic 66,"LINESTRING (-96.1045746 35.9989121, -96.1041126 35.9989296, -96.1034446 35.9989548)",
14725923,South Spruce Street,residential,25 mph,False,True,123.187,,,"LINESTRING (-96.1045455 35.9978045, -96.1045746 35.9989121)",
14725923,South Spruce Street,residential,25 mph,False,False,122.32,,,"LINESTRING (-96.1045455 35.9978045, -96.104523 35.997377, -96.104505 35.996705)",
14758743,East Lee Avenue,residential,,False,False,106.332,,,"LINESTRING (-96.1045455 35.9978045, -96.104049 35.9978272, -96.103365 35.997852)",
14758743,East Lee Avenue,residential,,False,True,138.376,,,"LINESTRING (-96.1045455 35.9978045, -96.1048288 35.9977951, -96.105389 35.997783, -96.106083 35.997768)",
14725923,South Spruce Street,residential,25 mph,False,True,122.32,,,"LINESTRING (-96.104505 35.996705, -96.104523 35.997377, -96.1045455 35.9978045)",
14758405,East Thompson Avenue,residential,,False,False,106.971,,,"LINESTRING (-96.104505 35.996705, -96.103975 35.9967395, -96.103318 35.996757)",
14758405,East Thompson Avenue,residential,,False,True,135.777,,,"LINESTRING (-96.104505 35.996705, -96.1048011 35.9966916, -96.106013 35.996656)",
14752881,G Street,residential,25 mph,False,True,88.387,,,"LINESTRING (-96.106312 36.002155, -96.1063608 36.0029489)",
14758043,East Jackson Avenue,residential,25 mph,False,False,281.316,,,"LINESTRING (-96.106312 36.002155, -96.104968 36.002132, -96.104636 36.002112, -96.104444 36.00211, -96.104336 36.002119, -96.10425 36.002146, -96.104177 36.002191, -96.103885 36.002468, -96.103642 36.002651, -96.103598 36.002696, -96.103538 36.002773)",
14758043,East Jackson Avenue,residential,25 mph,False,True,124.52000000000001,,,"LINESTRING (-96.106312 36.002155, -96.106598 36.00216, -96.1076412 36.0021355, -96.1076957 36.002137)",
1051086714,"Martin Luther King, Junior Boulevard",tertiary,30 mph,False,False,12.299,2,,"LINESTRING (-96.1101541 36.0029038, -96.1100174 36.0029058)",
14749888,,residential,25 mph,False,False,99.864,,,"LINESTRING (-96.1101541 36.0029038, -96.110182 36.0030012, -96.1104048 36.0037787)",
14751430,South Maple Street,residential,25 mph,False,False,120.75999999999999,,,"LINESTRING (-96.1061436 35.9988529, -96.1061215 35.9984565, -96.1061091 35.9982344, -96.106083 35.997768)",
14755489,North Maple Street,residential,25 mph,False,True,123.37700000000001,,,"LINESTRING (-96.1061436 35.9988529, -96.1062011 35.9998751, -96.1062063 35.9999613)",
