osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,maxspeed
10928147,North Avenue,residential,False,False,96.224,,"LINESTRING (-84.6600687 29.8528155, -84.6610664 29.8528248)",,
10927718,5th Street East,residential,False,True,108.74600000000001,,"LINESTRING (-84.6600687 29.8528155, -84.6600699 29.8527337, -84.6600748 29.8523975, -84.6600807 29.851992, -84.660083 29.8518376)",,
10928153,1st Street East,residential,False,False,111.574,,"LINESTRING (-84.6638774 29.8518574, -84.663831 29.85286)",,
10928289,East Meridian Street,residential,False,False,82.777,,"LINESTRING (-84.6638774 29.8518574, -84.6647357 29.8518617)",,
10928289,East Meridian Street,residential,False,True,195.576,,"LINESTRING (-84.6638774 29.8518574, -84.6618495 29.8518472)",,
10927904,East 4th Street,residential,False,False,109.195,,"LINESTRING (-84.6611094 29.8518435, -84.6610664 29.8528248)",,
10928289,East Meridian Street,residential,False,False,71.377,,"LINESTRING (-84.6611094 29.8518435, -84.6618495 29.8518472)",,
10928289,East Meridian Street,residential,False,True,98.989,,"LINESTRING (-84.6611094 29.8518435, -84.660083 29.8518376)",,
10927904,East 4th Street,residential,False,False,90.014,,"LINESTRING (-84.6610664 29.8528248, -84.6610611 29.8536343)",,
10927904,East 4th Street,residential,False,True,109.195,,"LINESTRING (-84.6610664 29.8528248, -84.6611094 29.8518435)",,
10928147,North Avenue,residential,False,True,96.224,,"LINESTRING (-84.6610664 29.8528248, -84.6600687 29.8528155)",,
10927904,East 4th Street,residential,False,True,90.014,,"LINESTRING (-84.6610611 29.8536343, -84.6610664 29.8528248)",,
10927964,5th Street West,residential,False,False,109.929,,"LINESTRING (-84.6693062 29.8529295, -84.6693057 29.8530289, -84.6693008 29.8539181)",,
10928890,,primary,False,False,89.548,2,"LINESTRING (-84.6693062 29.8529295, -84.6688395 29.8528887, -84.6683889 29.8528108)",US 98;US 319,35 mph
10927540,Northwest Avenue B,residential,False,True,90.295,,"LINESTRING (-84.6693008 29.8539181, -84.6683647 29.8539019)",,
10927964,5th Street West,residential,False,False,109.702,,"LINESTRING (-84.6693008 29.8539181, -84.6692794 29.8549045)",,
10927964,5th Street West,residential,False,True,109.929,,"LINESTRING (-84.6693008 29.8539181, -84.6693057 29.8530289, -84.6693062 29.8529295)",,
10927583,Northwest Avenue C,residential,False,True,88.99,,"LINESTRING (-84.6692794 29.8549045, -84.6683567 29.8548952)",,
10927964,5th Street West,residential,False,False,110.051,,"LINESTRING (-84.6692794 29.8549045, -84.6692733 29.8558942)",,
10927964,5th Street West,residential,False,True,109.702,,"LINESTRING (-84.6692794 29.8549045, -84.6693008 29.8539181)",,
10927964,5th Street West,residential,False,False,111.677,,"LINESTRING (-84.6692733 29.8558942, -84.6692391 29.8568981)",,
10927964,5th Street West,residential,False,True,110.051,,"LINESTRING (-84.6692733 29.8558942, -84.6692794 29.8549045)",,
10928674,Northwest Avenue D,residential,False,True,89.702,,"LINESTRING (-84.6692733 29.8558942, -84.6683432 29.8558852)",,
10927964,5th Street West,residential,False,True,111.677,,"LINESTRING (-84.6692391 29.8568981, -84.6692733 29.8558942)",,
10928116,Northwest Avenue E,residential,False,True,88.286,,"LINESTRING (-84.6692391 29.8568981, -84.6683245 29.8568632)",,
10928152,1st Street East,residential,False,False,35.022,,"LINESTRING (-84.6636843 29.8503007, -84.6636575 29.8506148)",,
10928152,1st Street East,residential,False,True,87.695,,"LINESTRING (-84.6636843 29.8503007, -84.663695 29.8495121)",,
10927966,Southeast Avenue B,residential,False,False,101.041,,"LINESTRING (-84.6636843 29.8503007, -84.6639445 29.8503059, -84.6647317 29.8503217)",,
10927966,Southeast Avenue B,residential,False,True,111.244,,"LINESTRING (-84.6636843 29.8503007, -84.6626388 29.8502685, -84.6625477 29.8503177)",,
10927966,Southeast Avenue B,residential,False,True,101.041,,"LINESTRING (-84.6647317 29.8503217, -84.6639445 29.8503059, -84.6636843 29.8503007)",,
136461694,Marine Street,tertiary,False,False,87.66,2,"LINESTRING (-84.6647317 29.8503217, -84.664782 29.850443, -84.6648029 29.8505923, -84.6647843 29.8510309, -84.6647813 29.851101)",,
136461694,Marine Street,tertiary,False,True,101.263,2,"LINESTRING (-84.6647317 29.8503217, -84.6643783 29.8497785, -84.6642368 29.8495191)",,
10928682,Northwest Avenue A,residential,False,True,85.402,,"LINESTRING (-84.6666029 29.8528825, -84.6674884 29.8528898)",,
10928115,Northwest 2nd Street,residential,False,False,93.412,,"LINESTRING (-84.6666029 29.8528825, -84.6665892 29.8523708, -84.6665676 29.8520431)",,
10928449,2nd Street West,residential,False,False,221.339,,"LINESTRING (-84.6666029 29.8528825, -84.666573 29.8538507, -84.66654 29.8548723)",,
10928682,Northwest Avenue A,residential,False,False,181.767,,"LINESTRING (-84.6666029 29.8528825, -84.6657044 29.8528758, -84.6650072 29.8528657, -84.6647183 29.852862)",,
10928890,,primary,False,True,104.659,2,"LINESTRING (-84.6665676 29.8520431, -84.6674993 29.8525257)",US 98;US 319,35 mph
10928115,Northwest 2nd Street,residential,False,True,93.412,,"LINESTRING (-84.6665676 29.8520431, -84.6665892 29.8523708, -84.6666029 29.8528825)",,
10928890,,primary,False,False,201.653,2,"LINESTRING (-84.6665676 29.8520431, -84.6656691 29.8515872, -84.6652522 29.8513589, -84.664876 29.8511529, -84.6647813 29.851101)",US 98;US 319,35 mph
10928116,Northwest Avenue E,residential,False,False,88.487,,"LINESTRING (-84.6646633 29.8568234, -84.6655808 29.8568334)",,
10928556,Tallahassee Street,secondary,False,True,109.13,2,"LINESTRING (-84.6646633 29.8568234, -84.6646713 29.855842)",,
10928116,Northwest Avenue E,residential,False,False,90.522,,"LINESTRING (-84.6655808 29.8568334, -84.6665194 29.8568436)",,
10928116,Northwest Avenue E,residential,False,True,88.487,,"LINESTRING (-84.6655808 29.8568334, -84.6646633 29.8568234)",,
10928346,1st Street West,residential,False,True,108.71,,"LINESTRING (-84.6655808 29.8568334, -84.6656007 29.8558559)",,
10928126,B Avenue North,residential,False,False,85.62,,"LINESTRING (-84.6638077 29.8538693, -84.6646955 29.8538739)",,
10928153,1st Street East,residential,False,False,108.507,,"LINESTRING (-84.6638077 29.8538693, -84.6637996 29.8548451)",,
10928153,1st Street East,residential,False,True,112.252,,"LINESTRING (-84.6638077 29.8538693, -84.663831 29.85286)",,
10928126,B Avenue North,residential,False,True,85.62,,"LINESTRING (-84.6646955 29.8538739, -84.6638077 29.8538693)",,
10928556,Tallahassee Street,secondary,False,False,109.43,2,"LINESTRING (-84.6646955 29.8538739, -84.6646874 29.854858)",,
10928556,Tallahassee Street,secondary,False,True,112.54,2,"LINESTRING (-84.6646955 29.8538739, -84.6647183 29.852862)",,
10928152,1st Street East,residential,False,False,53.719,,"LINESTRING (-84.6636575 29.8506148, -84.6636346 29.8510975)",,
10928152,1st Street East,residential,False,True,35.022,,"LINESTRING (-84.6636575 29.8506148, -84.6636843 29.8503007)",,
159249895,,primary,False,False,112.17499999999998,2,"LINESTRING (-84.6636575 29.8506148, -84.663193 29.8504626, -84.6628441 29.8503832, -84.6625477 29.8503177)",US 98;US 319,35 mph
"[205861927, 159249895]",,primary,False,True,121.287,2,"LINESTRING (-84.6636575 29.8506148, -84.6640118 29.8507424, -84.664065 29.8507616, -84.6644098 29.8509173, -84.6646731 29.8510475, -84.6647813 29.851101)",US 98;US 319,35 mph
10928152,1st Street East,residential,False,True,53.719,,"LINESTRING (-84.6636346 29.8510975, -84.6636575 29.8506148)",,
10928722,Southeast Avenue A,residential,False,False,86.463,,"LINESTRING (-84.6636346 29.8510975, -84.6637449 29.8511029, -84.6639916 29.851115, -84.6645297 29.8511415)",,
10928722,Southeast Avenue A,residential,False,True,168.68099999999998,,"LINESTRING (-84.6636346 29.8510975, -84.6632461 29.8510942, -84.6630284 29.8510923, -84.6618864 29.8510548)",,
10928153,1st Street East,residential,False,False,112.252,,"LINESTRING (-84.663831 29.85286, -84.6638077 29.8538693)",,
10928153,1st Street East,residential,False,True,111.574,,"LINESTRING (-84.663831 29.85286, -84.6638774 29.8518574)",,
10928683,Northeast Avenue A,residential,False,False,85.572,,"LINESTRING (-84.663831 29.85286, -84.6647183 29.852862)",,
10928683,Northeast Avenue A,residential,False,True,46.69,,"LINESTRING (-84.663831 29.85286, -84.6633469 29.8528554)",,
10927101,Northeast Avenue D,residential,False,False,86.144,,"LINESTRING (-84.6637781 29.8558326, -84.6646713 29.855842)",,
10927101,Northeast Avenue D,residential,False,True,84.868,,"LINESTRING (-84.6637781 29.8558326, -84.6628984 29.8558117)",,
10928153,1st Street East,residential,False,True,109.825,,"LINESTRING (-84.6637781 29.8558326, -84.6637996 29.8548451)",,
10928213,2nd Street East,residential,False,True,85.8,,"LINESTRING (-84.6628662 29.8540647, -84.6628815 29.8548362)",,
10927101,Northeast Avenue D,residential,False,False,95.107,,"LINESTRING (-84.6619194 29.8557373, -84.6622171 29.8557931, -84.6628984 29.8558117)",,
10928228,5th Street,residential,False,True,323.10800000000006,,"LINESTRING (-84.6619194 29.8557373, -84.6614795 29.8557884, -84.6610959 29.8559234, -84.6607553 29.8560327, -84.660186 29.856088, -84.660066 29.8560141, -84.6600257 29.8559164, -84.6600303 29.8552165, -84.6600303 29.8547978)",,
10928359,3rd Street East,residential,False,True,102.392,,"LINESTRING (-84.6619194 29.8557373, -84.6619582 29.855657, -84.6619682 29.8552268, -84.6619776 29.8548234)",,
10925769,Southeast 3rd Street,residential,False,False,88.183,,"LINESTRING (-84.6618495 29.8518472, -84.6618864 29.8510548)",,
10928289,East Meridian Street,residential,False,False,195.576,,"LINESTRING (-84.6618495 29.8518472, -84.6638774 29.8518574)",,
10928289,East Meridian Street,residential,False,True,71.377,,"LINESTRING (-84.6618495 29.8518472, -84.6611094 29.8518435)",,
10928289,East Meridian Street,residential,False,True,82.777,,"LINESTRING (-84.6647357 29.8518617, -84.6638774 29.8518574)",,
10928556,Tallahassee Street,secondary,False,False,111.241,2,"LINESTRING (-84.6647357 29.8518617, -84.6647183 29.852862)",,
10928556,Tallahassee Street,secondary,False,True,84.7,2,"LINESTRING (-84.6647357 29.8518617, -84.6647568 29.8515099, -84.6647742 29.8512189, -84.6647813 29.851101)",,
10925769,Southeast 3rd Street,residential,False,True,88.183,,"LINESTRING (-84.6618864 29.8510548, -84.6618495 29.8518472)",,
10928722,Southeast Avenue A,residential,False,True,171.737,,"LINESTRING (-84.6618864 29.8510548, -84.6601062 29.8510173)",,
10925769,Southeast 3rd Street,residential,False,False,90.545,,"LINESTRING (-84.6618864 29.8510548, -84.6618907 29.8509415, -84.6619154 29.8502409)",,
10928722,Southeast Avenue A,residential,False,False,168.68099999999998,,"LINESTRING (-84.6618864 29.8510548, -84.6630284 29.8510923, -84.6632461 29.8510942, -84.6636346 29.8510975)",,
10928346,1st Street West,residential,False,False,108.71,,"LINESTRING (-84.6656007 29.8558559, -84.6655808 29.8568334)",,
10928346,1st Street West,residential,False,True,111.486,,"LINESTRING (-84.6656007 29.8558559, -84.6656074 29.8548533)",,
10928674,Northwest Avenue D,residential,False,False,89.519,,"LINESTRING (-84.6656007 29.8558559, -84.6665289 29.8558653)",,
10928674,Northwest Avenue D,residential,False,True,89.642,,"LINESTRING (-84.6656007 29.8558559, -84.6646713 29.855842)",,
10927583,Northwest Avenue C,residential,False,False,87.521,,"LINESTRING (-84.66654 29.8548723, -84.6674474 29.8548859)",,
10927583,Northwest Avenue C,residential,False,True,89.963,,"LINESTRING (-84.66654 29.8548723, -84.6656074 29.8548533)",,
10928449,2nd Street West,residential,False,False,110.422,,"LINESTRING (-84.66654 29.8548723, -84.6665289 29.8558653)",,
10928449,2nd Street West,residential,False,True,221.339,,"LINESTRING (-84.66654 29.8548723, -84.666573 29.8538507, -84.6666029 29.8528825)",,
10928449,2nd Street West,residential,False,False,108.786,,"LINESTRING (-84.6665289 29.8558653, -84.6665194 29.8568436)",,
10928449,2nd Street West,residential,False,True,110.422,,"LINESTRING (-84.6665289 29.8558653, -84.66654 29.8548723)",,
10928674,Northwest Avenue D,residential,False,False,85.481,,"LINESTRING (-84.6665289 29.8558653, -84.6674152 29.8558763)",,
10928674,Northwest Avenue D,residential,False,True,89.519,,"LINESTRING (-84.6665289 29.8558653, -84.6656007 29.8558559)",,
10928116,Northwest Avenue E,residential,False,False,84.822,,"LINESTRING (-84.6665194 29.8568436, -84.6673989 29.8568531)",,
10928116,Northwest Avenue E,residential,False,True,90.522,,"LINESTRING (-84.6665194 29.8568436, -84.6655808 29.8568334)",,
10928449,2nd Street West,residential,False,True,108.786,,"LINESTRING (-84.6665194 29.8568436, -84.6665289 29.8558653)",,
10928556,Tallahassee Street,secondary,False,False,84.7,2,"LINESTRING (-84.6647813 29.851101, -84.6647742 29.8512189, -84.6647568 29.8515099, -84.6647357 29.8518617)",,
10928890,,primary,False,True,201.653,2,"LINESTRING (-84.6647813 29.851101, -84.664876 29.8511529, -84.6652522 29.8513589, -84.6656691 29.8515872, -84.6665676 29.8520431)",US 98;US 319,35 mph
136461694,Marine Street,tertiary,False,True,87.66,2,"LINESTRING (-84.6647813 29.851101, -84.6647843 29.8510309, -84.6648029 29.8505923, -84.664782 29.850443, -84.6647317 29.8503217)",,
"[159249895, 205861927]",,primary,False,False,121.287,2,"LINESTRING (-84.6647813 29.851101, -84.6646731 29.8510475, -84.6644098 29.8509173, -84.664065 29.8507616, -84.6640118 29.8507424, -84.6636575 29.8506148)",US 98;US 319,35 mph
10928116,Northwest Avenue E,residential,False,False,88.286,,"LINESTRING (-84.6683245 29.8568632, -84.6692391 29.8568981)",,
10928116,Northwest Avenue E,residential,False,True,89.269,,"LINESTRING (-84.6683245 29.8568632, -84.6673989 29.8568531)",,
10928611,4th Street West,residential,False,True,108.764,,"LINESTRING (-84.6683245 29.8568632, -84.6683432 29.8558852)",,
10928116,Northwest Avenue E,residential,False,False,89.269,,"LINESTRING (-84.6673989 29.8568531, -84.6683245 29.8568632)",,
10928116,Northwest Avenue E,residential,False,True,84.822,,"LINESTRING (-84.6673989 29.8568531, -84.6665194 29.8568436)",,
10928596,3rd Street West,residential,False,True,108.627,,"LINESTRING (-84.6673989 29.8568531, -84.6674152 29.8558763)",,
10927101,Northeast Avenue D,residential,False,True,86.144,,"LINESTRING (-84.6646713 29.855842, -84.6637781 29.8558326)",,
10928556,Tallahassee Street,secondary,False,False,109.13,2,"LINESTRING (-84.6646713 29.855842, -84.6646633 29.8568234)",,
10928556,Tallahassee Street,secondary,False,True,109.427,2,"LINESTRING (-84.6646713 29.855842, -84.6646874 29.854858)",,
10928674,Northwest Avenue D,residential,False,False,89.642,,"LINESTRING (-84.6646713 29.855842, -84.6656007 29.8558559)",,
10928556,Tallahassee Street,secondary,False,False,112.54,2,"LINESTRING (-84.6647183 29.852862, -84.6646955 29.8538739)",,
10928556,Tallahassee Street,secondary,False,True,111.241,2,"LINESTRING (-84.6647183 29.852862, -84.6647357 29.8518617)",,
10928683,Northeast Avenue A,residential,False,True,85.572,,"LINESTRING (-84.6647183 29.852862, -84.663831 29.85286)",,
10928682,Northwest Avenue A,residential,False,True,181.767,,"LINESTRING (-84.6647183 29.852862, -84.6650072 29.8528657, -84.6657044 29.8528758, -84.6666029 29.8528825)",,
10927540,Northwest Avenue B,residential,False,False,86.4,,"LINESTRING (-84.6674689 29.8538902, -84.6683647 29.8539019)",,
10928596,3rd Street West,residential,False,False,110.736,,"LINESTRING (-84.6674689 29.8538902, -84.6674474 29.8548859)",,
